year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Single with child(ren),45.178703,146.42444,223.84892,56.819172,27.365265,36.501919,3.212501,23.848585,31.977686,58.760967,8.5344763,263.12302,35.406017,25.451195,56.461582,195.1263,183.52562,13.1029,151.82143,416.43451,357.16547,25.915897,174.9261,47.227154,71.741585,75.228661,12.781185,9.3334169,3.1579194,16.661541,70.728951,37.009823,13.973192,7.7675786,5.4613252
1989,"Single, no child, age<55",71.432091,172.87697,236.77011,73.590073,10.657564,22.102407,5.6493711,149.18921,69.425972,119.48829,13.411549,123.50872,55.109146,52.543232,71.832703,191.7124,235.9193,13.616364,153.53543,109.11657,505.93155,30.840256,161.68275,54.478264,121.20853,120.78479,16.315289,18.021212,5.3478255,12.942012,120.6404,40.56427,13.078507,14.450131,11.029124
1989,"Single, no child, age>=55",40.621391,282.79019,315.9476,135.12743,30.438116,97.964882,17.797554,174.67162,135.39053,68.269012,11.025178,159.56422,76.003937,33.450737,126.08688,220.45003,182.47443,12.966014,181.82899,290.27774,295.00528,38.582474,165.70578,26.112619,41.829758,50.197102,9.8030176,45.205284,2.4446795,8.2853136,39.422237,49.580276,9.9940901,6.1643686,8.2409525
1989,Couple with child(ren),119.87853,469.0105,571.30945,149.49265,24.237974,48.656361,4.229178,285.66733,100.6106,64.490158,28.520206,261.32407,83.443657,83.125404,109.6326,437.97739,266.99539,26.622332,220.61488,314.69501,624.83411,103.85667,239.35313,106.69771,112.39766,88.72908,23.58083,22.541651,4.6555657,22.210991,107.48898,75.950966,18.688763,15.356384,15.608324
1989,"Couple, no child",131.37001,821.4621,887.01355,342.01245,64.716751,104.21281,24.143608,305.07275,217.10196,186.04739,33.747166,556.55054,124.63036,85.908775,223.13812,561.24298,260.27679,28.408028,232.20428,445.6813,1045.6736,55.709114,383.28021,93.576424,108.51665,93.487587,22.720907,78.385551,4.246973,25.37125,107.46824,57.36105,18.652515,10.940292,16.403187
1992,Single with child(ren),43.643108,109.93302,170.75349,56.915215,14.590982,57.038078,6.8689799,84.262955,37.530228,63.904003,18.204273,233.27634,44.872169,18.890202,38.52557,138.1946,176.37325,13.013005,169.72812,162.4034,152.08205,30.097471,84.37085,49.086788,90.279045,156.5493,11.071411,2.4817379,4.2350993,3.5783637,89.926147,55.860455,10.509691,8.1499062,6.803504
1992,"Single, no child, age<55",55.200912,146.56082,197.875,71.114006,16.406609,33.655338,5.2982531,122.66483,96.338264,48.016354,22.529467,151.0656,52.179356,19.66116,84.048653,146.1311,182.24559,13.085734,111.59795,153.00739,215.99193,30.798422,100.33085,53.07592,99.676636,69.464569,13.595308,21.339111,4.2064738,11.849692,99.409149,79.620461,13.477161,12.972631,6.1710148
1992,"Single, no child, age>=55",39.188671,323.96384,357.24338,148.3468,32.171482,72.827766,8.9222517,279.66406,180.86678,126.57213,8.3848572,171.9176,57.881901,59.556393,155.23077,243.87398,169.51834,12.422088,198.39362,402.8313,703.96411,32.401588,184.05602,37.823414,68.990005,154.01419,11.367424,11.367968,2.8360696,14.65064,66.725441,35.886776,11.574457,4.1232195,9.9010744
1992,Couple with child(ren),115.97652,428.29269,552.57666,150.1517,23.773571,36.106541,5.0167418,250.44212,101.42755,82.385429,32.346928,154.55548,90.092285,82.181442,106.72697,414.74469,264.18872,24.597517,204.64162,326.18079,573.979,64.715302,230.66449,126.60394,140.76195,116.77316,18.560965,18.338989,5.519032,20.974794,137.55084,39.727074,14.408673,18.433146,10.238439
1992,"Couple, no child",101.83754,654.21332,723.27081,267.05585,44.62616,100.03715,12.415145,353.01843,197.75165,130.92151,24.987709,238.1568,129.00911,65.633362,190.24687,474.11295,237.57866,25.045401,237.84137,441.0658,739.72382,77.177544,293.88174,87.758896,105.28815,126.73902,17.448057,36.764263,4.8693662,27.109419,100.68526,43.496952,15.411114,13.872501,10.097098
1995,Single with child(ren),40.688755,140.83745,208.94087,68.885658,13.21728,27.909273,3.796047,119.32908,49.35833,99.978249,33.256432,236.96187,38.227665,29.760496,60.551163,168.70511,177.06317,14.748746,167.96759,159.69969,307.70636,40.987766,93.511086,53.397133,91.560524,89.765694,11.254933,6.0898695,4.701571,12.715102,91.438637,30.479939,11.595238,10.434253,5.0532708
1995,"Single, no child, age<55",51.564877,140.55698,193.79005,64.50985,11.065214,28.434002,9.9628105,158.51404,51.622143,55.78302,22.196795,48.433372,51.928299,26.812231,62.372986,149.42128,175.83638,18.126602,142.29492,142.13521,253.791,33.173832,76.283958,55.847473,111.64185,83.108963,14.553768,12.951303,5.0413594,10.182202,110.38576,22.597149,14.336506,13.172395,6.4694295
1995,"Single, no child, age>=55",43.069736,383.22375,417.29816,216.84419,35.711044,83.370796,20.876192,405.33627,315.91373,260.8819,26.102106,377.58588,100.59382,93.661179,294.25793,234.75793,172.79782,15.193499,201.20168,356.88168,625.85358,88.534828,177.04944,41.511265,88.393265,88.49337,11.013668,31.39064,3.7509255,40.413139,87.708275,67.965996,12.330469,3.4921491,9.4905787
