year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Single with child(ren),31.267818,16.139093,65.248047,7.1473131,2.3055849,23.055849,1.8444679,4.6111698,4.6111698,23.055849,2.3055849,11.527925,11.527925,4.6111698,9.2223396,68.591148,126.80717,9.2223396,115.27924,36.889359,62.25079,9.2223396,66.861961,14.801854,57.639622,62.25079,5.7639623,4.6111698,1.8444679,1.6139094,57.639622,57.639622,9.2223396,4.6111698,1.1527925
1989,"Single, no child, age<55",40.888683,19.021074,38.042149,9.9140148,2.7667017,11.527925,1.3833508,69.167542,11.527925,6.9167542,4.6111698,92.223396,11.527925,2.3055849,11.527925,23.055849,175.22444,9.2223396,72.625923,32.278187,39.194942,11.527925,33.845985,16.139093,94.528976,89.917809,9.6373444,4.6111698,2.0750263,1.8444679,94.528976,36.889359,11.527925,6.9167542,2.3055849
1989,"Single, no child, age>=55",24.052168,93.791191,126.80717,29.511486,6.9167542,50.722866,6.9167542,69.167542,48.417282,39.194942,2.3055849,103.75132,29.972603,13.833508,34.583771,106.0569,115.27924,9.2223396,69.167542,41.500526,117.58482,23.055849,66.861961,6.801475,20.750263,18.444679,4.6111698,4.6111698,1.1527925,1.0144573,16.139093,41.500526,6.9167542,6.9167542,2.0750263
1989,Couple with child(ren),86.587799,144.33191,243.56198,30.341496,4.6111698,23.055849,1.1527925,41.500526,11.527925,20.750263,9.2223396,32.278187,23.055849,6.9167542,16.139093,195.97472,179.83562,20.750263,119.89041,55.334034,115.27924,23.055849,66.861961,66.769737,83.001053,69.167542,15.562697,4.6111698,2.4900317,4.6111698,80.695473,46.111698,14.386849,9.2223396,4.6111698
1989,"Couple, no child",74.561722,258.17938,307.33444,59.945206,11.527925,36.889359,2.3055849,80.695473,34.583771,46.111698,11.527925,131.41833,43.80611,11.527925,41.03941,203.35258,166.00211,20.750263,138.33508,62.25079,144.42183,20.750263,99.140144,33.315701,76.084297,57.639622,16.139093,5.7639623,1.8444679,9.2223396,73.778717,43.80611,13.833508,9.2223396,4.6111698
1992,Single with child(ren),29.729933,17.570303,56.771969,5.7186365,1.2431818,20.719696,1.0359849,10.359848,6.215909,37.295456,4.1439395,124.31818,9.5310602,4.1439395,9.1166668,61.123108,134.67802,8.287879,93.23864,44.754547,41.439392,12.431818,31.079546,15.125379,64.231064,124.31818,5.4492803,2.0719697,2.0719697,1.9683712,62.159092,18.647728,7.5212498,5.5943184,1.8647727
1992,"Single, no child, age<55",42.471333,31.079546,53.353218,10.422008,2.9007576,13.467803,1.6575757,51.074055,8.287879,20.719696,6.215909,62.159092,14.503788,3.5223484,12.431818,33.151516,134.67802,8.7022724,51.799244,33.151516,37.295456,10.359848,22.793739,18.150455,82.878784,31.079546,7.8942046,4.1439395,1.9269319,6.215909,82.878784,37.295456,11.810227,6.8375001,1.8647727
1992,"Single, no child, age>=55",25.4828,121.33455,141.10114,23.20606,5.6564775,31.079546,2.0719697,62.159092,24.863636,51.799244,2.6935606,82.878784,26.935606,9.323864,32.115532,113.95834,130.53409,7.4590907,103.59849,78.734848,103.59849,10.359848,66.303032,8.4950762,53.871212,58.015152,7.251894,2.4863636,1.2431818,2.6935606,51.799244,16.575758,10.98144,4.1232195,5.3871212
1992,Couple with child(ren),84.942665,124.94184,248.11838,29.214773,4.9727273,11.810227,1.0359849,62.159092,14.503788,20.719696,9.323864,18.647728,31.079546,6.215909,18.647728,202.01704,196.83713,18.233334,105.67046,70.446968,103.59849,20.719696,55.94318,76.870079,108.57121,51.799244,10.98144,3.7295454,2.6935606,5.5943184,103.59849,24.863636,10.98144,7.4590907,2.2791667
1992,"Couple, no child",70.077698,214.20023,274.53598,55.94318,8.7022724,45.583332,1.6575757,66.303032,26.935606,41.439392,8.287879,51.799244,47.655304,10.359848,35.223484,183.36932,165.75757,18.440531,103.59849,52.628029,101.52651,20.719696,73.554924,35.596439,70.446968,51.799244,12.431818,8.287879,1.9683712,6.215909,66.303032,29.007576,12.224621,7.6662879,3.0872347
