year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Owner,100,100,100,96.03923,94.599007,25.334431,29.190729,7.7218924,22.775871,10.097981,45.52924,4.9171534,48.694214,14.288522,42.120384,100,100,92.926888,17.406513,14.709641,16.748652,13.723985,97.80172,78.260223,61.776836,6.773035,50.805763,2.769948,43.895588,6.8275895,60.398304,4.9127407,38.689854,6.7385902,22.114092
1989,Renter or other,100,100,85.242973,76.24929,69.602867,10.267921,14.588145,2.1592841,6.4743261,2.3202322,17.77113,1.5348456,16.801081,14.946998,13.757198,70.310524,0,67.637756,5.7530732,4.7982683,7.2873716,8.5372286,16.633072,61.679119,0,2.3158624,46.899952,3.8606229,32.173134,6.3752556,0,0,27.553452,12.807651,21.797838
1992,Owner,100,100,100,95.724007,94.037704,21.608091,27.45179,5.9216928,22.430754,13.794902,43.169601,5.3193245,49.326241,10.051636,45.868603,100,100,93.466515,16.622643,12.104901,18.222832,8.9502316,97.221794,78.467705,61.203548,6.9602408,44.307278,2.0779014,46.594685,9.1091261,60.208511,6.6906304,31.750202,7.2963567,17.098251
1992,Renter or other,100,100,88.456314,80.593414,74.274979,8.0530062,13.181473,1.3007262,7.3582149,4.4420495,20.197306,1.6753066,23.714554,12.913508,21.15733,74.48381,0,73.03965,5.7372108,4.8484273,7.5254078,6.4889503,19.211174,63.992565,0,3.3958068,48.903732,2.8719747,38.581104,7.1115127,0,0,26.307405,16.619331,22.54459
1995,Owner,100,100,100,96.712608,95.333954,17.408577,28.279623,4.3000417,19.229074,16.036051,38.845219,5.0293827,54.427296,10.533839,48.825558,100,100,90.900726,15.110677,11.987851,15.758257,9.4843435,97.0383,79.568962,63.32745,5.8101468,45.41737,1.5302353,51.077198,7.9747481,62.389454,4.4279871,34.091888,9.3137217,15.117724
1995,Renter or other,100,100,89.742905,81.233002,72.885551,8.6554804,12.688219,0.86056161,7.9343438,5.5036688,19.358374,1.8813062,28.665499,14.085477,25.17127,74.123589,0,71.59967,5.8488898,4.0716414,7.3096328,6.2603173,19.136154,65.259857,0,2.8291922,46.937885,2.5962193,40.261803,9.3881626,0,0,27.272474,16.579748,17.669474
1998,Owner,100,100,100,97.59301,96.370476,18.894423,23.289492,3.8372414,24.90727,21.033161,36.957275,7.7881789,58.423626,9.2035236,59.849525,100,100,90.585716,16.9762,10.96174,15.908504,9.0570202,97.192863,79.392937,65.053978,6.162457,44.332394,1.782559,46.19939,9.2493792,63.337227,6.736588,34.578457,9.153861,11.70922
1998,Renter or other,100,100,90.658295,84.171211,79.407578,8.3292217,11.498393,1.3444436,8.0316238,7.5456758,15.150366,2.3612478,30.258137,11.028655,27.530952,69.997414,0,67.645027,5.1212444,3.2753844,6.3421326,6.1712623,19.721399,63.525471,0,2.6621389,42.658539,3.3627872,39.974453,7.8150873,0,0,25.225834,15.43045,14.026749
2001,Owner,100,100,100,97.854576,96.750343,19.962872,21.194317,4.0669231,27.058859,22.700113,34.492512,8.88871,63.323959,9.2925224,63.286526,100,100,92.174942,15.039321,10.830069,17.52507,8.1248102,97.531784,79.954781,65.943886,5.8663177,45.559059,0.96923029,44.418362,6.9280667,64.099098,7.0531435,37.371677,9.4710808,10.43324
2001,Renter or other,100,100,89.931824,84.13765,80.289787,6.6555953,7.2372079,0.72809654,9.2765818,7.0965548,14.343754,1.9965897,30.752605,10.705172,31.473579,71.269875,0,69.337578,3.8504348,2.536483,5.2289991,4.8434696,18.922985,65.023163,0,1.9890423,44.470444,2.7625799,44.286823,7.7838788,0,0,29.840332,15.879933,12.620991
2004,Owner,100,100,100,97.546364,96.002251,15.859769,21.233255,2.5583007,25.826477,19.204735,30.081007,9.6167164,60.474998,9.8854208,60.986134,100,100,92.302589,15.838287,10.860959,17.015594,8.8314743,97.810295,82.274101,69.352295,5.1038623,46.608589,1.3262614,48.778622,7.7466693,66.539703,12.412062,39.21682,10.927273,7.1845121
2004,Renter or other,100,100,93.312256,85.481705,80.901123,5.6117887,9.5287199,0.16767873,9.1006718,5.74265,10.995758,1.9801065,26.213528,10.986169,26.474293,75.876053,0,73.02166,5.3812246,2.3845096,5.1190758,4.4880071,17.435396,63.395611,0,1.5538037,44.6273,2.0917606,40.358921,7.3485827,0,0,27.530993,18.925611,11.639733
2007,Owner,100,100,100,98.35981,97.301933,19.965574,18.238804,2.1601238,22.422503,15.008979,28.889715,7.5123363,63.650505,9.7173643,64.619179,100,100,93.765556,17.435938,10.879777,17.471416,7.6789517,97.811058,82.3703,70.890045,6.8696389,46.151089,1.2506911,50.081291,6.769527,67.398438,12.424966,37.515678,12.744871,8.5916901
2007,Renter or other,100,100,92.787865,84.002899,80.790596,7.6963162,7.4765129,0.39170179,8.1059866,3.4587076,10.10949,2.126642,29.555826,9.1369858,28.092243,74.541855,0,72.289566,5.3461347,2.3332713,4.9866953,5.3159595,16.156282,65.351837,0,2.6315746,48.642136,2.7730196,37.261559,6.938035,0,0,29.193867,20.487406,14.056321
2010,Owner,100,100,100,98.035187,97.385582,15.590364,15.020184,2.2824333,19.513132,11.405146,23.959082,7.5592866,61.687069,8.3355808,61.274734,100,100,93.891235,19.199499,10.336171,16.998211,7.6762571,97.057587,81.438133,69.851334,6.9004002,46.0858,2.0169461,43.132256,6.4724336,67.199051,10.655655,33.840012,16.638195,9.9237261
