year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Owner,119.22221,628.51434,716.81909,224.10185,40.281219,83.7332,11.247456,272.28015,147.32916,125.19781,26.36797,280.19434,99.449837,78.324127,145.90164,501.59341,244.93005,26.43326,220.46283,385.58203,769.46857,59.250523,264.05713,112.83479,104.72509,93.61071,23.899467,53.930885,4.6386309,23.380289,101.63206,67.412567,18.800272,11.951423,18.373585
1989,Renter or other,50.998604,97.31543,126.5405,62.557503,17.02232,43.649918,3.4755311,127.65186,86.82914,35.209324,23.20186,455.40689,27.625137,39.562611,91.346024,85.573593,,13.5478,161.50153,131.36502,397.48758,75.467888,170.70372,17.107016,,68.689896,13.411729,11.543087,3.6649289,16.404707,,,13.166361,13.363601,4.3616438
1992,Owner,101.56907,561.04138,656.52179,210.68237,36.019505,71.512451,7.9498525,288.57495,152.59769,113.10183,27.530087,194.86456,107.28352,80.366768,151.50018,454.84818,227.55383,23.78619,207.69832,402.06961,638.06525,62.496681,226.06552,121.68118,120.48184,119.62916,18.205753,37.882484,5.046164,24.260366,117.7422,42.57198,15.125001,18.674242,11.122283
1992,Renter or other,49.999489,80.214935,104.70145,50.911236,12.073772,53.859661,4.8463149,230.55919,61.666653,56.384464,15.520394,186.8898,36.409435,16.618465,52.733875,69.255234,,13.019964,199.76031,156.0184,269.73016,42.392029,133.73828,19.377417,,113.05701,12.887809,4.0782466,4.2504315,7.0491085,,,11.708185,11.47442,5.8352289
1995,Owner,107.11045,591.14355,691.82684,250.36028,33.050564,78.431526,10.799441,380.91779,204.6432,187.87198,43.327076,291.20306,126.58138,72.953346,204.36244,449.6969,222.7661,29.867142,218.17287,276.02466,790.50769,96.520111,205.40968,126.53592,125.09599,113.36668,19.751007,29.90654,5.9960718,29.916832,124.51538,34.680237,16.591854,15.304028,12.492209
1995,Renter or other,48.580429,84.916801,111.0195,74.825096,16.812645,39.216232,7.5768843,211.87938,81.826027,150.94835,26.01906,126.23952,56.259563,28.4736,77.347054,52.411739,,16.30135,174.54446,111.04411,141.90819,33.138069,64.01355,22.548813,,127.97834,15.657824,11.519042,5.3017955,13.969304,,,14.355378,15.642253,4.7592731
1998,Owner,121.18608,740.4007,861.74835,351.56021,38.398247,75.720963,8.9295149,374.92172,324.42499,205.10173,56.694172,391.00821,161.31322,62.209202,314.70126,518.65015,252.8092,32.381474,248.425,343.08871,936.93921,84.722275,272.9787,152.84438,141.60815,139.01563,27.316025,16.176792,8.0422058,49.143353,141.81465,34.145939,20.911663,21.279482,25.031757
1998,Renter or other,48.676311,78.856483,104.13706,67.825401,12.208312,36.832443,7.2162728,220.46674,78.73349,69.528366,31.975765,210.73851,54.804119,23.215002,84.006508,53.315437,,15.594303,181.99854,188.77301,150.54482,27.859354,75.969604,24.482161,,87.260941,23.151533,8.3134117,6.3118186,7.0455594,,,15.93043,26.607656,12.489287
2001,Owner,145.30217,939.19452,1066.7133,455.14084,52.037327,64.930283,13.293654,514.37378,350.65329,241.01773,64.006798,553.04895,204.29068,87.551079,404.06769,621.3371,303.35107,35.645931,322.01044,472.63571,1009.7751,105.24158,325.18863,159.48859,153.80103,122.77503,27.391487,51.03891,7.5243969,37.208061,153.42163,43.675411,20.219824,24.661177,24.79706
2001,Renter or other,53.941231,92.276283,119.61844,76.670059,12.297611,48.737312,12.386235,139.47762,144.94585,81.884079,42.310673,216.75755,51.771244,36.470943,94.980713,60.427574,,16.94973,235.49368,128.00087,312.06396,55.374573,108.1375,23.52816,,121.40196,19.737663,14.345317,5.6830387,15.332364,,,15.149879,21.245142,6.9957895
2004,Owner,137.02501,983.86401,1156.2188,419.61273,53.762383,93.502365,9.2142534,858.25476,283.15149,315.06625,39.763416,335.39328,219.60944,83.980614,348.68896,746.90179,387.90799,36.969246,457.02014,464.61594,1123.4948,122.91286,379.87503,209.48851,194.7686,284.29492,32.097607,76.895226,8.7088327,32.790173,191.34624,62.481857,23.171326,27.522583,39.887421
2004,Renter or other,52.932598,85.153328,109.42113,56.289207,13.488124,40.170193,8.2175188,879.64258,48.816566,85.4328,14.724298,216.13011,58.553936,19.080513,70.988579,71.150719,,16.387735,252.39772,417.78604,334.27283,30.388548,123.71107,26.736868,,161.65919,23.434139,28.967258,6.3504596,11.038967,,,14.952418,25.000614,13.831553
2007,Owner,150.90033,1114.2871,1306.6401,446.68597,47.094643,84.572769,9.9207525,860.77069,346.96188,470.4805,48.983646,377.4035,241.06911,122.36118,367.83899,867.28064,432.98138,36.276089,527.23303,417.03979,1460.0769,102.71751,496.8399,233.52234,213.10007,255.73586,33.270088,54.343052,11.97714,24.90134,213.80458,56.062778,22.43469,34.41626,29.699314
2007,Renter or other,53.727325,101.96709,133.60626,71.96138,13.777783,51.421459,6.7706275,347.06287,124.92495,174.29605,17.692804,175.73763,68.170036,18.236925,99.335709,85.214874,,17.900503,352.59863,266.5672,456.39172,51.760265,152.93236,33.669003,,247.14452,24.092564,14.843217,6.1206346,15.683561,,,16.438101,25.880436,11.510768
2010,Owner,133.82433,966.91571,1154.5581,437.92496,56.665081,109.54166,8.9560947,810.89142,306.98517,566.88947,41.886978,345.76678,270.02979,118.79219,331.85706,725.23755,356.55432,35.297394,404.71979,468.57391,1185.2523,103.35283,294.63165,230.411,210.4034,243.55823,33.417587,92.043762,11.308302,26.75322,206.91309,74.382507,20.796457,37.307655,21.72489
2010,Renter or other,51.685127,77.475533,107.55929,61.062912,13.396825,34.193665,5.1378241,655.91187,81.634415,232.65953,24.290995,194.69461,61.710682,28.350929,74.11908,63.576767,,16.462172,303.89105,145.93813,314.15402,25.807089,127.19496,35.213932,,241.54036,29.348354,13.896222,5.1013622,11.151568,,,14.384998,32.506824,17.809904
2013,Owner,141.99707,984.41833,1149.7103,472.34134,62.584717,84.831573,8.5790291,770.34381,384.99747,624.43713,51.104065,502.87753,302.13562,92.84713,397.54565,686.45459,334.20999,33.844124,414.50925,352.43094,1320.683,105.00038,295.41022,205.68643,199.36929,196.34245,32.126369,64.878082,8.2300119,24.218527,198.94955,60.987267,20.021236,39.310207,16.957539
2013,Renter or other,51.004677,89.594025,120.57404,66.806137,10.568658,67.597305,5.7634611,231.84892,217.11275,206.75905,18.637432,187.36282,71.087692,45.747547,100.19096,73.749893,,16.501944,309.86288,246.52829,455.52698,43.858513,146.58658,37.497406,,202.62556,32.267624,17.257044,4.9133596,8.4229517,,,14.338781,34.546299,24.508398
2016,Owner,164.44106,1271.3069,1440.9591,606.12048,69.837448,103.29478,13.184868,969.57782,441.4628,1057.6552,52.505974,581.30469,335.5228,104.43201,501.32965,839.12598,371.45721,36.933395,461.58823,628.67798,1689.6888,112.42256,409.80264,205.70197,194.3271,207.8853,40.652565,125.88718,8.2993116,35.248943,196.61354,61.458721,23.061596,43.542564,32.627632
2016,Renter or other,58.901855,111.24509,140.34741,81.6502,12.400256,28.931126,3.8830886,777.73279,180.54359,308.96185,22.45417,569.85272,87.163338,29.050098,122.17471,78.813751,,18.208084,357.00961,302.40369,302.18823,21.941647,142.41032,39.501183,,150.3403,35.035198,29.694109,4.4542532,25.31987,,,16.608673,40.956478,13.078702
2019,Owner,158.13554,1274.0449,1452.9796,596.80469,65.59594,130.71967,11.196303,830.55707,470.74673,1091.4762,54.411118,617.21228,351.72455,116.61079,514.26794,859.85065,398.95328,36.657242,495.28488,463.04837,1653.6046,112.13271,436.50119,217.09183,209.2442,248.35292,39.564327,116.29808,8.4360733,35.628937,213.63889,57.877789,22.433912,49.162552,23.225416
2019,Renter or other,58.525433,110.76839,136.96895,88.3582,15.201307,45.612949,4.823276,337.20572,137.36198,370.31979,18.420628,388.99362,95.843452,25.860649,129.24568,65.416489,,16.757378,258.08969,219.09114,323.42908,23.375193,146.11768,37.175713,,140.29979,38.120022,13.174937,4.8769379,10.187566,,,14.970684,44.280914,24.706221
2022,Owner,177.20491,1525.1582,1703.5997,715.5451,85.432526,101.61925,19.117296,955.91327,481.79337,1062.3824,63.377731,523.14795,393.9108,140.88005,589.99945,992.33862,471.05899,47.474041,544.60535,508.85495,1888.6475,109.23797,540.73248,221.56895,212.49788,245.20583,38.515411,317.99088,7.1652527,63.045666,215.29826,44.334057,23.351627,49.199551,13.461094
