year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Owner,76.966934,231.91878,299.12659,46.572815,7.2625923,34.583771,1.4986302,64.556374,18.444679,34.583771,6.9167542,59.945206,32.278187,11.527925,23.055849,224.58702,161.39095,19.136354,115.27924,50.722866,126.80717,18.444679,78.389885,72.210915,73.778717,62.25079,16.139093,6.9167542,2.3055849,6.9167542,71.473129,43.80611,13.833508,6.9167542,4.6111698
1989,Renter or other,31.267818,4.6111698,16.254374,5.302845,2.3055849,13.833508,1.1527925,46.111698,11.527925,4.6111698,4.6111698,103.75132,9.2223396,2.3055849,7.1473131,11.527925,,9.2223396,78.389885,43.229717,25.361433,13.833508,10.246019,6.9167542,,40.347736,7.4700947,2.3055849,1.8444679,1.8444679,,,9.2223396,6.9167542,1.5677977
1992,Owner,72.201263,205.3322,290.28296,45.168938,7.0446968,24.863636,1.4503788,62.159092,20.719696,37.295456,7.251894,41.439392,37.295456,10.359848,26.935606,214.86325,165.75757,17.197348,102.5625,66.303032,103.59849,16.575758,62.159092,75.005302,90.130684,55.94318,11.60303,5.8015151,2.2791667,6.215909,84.95076,24.863636,12.224621,7.6662879,3.5016289
1992,Renter or other,36.100632,6.7339015,18.854925,6.0087123,2.0719697,15.539773,1.0359849,51.799244,6.6303029,20.719696,4.1439395,41.439392,9.5310602,3.1079545,9.841856,10.567045,,8.8680305,103.59849,51.799244,31.079546,10.359848,9.5310602,7.251894,,37.295456,7.4590907,2.4863636,1.8647727,3.1079545,,,9.5310602,6.6303029,1.3882197
1995,Owner,73.338318,200.99408,306.84256,47.340538,5.8062806,21.289696,1.9354268,75.481644,19.354267,42.579391,11.612561,67.739937,38.747246,9.6771336,34.837681,223.73534,172.25299,23.225122,106.34203,67.739937,68.010895,19.354267,57.095089,87.752251,98.706764,58.062805,13.160902,9.2900486,2.9031403,5.8062806,98.706764,23.225122,13.547988,6.773994,3.7934365
1995,Renter or other,35.678101,9.3287573,23.863813,8.7481289,2.2644494,15.483415,1.9354268,13.547988,7.1610794,19.354267,6.773994,27.095976,13.547988,2.9031403,12.28996,14.515701,,12.386731,72.578506,23.225122,29.031403,9.6771336,7.3546219,9.2900486,,83.223351,9.5610085,2.7095976,2.3225121,2.9031403,,,11.999646,7.7417073,1.7418841
1998,Owner,79.466431,241.04466,352.48679,75.212502,8.9343338,32.82,1.8233334,75.668335,36.466667,53.788334,14.586667,58.346668,54.700001,10.575334,61.993332,237.58034,182.33333,23.885666,118.51667,85.696663,104.84167,21.879999,63.816666,109.92876,113.04667,76.580002,17.449301,4.0113335,3.6466668,7.2933335,113.04667,23.703333,16.227667,11.304667,4.5583334
1998,Renter or other,36.961128,7.658,21.296534,6.3816667,2.0056667,18.233334,1.094,91.166664,14.586667,21.879999,9.1166668,41.936668,14.222,1.8233334,13.675,13.128,,11.304667,117.78733,27.35,36.466667,9.1166668,7.2933335,10.94,,50.141666,14.039667,5.1053333,2.3156333,2.3703334,,,12.945666,14.586667,1.7139333
2001,Owner,87.811714,289.11063,404.78836,86.046822,9.7095642,25.110941,2.0088754,83.70314,38.503445,66.962509,16.740627,117.18439,66.962509,10.044376,83.70314,262.82785,205.90971,27.119816,133.92502,83.70314,156.52487,25.110941,75.332825,116.04603,117.18439,66.962509,17.510696,25.110941,3.5155318,6.6962509,120.53252,25.110941,16.740627,13.392502,5.0221882
2001,Renter or other,41.323162,8.0706568,22.43244,6.5288448,2.0088754,16.740627,0.63614386,50.221882,10.546596,16.740627,12.55547,66.962509,11.718439,3.3481255,11.73518,14.731752,,12.722877,100.44376,54.40704,25.110941,10.044376,2.266681,10.044376,,63.614384,11.718439,1.6740627,2.0088754,3.3481255,,,11.551033,13.392502,2.0423565
2004,Owner,87.113144,290.21445,455.66965,75.421188,9.4276485,31.425493,1.5712746,102.13286,31.425493,78.563736,10.998922,70.707359,72.278633,9.4276485,70.707359,316.76898,251.40395,27.497307,159.79863,94.276482,128.05888,28.282944,94.276482,150.49669,149.27109,141.41472,20.426571,12.570197,3.9281867,6.2850986,149.27109,34.568043,18.855297,15.712747,4.0853143
2004,Renter or other,38.716953,6.3636622,19.185265,4.7138243,1.7284021,10.998922,1.0998923,202.69443,7.5421185,15.712747,4.7138243,65.993538,17.284021,3.1425493,14.141472,13.04158,,11.156051,125.70197,87.991379,47.138241,12.570197,3.2996769,12.255942,,130.4158,13.67009,0.70707363,2.3569121,4.7138243,,,12.727324,13.984344,3.1425493
