year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Less than 20,100,100,78.894577,61.792519,55.287834,7.7616959,4.8048768,0.34643298,1.7571099,0.81391555,13.084647,0.35388732,4.3271747,9.2294416,3.2292814,64.617645,32.963371,51.57098,4.1846733,2.5175853,3.0905766,5.0460434,35.164764,47.213699,7.5367889,0.99193192,33.379364,0.85650957,14.971437,5.8545156,7.4516335,0.08515586,12.270253,8.4744587,20.54859
1989,20-39.9,100,100,95.029854,87.90152,83.036354,20.870667,13.845788,1.937999,9.5373821,2.6156003,26.250772,2.9033737,16.40518,13.703195,15.625908,87.823723,55.261284,81.583931,6.3878088,7.7706776,9.043088,7.5802703,62.131561,59.620586,23.306089,0.89696985,40.246693,1.9050614,28.239141,5.247551,22.122589,1.1834993,21.706245,8.2628412,23.475708
1989,40-59.9,100,100,99.94471,96.051262,92.923607,22.350313,25.055456,3.8996382,12.49111,6.6745772,34.759537,2.7512293,38.214462,15.205963,28.9044,97.319328,64.92627,94.715958,11.258501,9.7216578,10.569698,11.291869,70.091469,77.960655,37.886162,3.2598579,53.501976,1.6668015,48.754314,4.7613144,37.324009,2.404315,41.648293,7.623601,22.896303
1989,60-79.9,100,100,99.469742,98.911705,97.762741,20.334824,35.056164,5.5600405,18.549963,6.9689336,48.332546,4.049963,52.170689,16.148483,43.856285,97.290588,76.131348,94.983559,15.286832,13.120771,14.574827,15.378331,80.472343,86.010345,56.288601,5.5977364,64.000198,4.2170992,57.353138,6.0810108,55.380863,4.0428596,50.829533,12.174015,26.783312
1989,80-89.9,100,100,100,99.888245,98.248718,22.886692,46.248619,7.3437438,29.077667,15.042724,51.222813,5.5085268,70.01709,14.121227,58.220837,99.027969,86.571419,96.94796,20.446022,17.091969,21.253923,16.30789,90.864212,93.519943,70.389786,10.693788,63.334312,8.5006857,57.653313,7.893899,69.818855,4.1546903,55.198326,7.9969597,19.348284
1989,90-100,100,100,100,99.676079,99.394402,33.383869,35.35099,26.284313,55.09446,23.681271,58.905228,11.322622,79.422874,22.566544,77.241875,99.5933,93.552353,95.228874,37.269371,27.92487,37.480629,23.592283,98.15435,87.541069,74.113838,19.432339,48.338959,5.8418531,40.294445,14.85603,71.357262,11.789122,38.534328,8.2447557,13.244473
1992,Less than 20,100,100,82.597603,68.161736,62.111134,10.946838,6.861752,0.70794982,4.316792,2.3307278,16.14024,0.52429879,5.7260227,8.6954346,7.5108862,67.58876,39.244011,56.040649,3.0046504,2.8498485,4.382699,4.7183256,42.949471,48.899902,10.324689,0.5047605,31.116177,0.57126045,23.3529,4.7341547,10.322796,0.001892583,10.042754,10.385303,17.25239
1992,20-39.9,100,100,97.089989,89.192139,84.736015,16.602509,11.57937,2.1145885,7.6067262,6.1411371,25.392458,3.2791104,23.512274,10.078069,20.040462,91.245758,56.429897,86.433823,7.483706,6.3179665,8.4630938,3.9146667,61.753021,66.176758,22.013403,2.040529,42.405083,1.2238081,42.00544,5.9767199,21.295162,0.71824145,23.986071,8.0132217,20.961334
1992,40-59.9,100,100,99.703133,95.07206,91.291809,16.886471,20.39786,2.1740518,13.664766,8.5553293,34.833389,3.1502523,38.021324,10.439654,34.169231,97.138901,61.388729,93.954903,11.313857,8.0278873,11.246002,9.5601206,68.392899,78.776146,35.342464,4.0108943,54.471352,2.5030062,51.784538,8.9817486,34.891968,3.5063906,33.854076,14.135323,24.942101
1992,60-79.9,100,100,100,99.497932,97.651054,18.064377,33.63559,4.5212545,21.374084,12.562119,45.244652,5.013835,55.640011,12.254796,51.326992,98.654167,75.352509,96.632591,13.391919,10.898198,16.41334,7.0190167,79.690407,85.015701,56.459473,5.636591,54.17318,2.9014099,55.630959,9.6121473,55.885918,5.1682692,42.695587,11.442482,19.419729
1992,80-89.9,100,100,100,100,98.849976,21.066454,40.82719,5.9887109,27.970467,17.097042,49.955875,6.6098156,73.965019,11.574706,66.555107,99.571144,84.32756,97.926392,20.822683,12.752185,22.106102,11.832989,90.024513,87.232071,68.184792,10.011041,54.405296,4.9557991,53.126034,9.243886,66.819061,8.6940575,43.684517,12.196894,15.220447
1992,90-100,100,100,99.577919,98.810997,98.655083,21.115904,37.256317,17.515684,48.023075,27.924505,55.641949,9.5003433,81.083862,16.32613,76.870995,99.130264,90.113808,96.928009,35.733707,25.923702,40.507389,18.358366,95.210922,87.486687,74.778664,22.336647,40.919704,4.2865963,38.373329,16.027832,73.272408,15.28078,33.027172,6.4449687,10.263506
1995,Less than 20,100,100,84.401703,70.263878,63.139107,9.1087732,4.9921865,0.20890167,2.7402468,1.4613637,15.971313,0.69133294,8.8765402,8.8946772,6.3163733,69.964104,39.558887,58.352024,4.1625314,3.9134989,4.871479,3.2567513,41.179485,49.250271,10.56356,1.2851615,27.419441,0.10313998,26.585428,6.748013,10.321349,0.25759879,11.111644,9.699111,11.011724
