year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Less than 20,13.780173,56.942249,79.443962,27.73266,8.017971,48.734943,8.3171148,103.25774,99.14563,39.208477,12.195523,32.794285,35.929737,30.727566,69.386925,70.476524,88.445457,8.9880848,59.777279,84.411362,200.60204,18.312386,64.647392,12.146326,29.698891,22.251492,7.5661469,2.9138608,1.2249674,9.2541103,30.038019,0.023055848,6.6526561,12.014014,3.363302
1989,20-39.9,33.928295,156.92236,183.32686,54.50679,18.348392,52.786194,8.4856195,80.253548,25.135401,47.814068,10.099001,72.750458,52.680305,13.689883,31.251328,143.81416,144.65021,12.313637,87.001541,66.698448,254.07239,34.366165,106.37217,29.004911,45.819664,76.112,11.668891,4.2444873,2.7156088,7.3816786,45.571239,50.463356,10.1071,7.839725,7.9004507
1989,40-59.9,59.85268,236.63718,276.56473,73.670097,18.151831,64.01223,9.6963634,89.487938,54.960293,39.628216,12.364259,150.92177,34.097095,17.608032,40.810425,211.31541,181.15005,17.371172,165.14268,81.932617,406.3219,18.408953,144.81471,51.018864,65.433952,54.075775,20.383545,3.8150175,3.7697542,8.7019672,64.727448,26.266727,15.457402,16.907787,13.883785
1989,60-79.9,94.42524,314.91446,394.72253,121.71358,24.12952,67.682571,8.0945406,117.33809,68.918907,73.946999,19.910385,269.06104,43.088314,78.875504,59.305069,279.82202,218.92348,24.875746,124.14874,146.67769,266.30481,31.902721,144.46431,90.355423,98.827492,47.396179,24.226437,7.1242886,4.4452934,17.733366,96.300453,56.806026,19.445471,14.589732,14.3551
1989,80-89.9,141.31918,515.63684,627.09613,169.66455,32.59589,52.087276,4.9145403,151.27197,75.253342,43.043373,25.838978,139.96196,82.592514,35.520432,75.812927,462.1131,292.96613,33.018246,243.01787,240.25673,352.13327,39.192894,203.37312,119.18236,114.86418,83.642746,22.414436,25.212332,5.1177616,30.051466,112.16195,61.195175,21.313755,8.3821802,9.1009321
1989,90-100,400.33856,2319.1008,2528.6599,867.79138,134.70549,161.8174,19.363142,415.73065,299.75583,246.95366,71.289032,626.86853,222.58244,210.7981,393.40259,1670.4734,559.97314,50.869873,369.43991,984.38477,1683.5503,202.55511,971.91028,239.38371,196.50107,137.15399,38.917011,138.07848,9.0273771,45.479092,187.89583,98.032524,23.692564,14.498838,64.078911
1992,Less than 20,13.586676,69.047539,95.892601,22.144224,6.7101603,35.83532,8.3918686,30.357191,29.947443,49.466839,6.9056296,35.29409,32.203873,7.1671309,27.981483,94.854683,110.06803,8.5623007,97.56192,145.6991,194.67809,10.63662,77.095718,20.771925,56.653358,46.841324,8.5278072,1.8351048,2.6373153,16.725916,56.648552,82.878784,7.3064628,9.0848913,5.6587167
1992,20-39.9,32.90984,134.31413,160.54565,46.052563,10.919797,54.297768,4.4723511,35.958286,40.18491,48.324726,16.119757,75.214554,24.880583,30.712498,33.13459,125.81242,140.48045,11.910629,81.411209,102.14143,136.77339,28.345066,86.787804,32.57885,62.53183,20.916357,12.470212,32.881363,3.3546631,4.4822021,63.723598,27.196983,10.477428,13.625124,8.029398
1992,40-59.9,56.304955,210.14429,254.98331,72.709686,19.193233,77.384911,4.9690075,63.978638,50.703247,64.347084,18.109644,72.051765,33.818169,21.676491,42.468208,190.55162,166.40048,16.109283,137.93797,232.10681,273.04129,29.994886,124.25565,55.95866,79.375023,89.89138,15.484729,7.4335828,3.9400375,19.622046,76.557297,38.237061,10.725911,20.41301,7.6903634
1992,60-79.9,89.630081,289.50467,366.40146,106.10437,19.180313,62.459049,4.8279643,158.55678,50.897976,64.785942,19.147141,85.354828,57.923225,21.035061,57.984188,264.38803,210.16934,22.893543,140.24393,166.88383,245.69522,43.365566,126.94247,90.450104,104.20686,79.216179,17.038889,7.1662545,5.6173806,10.753236,103.16558,22.82419,14.705996,11.396288,8.48456
