year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Less than 20,14.4313,4.426723,17.983562,2.3055849,1.1527925,29.972603,0.46111697,29.972603,69.167542,32.278187,2.0750263,27.667017,11.527925,1.8444679,34.583771,20.750263,69.167542,4.6111698,31.250359,23.055849,23.055849,2.3055849,34.583771,3.9194942,16.139093,9.2223396,3.1125395,2.3055849,0.69167542,1.1527925,16.139093,0.023055848,4.6111698,6.1789675,1.1527925
1989,20-39.9,33.673035,57.178505,95.543434,10.144573,2.3055849,23.055849,1.6139094,57.639622,11.527925,23.055849,4.6111698,46.111698,6.9167542,2.3055849,13.833508,86.643875,115.27924,9.2223396,57.639622,27.667017,39.194942,11.527925,53.02845,11.527925,27.667017,55.334034,6.9167542,2.0750263,1.3833508,2.3055849,27.667017,57.639622,6.9167542,6.9167542,2.3055849
1989,40-59.9,60.130417,97.111237,155.58087,19.366913,4.6111698,25.361433,1.3833508,36.889359,9.2223396,13.833508,4.6111698,16.139093,16.60021,4.6111698,11.527925,119.89041,138.33508,13.833508,103.75132,34.583771,80.695473,13.833508,59.945206,27.667017,48.417282,32.278187,13.833508,1.1527925,1.8444679,2.0750263,48.417282,18.444679,13.833508,9.2223396,3.4583771
1989,60-79.9,93.803452,155.62697,249.00316,34.906555,6.4556375,23.055849,1.1527925,46.111698,11.527925,23.055849,6.9167542,73.778717,20.750263,6.9167542,13.833508,195.97472,172.91887,20.750263,92.223396,23.055849,69.167542,16.139093,66.170288,65.017494,83.001053,32.278187,16.139093,4.6111698,2.3055849,2.3055849,83.001053,34.583771,14.386849,6.9167542,4.6111698
1989,80-89.9,137.09735,309.24811,445.90012,68.245308,11.066807,20.750263,1.1527925,62.25079,11.527925,18.444679,11.527925,73.778717,34.583771,6.9167542,22.133614,315.86511,230.55849,27.667017,138.33508,57.639622,138.33508,23.055849,92.223396,92.223396,96.834564,62.25079,18.444679,4.6111698,2.9742045,9.2223396,94.528976,57.639622,18.444679,4.6111698,4.6111698
1989,90-100,240.52167,910.70599,1090.5416,341.23117,34.583771,46.111698,2.3055849,80.695473,34.583771,57.639622,23.055849,138.33508,103.75132,36.889359,92.223396,688.67816,461.11697,34.583771,219.03056,219.03056,345.83774,57.639622,258.11023,170.61328,161.39095,92.223396,18.444679,11.527925,5.0722866,11.527925,138.33508,55.334034,16.139093,6.6631403,18.444679
1992,Less than 20,14.015539,8.1635609,31.183144,2.6106818,1.2017424,13.467803,0.62159091,20.719696,10.359848,35.223484,2.0719697,24.863636,16.575758,2.0719697,15.539773,44.754547,82.878784,4.9727273,49.727272,41.439392,60.08712,3.9367423,42.47538,4.4754543,31.079546,53.871212,3.9367423,1.6575757,1.0359849,2.0719697,31.079546,82.878784,4.3511362,6.215909,2.0719697
1992,20-39.9,31.853498,57.497158,87.292084,8.0806818,2.2791667,33.151516,0.82878786,26.935606,8.287879,12.431818,3.7295454,33.151516,8.7022724,4.5583334,7.6662879,76.455681,111.88636,8.7022724,43.511364,18.647728,24.863636,10.359848,41.439392,11.395833,43.511364,8.287879,6.0087123,10.25625,1.7404546,1.6575757,43.511364,24.863636,7.4590907,5.5943184,2.0719697
1992,40-59.9,55.21273,81.946404,128.10989,16.161364,3.7709849,31.079546,1.0359849,37.295456,9.9454546,31.079546,4.7655301,33.151516,14.503788,6.215909,10.359848,102.7697,134.67802,12.431818,86.323441,39.367424,62.159092,10.359848,41.439392,23.413258,66.303032,33.151516,8.5572348,3.3151515,1.8647727,4.1439395,62.159092,20.719696,8.5572348,7.0446968,2.0719697
1992,60-79.9,87.066231,156.24724,255.05946,36.052273,5.5943184,13.467803,1.1395833,82.878784,10.359848,25.899622,7.251894,41.439392,24.863636,4.1439395,16.886553,191.94727,176.11743,19.06212,82.878784,62.159092,72.311745,10.359848,53.871212,63.60947,91.166664,37.295456,13.675,3.1079545,2.9007576,6.0087123,91.166664,18.647728,13.467803,8.0806818,2.6935606
