year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Less than 25,100,100,78.670868,63.83411,56.48254,1.1177003,8.7348852,0.034485459,1.5743368,0.15948798,13.473141,0.13195159,8.038415,9.3021784,3.6879869,61.632633,8.6354446,58.553963,1.2018403,0.82868403,1.7416942,3.3985336,10.814524,60.775822,5.1790056,0.8029952,49.127766,3.2959292,27.589622,7.6038222,5.1790056,0.020884946,24.473934,14.491674,29.474434
1989,25-49.9,100,100,100,93.751297,89.483292,14.419849,19.662973,1.3347639,9.5917816,3.1213763,28.430338,1.2757077,30.075705,15.830911,24.449207,96.141983,61.364838,87.317276,5.320394,5.2347431,7.2548761,10.336619,69.305206,78.136848,39.984612,1.6095235,58.373199,3.4179039,48.24437,3.5367076,39.984612,0.79051697,41.248295,9.1920214,27.522717
1989,50-74.9,100,100,100,98.14669,97.19381,25.768322,32.207916,2.8109319,15.505929,6.9237065,45.575428,3.9628248,43.357708,11.7261,36.251026,99.640541,92.142288,94.704185,12.565557,13.674243,12.112581,12.120535,95.596611,77.213539,57.703011,4.400641,52.480171,2.6055567,49.14304,5.1143703,56.269455,5.0914931,42.94875,6.820365,18.649872
1989,75-89.9,100,100,100,99.700073,98.510017,34.074608,36.455502,10.956629,31.365011,11.920994,50.292778,6.4326892,65.588669,15.875558,54.554073,99.543175,93.878372,94.829079,25.916485,16.587633,20.658892,17.147991,97.656944,76.106071,60.201962,9.4547176,41.673908,2.5917227,43.373631,8.668581,58.355064,7.120327,34.013847,6.4311771,14.439069
1989,90-100,100,100,100,100,100,44.505116,32.949383,30.19997,55.086697,29.451897,60.837681,13.861141,69.633141,29.277208,75.87793,99.868996,92.513214,94.208076,45.32814,37.019226,49.485481,28.115833,98.956535,68.231537,47.113644,20.390524,31.501104,4.4506912,19.138145,12.994448,44.664722,5.9407501,23.977808,3.4141579,9.2370825
1992,Less than 25,100,100,83.341042,71.347977,64.952019,1.6171132,9.0978479,0.05248031,2.4713173,0.5714522,12.544384,0.38564968,12.314172,7.4603205,8.6485634,67.116692,11.015836,65.602119,0.98204184,0.76216799,2.2159033,3.055403,13.420928,64.855431,8.040802,0.84214461,52.318504,2.3672068,38.624031,7.7086029,8.040802,0.14773974,26.037788,20.237555,26.037912
1992,25-49.9,100,100,100,92.16774,87.598549,9.4597816,19.163652,0.74211335,8.332284,4.2874889,32.030361,1.0030233,32.636223,10.38822,28.524334,96.970436,64.192993,89.075981,5.526082,3.4783316,8.0737314,5.4058075,71.134666,79.269966,42.727146,2.6969161,56.435085,1.9225192,52.714687,8.314189,42.268795,2.1349766,38.667549,10.540159,24.536312
1992,50-74.9,100,100,100,97.89624,95.617889,22.546127,29.078556,2.0570543,17.172602,10.099315,40.550987,4.3754787,47.07745,12.104156,45.186707,99.281822,87.01046,93.236069,11.735614,9.5173349,15.606867,8.8317528,93.838486,77.255478,52.662243,4.8883715,44.752377,2.0919538,49.538792,7.1316228,52.226131,4.6448631,31.816484,6.8566594,17.051308
1992,75-89.9,100,100,100,99.492882,99.300064,31.701103,33.616512,7.7344589,30.972937,21.635084,50.138359,7.6670055,64.50914,11.858043,58.506424,99.744057,93.103043,96.563072,23.597046,16.872587,20.613604,11.589638,97.008835,71.32605,51.368359,9.9712858,33.661152,3.0146194,39.318539,7.9025841,50.022575,9.0788269,25.738945,5.6960177,9.99685
1992,90-100,100,100,100,99.882362,99.707428,35.57053,29.263145,23.813652,53.530022,34.358105,60.797443,14.135831,74.030365,18.167875,75.875473,99.907181,94.058029,96.341202,45.948338,35.164558,47.970615,20.004009,99.296204,72.016037,55.621365,20.715923,25.397692,3.167274,25.866491,14.144245,53.51548,11.833147,17.952837,3.9680302,6.5716438
1995,Less than 25,100,100,85.517975,72.072189,64.424965,1.7763534,8.2952442,0.19125424,2.8325157,1.8378017,11.270585,0.80138761,15.131353,9.1645393,12.486358,68.377571,13.68437,65.235573,0.85943896,0.79338902,1.9482044,2.9234388,16.244368,66.533928,9.4394245,0.71650803,48.862164,2.3870111,41.431831,9.5992384,9.4394245,0.37809539,25.369902,19.677652,22.1521
1995,25-49.9,100,100,100,95.035957,89.896408,8.681303,19.906279,0.53386497,8.7179775,5.2613306,27.135712,1.9305272,42.172226,10.456532,35.87899,96.250351,64.212402,87.884796,5.5541391,4.5831451,7.4005222,6.9804692,71.398972,81.488647,47.757389,2.5277078,54.75423,2.1314824,55.452709,9.4795618,47.61396,1.2035865,39.770592,12.747152,20.16324
1995,50-74.9,100,100,100,97.89431,96.221344,17.670668,27.507317,1.4253017,13.639873,11.381074,38.505619,3.3714142,51.96394,12.843639,44.771564,98.987785,88.147652,90.981049,10.929388,8.6830816,14.543756,9.4185171,92.806686,79.45562,55.29705,3.3508904,47.335838,1.3002769,57.244392,6.9677501,54.651619,3.223238,35.193218,9.4586296,14.367718
1995,75-89.9,100,100,100,100,98.706581,27.094519,34.71286,4.8772664,29.271782,23.496319,47.457321,6.3682799,66.529655,11.72945,61.252098,99.81398,92.281105,92.139503,21.448009,15.432081,18.560568,11.149656,96.490662,70.424881,49.266899,8.2064047,36.153969,0.87828356,39.543682,8.2227488,47.670185,5.1345739,30.16111,6.2506752,6.7456088
1995,90-100,100,100,100,99.976654,99.680496,32.214542,36.413723,18.163326,45.526062,41.726097,56.189632,14.367297,80.360039,19.11311,80.023155,99.902512,93.500298,92.414673,42.872356,33.629574,40.176971,18.428003,99.544235,70.857437,54.62228,18.776737,27.941025,3.2005446,27.96982,7.2871108,52.920975,8.9341078,20.779577,4.7037516,8.366353
1998,Less than 25,100,100,87.387306,78.12561,72.382919,2.9530151,6.9821057,0.089025855,3.2220435,2.1335783,10.720186,0.50791788,18.572008,7.88481,16.224993,65.187927,14.082541,62.301075,1.2885101,0.61469322,2.0388262,2.661041,16.668961,65.581825,11.330009,0.71832329,47.126263,2.836076,39.579639,9.3789711,11.330009,0.26078579,27.029846,20.259813,16.626106
