year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Employee,100,100,97.05616,92.659721,89.018509,15.190151,29.8433,3.9156547,16.866674,6.3496432,37.082905,3.6927569,46.890301,15.360296,37.283871,92.116089,62.023155,89.829018,11.578452,9.4356098,7.7282805,12.028591,67.254608,86.354622,49.773815,5.7728777,61.664871,4.5629382,53.30735,7.4813557,48.76643,4.183619,46.774311,11.882388,25.382883
1989,Self-employed,100,100,100,98.642746,96.110817,24.135986,23.734474,10.363235,25.050917,12.202567,47.365482,3.7977798,44.599457,22.365065,36.373005,98.506889,73.136284,94.199783,22.218962,26.712219,69.319435,19.131506,86.485504,80.084457,49.89336,8.6165686,53.822556,4.4564576,29.347651,10.749147,49.538021,4.043891,36.057228,8.3648033,23.407124
1989,Retired,100,100,93.820686,85.921638,84.089485,32.596241,15.875731,8.8400221,16.503357,8.889739,32.904255,4.3306179,20.026249,10.074705,24.063856,87.116463,72.841591,74.622627,14.953136,10.469237,4.3623495,9.3001595,73.056931,40.223053,16.703648,2.9124033,21.917591,0.26571724,18.321285,3.3155439,15.896617,0.95104456,13.04712,1.4075341,13.094438
1989,Other not working,100,100,68.471077,51.470428,43.920258,4.875391,3.8793974,1.4587704,4.8323336,1.0243183,11.907756,1.1317337,6.4448957,11.141284,7.5651336,57.610012,30.160341,49.349781,5.2913795,2.0529797,1.6428505,7.8013916,31.408209,60.007996,19.864105,2.6856687,41.025589,0,20.87261,5.5230141,18.913473,0.95063323,10.538713,13.125585,24.428282
1992,Employee,100,100,97.895203,93.256027,89.881653,11.76655,27.723398,3.2686307,18.304714,10.320194,36.720745,3.9372437,50.485027,10.743377,44.008381,93.640884,61.33535,91.178345,11.263675,8.4222174,8.6203308,9.1733961,66.931435,85.618362,48.611549,6.1561141,58.145519,3.0646532,53.863823,9.3863478,47.929276,4.8588867,39.928631,14.145246,22.559271
1992,Self-employed,100,100,98.969963,98.130409,95.767426,18.443581,23.047277,7.1546154,25.68178,14.700808,41.02232,2.5917084,49.379822,19.03153,46.849247,98.252823,76.717636,95.407845,22.649586,20.160698,75.727249,11.626903,89.031044,85.088135,58.990585,12.952857,47.837029,3.8324847,47.541325,12.444633,58.120987,7.6945853,31.190893,10.056772,20.985178
1992,Retired,100,100,95.639404,88.050301,85.64241,30.132639,14.463712,6.1972694,14.48671,11.461813,34.23563,5.6712179,21.802874,7.3065653,25.327282,89.091866,73.524498,78.746819,13.865618,9.2622595,4.4343224,5.1712322,76.022591,45.139923,16.855461,2.5801609,21.116293,0.54100889,25.302868,5.2165999,16.216228,2.5730114,12.053783,2.318038,10.08964
1992,Other not working,100,100,78.355385,66.630623,58.99361,4.6164007,9.989727,0.74494249,4.509902,1.9833119,16.297333,1.0028191,16.289007,14.824466,13.468872,67.039993,33.293293,62.946335,5.173975,3.0065243,2.3353014,5.0695586,34.356934,64.303856,20.060038,2.573401,41.272785,1.5303409,29.235626,6.4001646,20.060038,1.2324558,16.570135,14.808127,21.771051
1995,Employee,100,100,98.650261,94.423744,90.005035,10.407802,26.578302,2.5219326,15.305686,12.359271,32.215076,3.5923114,56.100475,12.149581,48.638432,93.876686,63.83905,89.890648,10.424393,7.8971581,8.2010059,9.2952795,68.771332,87.353951,51.190018,5.4398074,58.556755,2.3033967,57.955334,9.9405937,50.836811,3.364717,42.177433,15.585238,20.46434
1995,Self-employed,100,100,97.796844,94.638626,91.94458,18.674288,25.824085,5.2970953,18.723637,19.028978,41.933559,3.1465914,50.750237,18.704439,41.67828,96.024963,74.455597,86.095337,21.495012,21.736694,66.649002,13.372719,84.128105,81.188232,51.632603,8.2849236,45.559097,3.5732231,45.29446,8.8347855,51.004845,4.4373965,27.375084,12.311841,15.819164
