year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Employee,74.561722,88.303902,179.30533,22.133614,4.6111698,16.139093,1.1527925,23.055849,9.2223396,11.527925,6.9167542,41.500526,23.055849,4.6111698,14.986301,155.69614,175.22444,17.753004,115.26772,41.500526,57.639622,13.833508,57.639622,46.111698,83.001053,64.556374,13.833508,4.6111698,2.3055849,4.6111698,83.001053,43.80611,13.833508,6.9167542,3.4583771
1989,Self-employed,86.587799,390.79663,514.37598,45.189461,10.029294,34.583771,1.1527925,80.695473,23.055849,48.417282,13.833508,138.33508,50.722866,13.833508,46.111698,424.2276,230.55849,23.055849,184.44679,126.80717,140.17955,43.80611,185.02318,59.945206,80.695473,92.223396,18.444679,23.055849,2.3055849,11.527925,73.778717,50.722866,18.444679,6.9167542,9.2223396
1989,Retired,33.673035,156.01892,189.28851,47.495049,7.9542675,50.722866,4.6111698,69.167542,48.417282,53.02845,4.6111698,103.75132,34.583771,18.444679,46.111698,138.33508,126.80717,11.527925,89.917809,39.194942,156.77977,18.444679,87.612221,11.527925,25.361433,32.278187,8.0464907,0.92223394,1.1758482,2.3055849,25.361433,16.139093,11.527925,4.6111698,2.0750263
1989,Other not working,16.836517,1.3372391,27.943687,2.3055849,1.8444679,4.6111698,1.3833508,92.223396,69.167542,13.833508,2.3055849,23.055849,4.6111698,1.6139094,11.527925,27.667017,80.695473,4.6111698,69.167542,32.278187,175.22444,4.6111698,20.750263,8.7381668,29.972603,46.111698,4.6111698,,1.3833508,0.64556372,29.972603,4.6111698,6.9167542,4.6111698,1.1527925
1992,Employee,72.201263,81.946404,161.82083,21.548485,4.1439395,14.503788,1.1395833,51.799244,10.359848,24.863636,6.6303029,41.439392,23.413258,4.1439395,17.611742,135.46538,176.11743,15.332576,93.23864,43.925758,31.079546,12.431818,39.367424,43.511364,95.310608,45.583332,10.359848,3.3151515,2.1548486,5.179924,93.23864,24.863636,11.810227,6.8375001,2.0719697
1992,Self-employed,93.436928,304.57956,417.70908,41.439392,10.359848,20.719696,1.0359849,103.59849,22.791666,51.799244,13.260606,196.83713,51.799244,14.503788,35.223484,372.33295,258.99622,22.791666,155.39772,124.31818,124.31818,31.079546,149.18182,89.716286,126.39015,84.95076,13.260606,8.287879,3.625947,10.359848,124.31818,29.007576,12.431818,7.251894,4.1439395
1992,Retired,31.853498,146.07387,177.0498,34.601894,6.215909,41.439392,2.0719697,66.303032,33.151516,51.799244,4.7655301,41.439392,37.295456,12.431818,37.295456,135.92122,134.67802,9.4274626,93.23864,41.439392,124.31818,14.503788,72.518936,11.395833,39.367424,37.295456,7.0446968,8.287879,1.4918182,4.1439395,35.223484,20.719696,7.6662879,7.4590907,3.1079545
1992,Other not working,23.359232,6.8375001,42.060986,6.215909,2.0719697,13.467803,1.0359849,93.23864,16.575758,21.962879,9.9454546,12.431818,20.719696,3.7295454,15.539773,37.295456,116.0303,8.7022724,62.159092,103.59849,33.773106,15.539773,29.007576,9.5310602,51.799244,55.94318,5.3871212,2.4863636,1.5539773,5.179924,47.655304,55.94318,9.5310602,6.215909,1.9269319
1995,Employee,71.356201,95.803627,191.02663,28.257231,3.8708537,15.483415,1.7031755,34.837681,11.031933,25.160549,10.644848,29.031403,30.966829,3.8708537,21.289696,157.54375,174.18842,21.289696,89.997345,32.902256,29.031403,19.354267,34.837681,55.41127,108.3839,52.643608,13.354445,4.8385668,3.0966828,3.8708537,106.44847,19.354267,13.74153,7.3546219,2.9031403
1995,Self-employed,73.338318,302.12012,441.6644,50.321098,8.7094202,30.966829,1.7031755,96.771339,34.837681,48.38567,11.612561,83.223351,48.38567,7.7417073,57.095089,332.8934,232.25122,25.160549,154.83414,101.60991,96.771339,15.483415,129.6736,77.417068,116.12561,87.094208,11.419018,13.547988,4.8385668,9.6771336,114.19018,34.837681,13.935073,7.3546219,3.0966828
1995,Retired,31.713867,157.15666,185.62679,36.773109,5.8062806,30.966829,3.8708537,75.481644,34.837681,96.771339,8.7094202,96.771339,50.321098,19.354267,53.224236,152.51163,147.09244,14.128615,87.094208,65.804512,106.44847,19.354267,77.728676,11.612561,44.514816,63.869083,7.9352498,7.3546219,1.6064043,5.8062806,48.192127,25.160549,11.612561,5.0321097,1.5483414
1995,Other not working,21.803284,7.0449533,36.792465,4.8385668,1.1806103,16.451128,0.7741707,170.31757,14.515701,44.321274,6.773994,30.966829,23.225122,9.6771336,19.354267,36.773109,118.06104,11.999646,82.255638,96.771339,29.031403,15.483415,29.031403,14.902786,79.352501,38.708534,9.4835911,4.4514818,1.5483414,2.9031403,87.094208,79.352501,7.3546219,10.83839,3.2902255
1998,Employee,73.922256,95.542664,204.03101,34.643333,4.9229999,16.41,1.094,27.35,18.233334,29.173334,12.763333,54.700001,36.466667,3.0996666,32.82,163.37067,178.68666,20.239,91.166664,45.583332,36.466667,14.586667,37.732059,63.816666,120.34,67.463333,16.227667,5.1053333,3.5372667,5.4699998,120.34,21.879999,15.133667,12.763333,2.8626332
1998,Self-employed,96.098938,452.91599,600.2049,83.326332,11.414066,40.113335,1.641,273.5,94.813332,72.933334,21.879999,71.110001,90.802002,12.763333,107.57667,459.66232,264.38333,28.261667,162.27667,160.271,145.86667,72.933334,180.42249,118.51667,134.92667,100.28333,20.056667,6.9286666,3.6466668,11.851666,134.92667,30.996666,18.233334,9.8459997,14.586667
1998,Retired,35.113075,206.58366,246.14999,61.628666,9.1166668,43.759998,4.5583334,91.166664,91.166664,100.28333,10.94,58.346668,56.523335,14.951333,95.724998,179.59833,162.27667,15.680667,164.10001,91.166664,68.921997,18.233334,92.989998,18.506834,67.463333,61.993332,10.94,2.7349999,1.8233334,3.4643333,67.463333,29.173334,14.039667,6.3816667,1.8051
1998,Other not working,20.328621,6.5640001,32.637665,4.9229999,1.8233334,18.233334,2.0056667,182.33333,102.10667,40.113335,12.763333,1604.5333,27.35,0.91166669,27.35,54.153,164.10001,12.945666,82.050003,191.45,6.3816667,10.393,33.790012,22.974001,103.93,160.45334,12.398666,0.36466667,2.188,2.0056667,103.93,32.82,10.94,14.586667,2.188
2001,Employee,79.202728,109.4837,216.12151,40.947575,5.3570008,15.066565,1.6740627,43.525631,18.41469,33.481255,15.903596,92.073448,41.85157,4.5199695,40.010101,170.75439,200.88753,23.269472,117.18439,66.962509,62.777351,16.740627,42.21484,71.147667,123.88065,62.777351,16.740627,5.0221882,3.3481255,3.5155318,123.88065,25.110941,15.568784,12.890283,3.1807191
2001,Self-employed,105.0297,585.92194,735.24835,102.77071,13.392502,26.785004,3.3481255,133.92502,58.592197,164.05815,28.459066,182.47284,92.073448,23.436878,167.40628,560.81104,334.81256,32.30941,251.10941,172.42847,167.40628,50.221882,246.58945,129.08698,167.40628,145.64346,16.740627,25.110941,4.1851568,20.088753,167.40628,35.155319,16.740627,15.401377,5.8592196
2001,Retired,34.435966,193.33751,246.17093,56.0811,8.3703136,41.85157,6.6962509,83.70314,100.44376,117.18439,15.066565,167.40628,92.073448,16.740627,192.51721,175.77658,167.40628,16.740627,142.29533,85.377197,46.873756,33.481255,91.906044,16.405815,51.895947,72.821732,11.567774,6.5288448,1.4229534,5.5244069,58.592197,11.718439,12.722877,28.459066,4.1851568
2001,Other not working,27.548775,13.05769,79.183167,9.5421572,3.0467942,66.962509,0.50221884,63.614384,13.392502,66.962509,16.740627,65.288445,36.82938,3.3481255,53.570007,126.55914,167.40628,16.740627,184.1469,55.244072,184.1469,5.0221882,50.221882,57.755165,120.53252,50.221882,16.405815,0.56918132,3.3481255,4.1851568,120.53252,28.459066,12.053251,13.392502,3.3481255
2004,Employee,77.433907,105.7625,253.76086,32.211132,4.9495153,15.712747,1.0998923,39.281868,15.712747,39.281868,8.4848833,78.563736,47.138241,4.7138243,35.35368,221.86398,251.40395,23.56912,138.27217,62.850986,34.568043,15.712747,67.564812,112.59754,157.12747,130.4158,18.855297,6.2850986,3.6139319,5.4994612,155.5562,34.568043,17.284021,14.141472,3.1425493
2004,Self-employed,104.85841,546.48932,744.46997,88.148506,15.712747,31.425493,2.9854219,202.69443,39.281868,94.276482,17.284021,65.993538,94.276482,9.4276485,94.276482,527.79114,389.67612,33.939533,235.69121,196.40933,226.26355,48.709515,228.77759,147.38556,186.98169,164.98384,25.140394,3.4568043,4.2424417,10.998922,183.83914,47.138241,21.997845,23.56912,7.8563733
2004,Retired,38.716953,219.64848,260.95731,41.481651,6.5993538,39.281868,4.7138243,141.41472,70.707359,117.8456,7.8563733,70.707359,72.278633,15.712747,125.70197,206.15125,204.26572,15.712747,157.12747,94.276482,45.566967,47.138241,113.13177,24.19763,65.993538,124.1307,11.470305,0.45566967,2.2469227,4.7138243,69.136086,28.282944,12.098815,7.8563733,4.7138243
2004,Other not working,32.26413,18.305349,47.012539,7.8563733,3.1425493,12.570197,3.1425493,18.792446,7.8563733,25.140394,13.198708,42.424416,48.709515,4.7138243,23.56912,62.850986,204.26572,16.969767,135.12962,87.991379,39.281868,28.282944,37.710594,33.122471,122.55943,219.97845,11.78456,318.96875,3.9281867,12.570197,133.55835,2.3569121,11.470305,11.78456,2.6711669
2007,Employee,80.940826,133.94167,305.1752,40.78352,5.4378023,14.310006,1.4310007,67.257034,14.310006,60.102028,10.732505,38.637016,57.669327,7.1550031,41.212818,238.97711,286.20013,24.327011,178.87508,75.556831,28.620012,14.310006,80.13604,117.62825,167.42708,125.92805,19.890909,3.7206018,4.2930021,7.1550031,165.99608,30.051014,17.172009,17.172009,3.7206018
2007,Self-employed,108.9022,556.65924,779.03674,77.417137,14.123977,35.775017,1.4310007,203.20209,85.860039,114.48005,34.344017,114.48005,130.22105,28.620012,114.48005,651.67767,429.3002,31.625114,429.3002,214.6501,150.25507,71.550034,343.44016,176.01308,193.18509,224.6671,22.18051,7.1550031,6.1533027,14.310006,200.34009,64.395027,20.03401,20.03401,15.741007
2007,Retired,35.319633,230.67731,291.63794,42.930019,5.7240028,42.930019,3.5775015,113.04905,41.49902,113.04905,7.8705034,143.10007,71.550034,14.310006,58.527927,223.2361,223.2361,16.027206,157.41006,101.60104,214.6501,18.603008,134.51407,28.620012,67.257034,143.10007,12.449706,9.1584044,2.1465011,6.4395027,82.998039,18.603008,13.880707,14.310006,4.1499019
2007,Other not working,29.433027,8.1567039,39.009079,5.2947025,1.4310007,21.46501,2.8620014,469.36823,9.0153046,71.550034,3.1482015,28.620012,29.764814,4.2930021,11.448006,42.643818,228.9601,9.8739042,186.74559,69.761284,134.51407,3.5775015,41.49902,31.338915,128.79005,329.13016,15.311707,,2.5758011,11.448006,117.34206,71.550034,14.166906,14.310006,2.4327011
2010,Employee,76.335968,75.256546,225.97041,28.545069,4.4798002,13.657928,0.81947565,136.57927,16.389513,68.289635,8.1947565,43.705368,48.349064,4.7802749,28.681648,194.62547,232.18477,21.989264,131.1161,68.289635,34.144817,13.657928,28.681648,116.09238,158.43196,125.65293,19.121099,8.1947565,4.0973783,5.463171,157.06616,30.047441,13.657928,20.213734,4.3705368
2010,Self-employed,87.439377,388.56805,611.05566,68.289635,10.243445,40.973782,1.6389513,351.00873,68.289635,140.67665,25.950062,121.55556,116.09238,13.657928,102.72128,504.11411,367.39825,29.774282,341.44818,187.1136,136.57927,54.63171,162.52934,161.16354,198.03995,189.8452,20.76005,20.486891,5.463171,13.657928,198.03995,68.289635,13.931087,15.023721,8.6727839
2010,Retired,39.500393,205.5518,269.47092,39.744568,6.1460676,40.973782,2.7315855,191.21098,47.802746,159.79776,9.9702873,102.43446,91.098373,15.023721,70.748062,212.2442,204.86891,16.389513,136.57927,82.971909,171.407,34.144817,89.869164,40.973782,83.313354,84.679153,10.926342,4.5071163,2.7315855,4.0973783,86.044945,25.950062,12.292135,12.292135,3.2779026
2010,Other not working,33.310242,16.254299,56.598454,3.8255856,1.3657928,13.657928,1.3657928,292.27966,13.657928,163.89513,6.8289638,27.315855,25.950062,4.7802749,13.657928,75.801498,184.38202,14.477404,81.947563,19.340992,51.900124,16.389513,17.755306,32.314655,127.01873,128.38452,11.33608,3.6876404,2.0486891,6.8289638,128.38452,60.094883,10.789762,13.657928,4.3978529
2013,Employee,72.357666,79.030205,213.19954,27.174986,5.0976963,10.182664,1.272833,246.92961,20.365328,61.095985,7.2551484,84.006981,58.55032,3.1820827,31.820826,173.1053,217.65445,21.256311,127.2833,53.458988,16.546829,12.728331,25.456661,98.084511,152.73996,117.10064,20.365328,4.5821991,3.1820827,5.091332,154.0128,25.456661,15.273996,22.910995,4.4549155
2013,Self-employed,90.447083,457.58347,634.25269,75.542641,12.728331,50.913322,1.5273997,137.46597,76.36998,273.65912,19.092495,241.83827,129.82896,12.728331,117.10064,518.17035,318.20825,29.784294,254.5666,190.92496,171.83246,44.549156,152.73996,140.01163,192.19778,185.83362,21.638163,25.456661,3.8184991,12.728331,192.19778,50.913322,19.474346,17.819662,7.8915648
2013,Retired,37.858566,163.55905,236.93787,26.729494,5.2186155,35.639324,3.6912158,76.36998,70.005814,190.92496,10.182664,127.2833,119.64631,14.001163,107.93624,191.30681,190.92496,16.419546,133.64748,76.36998,127.2833,15.273996,71.278648,34.366493,92.916809,59.823154,11.582781,4.7094822,2.1638162,5.3458986,96.735313,38.18499,12.728331,19.092495,3.8184991
2013,Other not working,32.302532,11.531867,33.793716,3.1820827,1.272833,6.3641653,0.50913322,,19.092495,31.820826,7.1278648,19.092495,50.913322,3.309366,24.183828,29.27516,210.01746,13.87388,254.5666,72.551483,114.55498,12.728331,20.365328,31.820826,164.19547,127.2833,12.728331,10.182664,1.9092495,2.545666,164.19547,41.748924,12.473763,15.910413,3.309366
2016,Employee,77.45697,87.137657,210.28973,29.847576,5.4268322,12.333709,0.9250282,185.00563,20.967306,92.502815,9.8669672,91.269447,57.968433,6.1668544,32.067642,177.60541,233.1071,22.324013,154.17137,48.718151,30.834272,16.033821,37.001129,89.172714,150.47125,122.10372,23.310711,4.9334836,2.9600902,6.1668544,151.70462,34.534386,16.033821,24.667418,3.8234499
2016,Self-employed,87.451416,385.26807,526.27936,72.028862,12.654386,61.668545,1.2333709,382.34497,74.002258,371.24466,30.834272,197.33934,152.93799,12.333709,98.66967,431.55649,333.01013,27.627508,296.00903,271.34161,154.17137,18.500565,156.63811,114.70349,160.33823,135.67081,22.200676,7.4002256,3.9467869,11.100338,160.33823,54.268322,18.500565,22.200676,4.5634723
2016,Retired,44.975014,195.36595,257.28116,29.600903,5.2418265,39.467869,3.7001128,98.66967,76.468994,246.67418,8.2635851,175.13867,143.07103,10.483653,121.61037,208.06967,202.27283,17.883879,164.03833,86.33596,123.33709,18.500565,76.468994,29.39123,86.33596,72.768883,12.333709,2.2200677,2.2200677,7.4002256,94.969559,48.101467,13.56708,17.267193,4.9334836
2016,Other not working,24.986118,10.07664,21.276882,1.52938,1.0360316,6.1668544,2.2200677,25.900789,29.600903,117.17023,5.9201803,108.53664,40.701241,1.356708,35.274406,27.134161,203.5062,12.210372,111.00338,9.8669672,6.1668544,11.717024,16.033821,37.001129,123.33709,146.77113,20.967306,0.98669672,2.4667418,7.4002256,117.17023,123.33709,13.56708,19.733934,5.6735063
2019,Employee,81.43708,104.56032,238.21669,29.096052,6.1437879,13.910463,0.92736423,52.164238,19.70649,89.258804,9.2736425,92.736427,59.119469,3.4776158,32.68959,210.048,266.61722,20.865696,156.49272,46.368214,51.005032,11.592053,46.368214,100.81609,171.56238,127.51258,23.184107,2.2024901,3.268959,5.7960267,173.8808,26.661722,15.069669,26.661722,3.941298
2019,Self-employed,89.698807,440.26617,591.1947,71.696846,16.228874,57.960266,0.86940396,559.89618,54.482651,376.74173,23.184107,231.84106,144.90067,9.2736425,104.32848,464.37766,347.7616,28.40053,405.72186,202.86093,163.44795,30.139338,173.8808,114.90043,173.8808,208.65695,19.70649,2.3184106,3.4776158,16.228874,185.47285,34.776157,17.388079,20.865696,13.910463
2019,Retired,42.488911,202.81456,265.45801,27.125404,5.216424,51.005032,1.0432848,140.26384,62.597088,168.08476,11.592053,148.37828,144.90067,6.9552317,98.068771,226.04503,231.84106,16.460714,150.69669,74.652824,168.64119,18.547285,86.940399,30.139338,81.144371,89.258804,13.910463,2.8980134,2.3184106,4.6368213,95.054832,27.820927,13.910463,25.502516,3.7094569
2019,Other not working,34.227177,12.171656,35.587605,3.478775,2.0054252,2.4343312,0.3477616,0.83462781,9.2736425,51.005032,8.1144371,86.940399,38.253777,2.3184106,17.33012,31.530384,212.13457,10.780609,173.8808,60.278675,42.890594,8.1144371,26.661722,58.006634,157.65192,63.75629,18.547285,0.069552317,3.5355761,6.0278673,157.65192,35.935364,9.2736425,34.776157,6.9552317
2022,Employee,86.472946,155.7,312,36.799999,7.8699999,15,1.1,62,8,84,10,160,60,6,36,270.10001,325,30.9,240,75,20,8,87,110,165,106.4,22,3,2.6800001,4,168,25,16,24.5,2
2022,Self-employed,81.06839,446.37,539.62,80,14,25,6.3000002,400,27,270,20,200,150,10,90,447.39999,439,32,475,275,250,27,220,98.699997,165,165,21,190,3.9200001,7.5,165,32,20,28,2
2022,Retired,47.56012,287.89999,348.79999,41,8.0500002,40,5,246,71,304,7,120,170,13,123.95,271,279,21,150,165,123,22,139.44,32.049999,95,158,13.1,1.4,2.5,6,100,27,13,20,2.7
2022,Other not working,29.18462,35.119999,54.146,2.8099999,1.92,10,40,600,2,160,6.1999998,185,25,20,20,68.599998,350,16,250,400,100,3.8,100,36,190,250,20,0.81999999,1.5,29,190,49,13,16,2.3
