year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Managerial or professional,172.13664,884.77045,1015.488,299.51694,44.869583,67.738922,6.797802,280.29935,151.2523,133.25696,38.078579,601.42773,121.94939,80.030525,191.74696,731.16229,380.14322,29.381788,287.7077,543.69965,1072.7761,79.877487,465.07187,139.81123,148.58174,112.79231,27.760794,31.470257,5.5685196,23.671104,143.88345,70.124619,18.639677,15.972726,25.970806
1989,"Technical, sales, or services",92.5354,301.23721,380.64343,106.64926,25.060358,52.407383,5.7358513,212.56284,74.284454,155.75069,25.80065,125.92113,66.732231,27.765427,78.621933,304.37045,249.28104,20.908056,178.24342,346.62836,414.67514,101.53964,213.39041,76.830643,103.33055,98.768089,15.935004,11.191454,4.7360277,31.79299,99.628662,65.45961,14.995296,11.098447,7.0160723
1989,Other occupation,84.65094,257.14444,321.94199,70.418022,12.53706,56.557899,6.6360455,121.21108,49.054779,54.0924,21.107611,117.28565,44.10564,38.23243,51.359764,264.70737,171.54108,23.254349,158.96715,119.24501,483.25443,29.789566,147.08867,67.482063,79.863159,52.929882,21.08728,65.5028,3.5304003,15.995935,77.210785,69.199738,19.051142,10.034765,11.736139
1989,Retired or other not working,50.729847,362.36346,427.14233,210.81981,47.763988,97.484634,23.682896,260.28659,221.23172,102.98238,16.845039,244.13797,106.68534,105.18456,191.53632,262.05853,192.17007,17.376141,176.97665,296.87213,653.86481,40.691437,197.93674,35.653049,51.661358,53.422478,14.045014,295.34753,2.7657268,14.05117,51.008343,56.816692,13.520236,12.05506,9.5770044
1992,Managerial or professional,152.58408,781.7583,920.23511,282.98248,43.287567,49.396553,8.3835678,283.01797,165.75462,104.54578,35.893837,236.20596,145.92632,70.128525,184.91971,651.59247,337.8494,28.069948,272.41388,506.32117,833.06927,76.037262,417.15793,154.14478,166.07193,138.52347,22.800901,32.632904,6.088881,33.048401,161.95786,45.347607,16.088245,20.893209,13.731811
1992,"Technical, sales, or services",78.234879,284.62302,363.11966,106.78288,20.170036,41.898907,3.848815,217.1024,88.331841,122.92381,21.272121,170.99028,61.047466,46.620808,91.891312,276.56854,215.10864,18.794596,204.58124,309.70538,348.9137,63.29221,165.19463,80.163689,111.26436,117.39931,14.49374,17.450027,4.7953167,13.466271,109.78112,40.700245,14.008768,11.235029,6.7217522
1992,Other occupation,74.511375,181.26917,248.95027,57.641953,11.786033,48.996311,4.1803126,303.81998,26.301174,33.655144,25.093296,87.763718,40.453739,23.10713,34.359341,202.67799,172.65079,20.033209,134.53011,149.45801,270.92828,18.910477,99.729599,73.864853,96.262482,87.253639,13.575594,8.4025068,4.6484056,12.268929,94.594688,34.951042,13.415334,9.9444838,5.925034
1992,Retired or other not working,46.506248,325.97061,378.53192,168.35931,34.024086,90.742699,13.024446,300.87476,205.83006,119.67241,17.788912,187.25439,91.44413,63.189419,166.01514,246.61668,186.77066,16.085331,171.27806,355.75485,623.89777,54.235664,166.93106,41.356808,74.07547,96.023888,13.00158,22.182816,3.3313115,11.095877,70.551529,42.781574,11.474143,11.87349,9.5965891
1995,Managerial or professional,158.32251,842.35114,988.88666,377.84045,52.550041,93.604233,9.9961281,359.82642,233.94992,189.47371,55.135967,344.06354,176.44789,70.994415,258.06717,633.57587,338.41852,32.96468,275.66809,345.76089,880.51776,109.67234,333.48343,165.37445,177.00764,153.11722,22.643023,23.341644,7.8563375,52.908688,174.30959,42.499599,18.130428,20.567148,10.027616
1995,"Technical, sales, or services",82.774857,309.82541,397.46167,130.59564,18.231487,42.475677,7.4181156,219.12344,100.11817,162.21324,39.305206,126.8167,81.147606,52.06395,112.07912,292.78986,216.53868,24.21381,225.82622,256.85992,636.71521,64.239471,157.59314,90.615753,123.67695,121.52353,19.148748,27.402802,5.7259445,19.411116,122.92581,29.104769,16.688589,13.427968,10.473468
