Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Checkable deposts and currency,Time deposits and short-term investments,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Pension entitlements,Equity in noncorpoate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaind life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
1989:Q3,pct99to100,3649271,801840,535652,266188,2847431,48147,267976,98649,461854,366445,95409,22154,15504,6650,737026,41265,318355,835086,16917,142381,140676,90896,26163,1344,22273,1705,3506890,932131,244230,313384288
1989:Q3,pct80to99,10366937,3718616,3024680,693936,6648321,147312,1071214,172182,462864,432007,30856,93181,13164,80017,912106,171822,2086923,1434635,96082,1481518,1473827,1150094,245781,1714,76238,7692,8885419,17671902,52186,244230
1989:Q3,pct60to80,4252640,1855972,1418564,437407,2396668,90280,434221,57873,149765,117068,32697,16669,3814,12855,220448,74621,1023693,279205,49892,847921,844580,572676,249138,364,22402,3341,3404719,18604618,32318,52186
1989:Q3,pct40to60,2931696,1250447,999473,250974,1681248,61408,389407,19890,91800,75568,16232,19077,2089,16988,118305,33165,669622,245258,33317,425755,424270,259055,160143,712,4361,1486,2505940,18605233,20522,32306
1989:Q3,pct20to40,1706702,841549,669345,172204,865153,45542,269523,11885,38463,37111,1352,14154,9446,4708,40745,20976,275395,127834,20635,189429,188490,113474,70136,243,4637,939,1517273,18612879,10371,20468
1989:Q3,pct00to20,650120,318868,243228,75640,331251,24432,87971,2163,9318,8020,1298,3979,193,3786,23119,11849,111785,47609,9027,63430,62900,24496,32846,150,5408,530,586690,18593339,0,10366
1989:Q4,pct99to100,3742691,844247,573772,270475,2898444,51975,268578,106020,468669,372679,95990,27277,18935,8343,742688,40958,326962,848099,17219,148463,146327,96705,25510,1281,22831,2136,3594228,934413,,
1989:Q4,pct80to99,10591548,3792558,3093185,699373,6798990,155298,1078689,178381,475852,440015,35837,95675,17259,78416,949323,176715,2152252,1439281,97525,1501868,1493982,1167693,250381,1663,74245,7887,9089680,17720098,,
1989:Q4,pct60to80,4338513,1877626,1436162,441464,2460887,93589,443114,56849,152081,119522,32558,17555,4647,12908,225610,76296,1059456,285467,50870,868546,865229,586245,256184,351,22449,3317,3469967,18650815,,
1989:Q4,pct40to60,2962965,1253362,997129,256233,1709602,64161,394318,21221,88606,72634,15972,21967,3226,18741,125984,36336,674796,248091,34123,441406,439958,267798,166070,685,5405,1448,2521558,18653552,,
1989:Q4,pct20to40,1722289,841046,663065,177981,881243,46881,271674,12321,37999,36304,1695,16215,10947,5268,44974,22499,286477,120853,21351,199228,198329,115671,77749,257,4653,899,1523061,18661525,,
1989:Q4,pct00to20,658812,311253,231003,80250,347559,24245,91779,2446,8777,7239,1538,4415,251,4164,24972,12253,114179,55039,9454,65569,64884,26003,33391,146,5344,685,593243,18641836,,
1990:Q1,pct99to100,3723798,837460,571890,265571,2886338,45479,270702,118964,486962,393201,93761,26940,16826,10114,679114,39724,334405,865923,18127,157208,155361,104536,23308,1562,25955,1847,3566590,936699,,
1990:Q1,pct80to99,10634335,3795459,3080096,715364,6838876,152043,1079865,188743,487565,450948,36617,93038,16273,76765,903587,178715,2218304,1437155,99861,1530033,1522294,1197749,247073,2069,75403,7739,9104302,17767906,,
1990:Q1,pct60to80,4371944,1900157,1450489,449668,2471787,90464,445896,57947,154849,123738,31112,17194,4208,12986,215832,77641,1065090,294307,52567,875781,872494,604053,245800,433,22208,3287,3496163,18697189,,
1990:Q1,pct40to60,2998404,1278933,1009327,269606,1719472,62717,399197,22093,89446,74173,15273,24144,3487,20657,125384,38414,670475,252097,35503,450413,448856,279636,162329,848,6042,1557,2547992,18701746,,
1990:Q1,pct20to40,1753223,862758,679811,182947,890465,46770,272842,13463,38386,36589,1797,15616,9694,5922,46348,23657,290138,120527,22719,202041,201068,119513,76505,353,4698,973,1551182,18709931,,
