date,bie
21-Oct-11,1.9%
18-Nov-11,2.0%
16-Dec-11,1.9%
20-Jan-12,1.8%
17-Feb-12,1.9%
16-Mar-12,2.0%
13-Apr-12,2.1%
18-May-12,1.8%
15-Jun-12,1.7%
20-Jul-12,1.7%
17-Aug-12,1.9%
14-Sep-12,1.7%
19-Oct-12,1.8%
16-Nov-12,2.1%
14-Dec-12,1.9%
11-Jan-13,1.8%
8-Feb-13,1.9%
15-Mar-13,1.9%
12-Apr-13,2.1%
10-May-13,2.0%
14-Jun-13,1.8%
12-Jul-13,1.8%
9-Aug-13,2.0%
13-Sep-13,1.9%
11-Oct-13,1.9%
8-Nov-13,1.9%
9-Dec-13,1.9%
10-Jan-14,1.9%
7-Feb-14,2.0%
14-Mar-14,1.8%
11-Apr-14,1.9%
9-May-14,1.9%
13-Jun-14,2.0%
11-Jul-14,1.9%
8-Aug-14,2.0%
12-Sep-14,2.1%
10-Oct-14,1.9%
7-Nov-14,2.0%
12-Dec-14,1.9%
9-Jan-15,1.7%
13-Feb-15,1.7%
13-Mar-15,1.7%
10-Apr-15,1.7%
8-May-15,1.9%
12-Jun-15,1.9%
10-Jul-15,2.0%
7-Aug-15,1.8%
11-Sep-15,1.7%
9-Oct-15,1.8%
13-Nov-15,1.8%
11-Dec-15,1.9%
8-Jan-16,1.8%
12-Feb-16,1.8%
11-Mar-16,1.8%
9-Apr-16,1.7%
13-May-16,1.9%
10-Jun-16,1.8%
8-Jul-16,1.7%
12-Aug-16,1.8%
16-Sep-16,1.9%
14-Oct-16,1.7%
11-Nov-16,2.0%
9-Dec-16,2.1%
6-Jan-17,2.0%
10-Feb-17,2.0%
10-Mar-17,2.1%
8-Apr-17,1.9%
5-May-17,2.0%
9-Jun-17,2.0%
7-Jul-17,1.7%
11-Aug-17,1.9%
15-Sep-17,1.9%
13-Oct-17,1.8%
10-Nov-17,2.0%
8-Dec-17,2.1%
5-Jan-18,2.0%
9-Feb-18,2.0%
9-Mar-18,2.1%
6-Apr-18,2.3%
11-May-18,2.0%
8-Jun-18,2.1%
6-Jul-18,2.1%
10-Aug-18,2.1%
7-Sep-18,2.2%
5-Oct-18,2.3%
9-Nov-18,2.2%
7-Dec-18,2.3%
11-Jan-19,2.0%
8-Feb-19,1.9%
8-Mar-19,1.9%
5-Apr-19,1.9%
10-May-19,2.0%
7-Jun-19,2.0%
5-Jul-19,1.9%
9-Aug-19,2.0%
6-Sep-19,2.0%
11-Oct-19,1.8%
8-Nov-19,2.0%
7-Dec-19,1.9%
10-Jan-20,1.9%
7-Feb-20,1.7%
6-Mar-20,1.9%
10-Apr-20,1.4%
8-May-20,1.5%
5-Jun-20,1.7%
10-Jul-20,1.7%
7-Aug-20,1.7%
11-Sep-20,1.6%
9-Oct-20,1.8%
6-Nov-20,1.9%
11-Dec-20,2.0%
8-Jan-21,2.2%
5-Feb-21,2.2%
5-Mar-21,2.4%
9-Apr-21,2.5%
7-May-21,2.8%
11-Jun-21,3.0%
9-Jul-21,2.8%
6-Aug-21,3.0%
10-Sep-21,3.1%
8-Oct-21,3.1%
5-Nov-21,3.3%
10-Dec-21,3.4%
9-Jan-22,3.4%
11-Feb-22,3.6%
11-Mar-22,3.8%
8-Apr-22,3.8%
6-May-22,3.7%
13-Jun-22,3.7%
8-Jul-22,3.7%
5-Aug-22,3.5%
