date,bie_5yr
2012-02-17,2.9%
2012-04-13,3.0%
2012-07-20,2.8%
2012-10-19,2.9%
2013-01-11,3.0%
2013-04-12,2.9%
2013-07-12,2.7%
2013-10-11,2.7%
2014-01-10,2.8%
2014-04-11,2.7%
2014-07-11,2.8%
2014-10-10,2.8%
2015-01-12,2.6%
2015-04-10,2.7%
2015-07-10,2.8%
2015-10-09,2.7%
2016-01-08,2.7%
2016-04-09,2.6%
2016-07-08,2.6%
2016-10-14,2.7%
2017-01-06,2.8%
2017-04-08,2.7%
2017-07-07,2.7%
2017-10-13,2.8%
2018-01-05,2.8%
2018-04-06,2.9%
2018-07-06,2.8%
2018-10-05,2.9%
2018-12-07,2.9%
2019-03-08,2.8%
2019-06-07,2.7%
2019-09-06,2.7%
2019-12-07,2.6%
2020-03-06,2.6%
2020-06-05,2.5%
2020-09-11,2.4%
2020-12-11,2.7%
2021-03-05,2.8%
2021-06-11,3.0%
2021-09-10,3.0%
2021-12-10,3.2%
2022-03-11,3.3%
2022-06-13,3.5%
