Date,1yr,3yr
2013-06-01,3.09,3.42
2013-07-01,3.16,3.31
2013-08-01,3.40,3.80
2013-09-01,3.37,3.55
2013-10-01,3.17,3.20
2013-11-01,3.20,3.31
2013-12-01,3.14,3.30
2014-01-01,3.00,3.05
2014-02-01,3.09,3.18
2014-03-01,3.20,3.38
2014-04-01,3.30,3.20
2014-05-01,3.17,3.20
2014-06-01,3.20,3.30
2014-07-01,3.11,3.22
2014-08-01,3.00,3.09
2014-09-01,3.00,3.02
2014-10-01,3.00,3.02
2014-11-01,3.02,3.03
2014-12-01,2.98,3.00
2015-01-01,2.93,3.00
2015-02-01,2.83,3.00
2015-03-01,2.88,2.92
2015-04-01,2.73,2.98
2015-05-01,2.96,2.98
2015-06-01,3.00,3.00
2015-07-01,2.96,2.96
2015-08-01,2.79,2.87
2015-09-01,2.73,2.84
2015-10-01,2.82,2.78
2015-11-01,2.55,2.68
2015-12-01,2.54,2.78
2016-01-01,2.42,2.45
2016-02-01,2.71,2.62
2016-03-01,2.53,2.50
2016-04-01,2.61,2.79
2016-05-01,2.62,2.73
2016-06-01,2.54,2.86
2016-07-01,2.52,2.50
2016-08-01,2.79,2.71
2016-09-01,2.50,2.62
2016-10-01,2.59,2.58
2016-11-01,2.54,2.71
2016-12-01,2.81,2.83
2017-01-01,2.98,2.90
2017-02-01,2.96,2.98
2017-03-01,2.74,2.71
2017-04-01,2.79,2.91
2017-05-01,2.59,2.47
2017-06-01,2.54,2.78
2017-07-01,2.54,2.71
2017-08-01,2.49,2.62
2017-09-01,2.54,2.80
2017-10-01,2.61,2.81
2017-11-01,2.61,2.78
2017-12-01,2.82,2.89
2018-01-01,2.71,2.79
2018-02-01,2.83,2.88
2018-03-01,2.75,2.91
2018-04-01,2.98,2.97
2018-05-01,2.98,2.96
2018-06-01,2.98,3.00
2018-07-01,2.98,2.88
2018-08-01,3.00,3.00
2018-09-01,3.00,3.00
2018-10-01,3.00,3.00
2018-11-01,2.97,2.88
2018-12-01,3.00,2.98
2019-01-01,2.97,2.97
2019-02-01,2.79,2.77
2019-03-01,2.82,2.86
2019-04-01,2.60,2.69
2019-05-01,2.45,2.59
2019-06-01,2.67,2.66
2019-07-01,2.59,2.58
2019-08-01,2.41,2.50
2019-09-01,2.48,2.37
2019-10-01,2.33,2.38
2019-11-01,2.35,2.52
2019-12-01,2.53,2.54
2020-01-01,2.50,2.54
2020-02-01,2.54,2.59
2020-03-01,2.54,2.40
2020-04-01,2.62,2.62
2020-05-01,3.00,2.61
2020-06-01,2.68,2.47
2020-07-01,2.89,2.73
2020-08-01,3.00,2.98
2020-09-01,2.98,2.74
2020-10-01,2.84,2.70
2020-11-01,2.96,2.82
2020-12-01,3.00,2.98
2021-01-01,3.05,3.03
2021-02-01,3.09,3.00
2021-03-01,3.24,3.09
2021-04-01,3.36,3.10
2021-05-01,4.00,3.57
2021-06-01,4.80,3.55
2021-07-01,4.84,3.71
2021-08-01,5.18,4.00
2021-09-01,5.31,4.19
2021-10-01,5.65,4.21
2021-11-01,6.00,4.01
2021-12-01,5.99,4.00
2022-01-01,5.79,3.48
2022-02-01,6.00,3.77
2022-03-01,6.58,3.67
2022-04-01,6.35,3.90
2022-05-01,6.58,3.88
2022-06-01,6.78,3.62
2022-07-01,6.22,3.18
2022-08-01,5.75,2.76
2022-09-01,5.44,2.91
2022-10-01,5.94,3.11
2022-11-01,5.23,3.00
2022-12-01,4.99,2.99
2023-01-01,4.95,2.71
2023-02-01,4.23,2.66
2023-03-01,4.75,2.78
2023-04-01,4.45,2.89
2023-05-01,4.07,2.98
