date,mean
2013-06-01,14.70
2013-07-01,15.41
2013-08-01,16.51
2013-09-01,17.07
2013-10-01,16.68
2013-11-01,17.85
2013-12-01,16.79
2014-01-01,16.59
2014-02-01,16.15
2014-03-01,15.92
2014-04-01,16.12
2014-05-01,16.54
2014-06-01,14.68
2014-07-01,15.84
2014-08-01,14.59
2014-09-01,16.64
2014-10-01,15.87
2014-11-01,15.52
2014-12-01,14.51
2015-01-01,14.50
2015-02-01,14.29
2015-03-01,14.95
2015-04-01,14.76
2015-05-01,13.80
2015-06-01,13.97
2015-07-01,14.06
2015-08-01,13.50
2015-09-01,14.62
2015-10-01,12.70
2015-11-01,14.11
2015-12-01,13.45
2016-01-01,13.92
2016-02-01,13.75
2016-03-01,14.41
2016-04-01,15.76
2016-05-01,14.88
2016-06-01,13.75
2016-07-01,15.02
2016-08-01,15.17
2016-09-01,16.34
2016-10-01,14.01
2016-11-01,16.35
2016-12-01,15.83
2017-01-01,15.33
2017-02-01,14.97
2017-03-01,14.47
2017-04-01,13.24
2017-05-01,13.64
2017-06-01,13.47
2017-07-01,13.67
2017-08-01,13.78
2017-09-01,13.79
2017-10-01,15.34
2017-11-01,13.49
2017-12-01,13.78
2018-01-01,14.90
2018-02-01,12.75
2018-03-01,13.91
2018-04-01,13.73
2018-05-01,13.96
2018-06-01,15.23
2018-07-01,14.02
2018-08-01,13.82
2018-09-01,15.99
2018-10-01,13.52
2018-11-01,14.66
2018-12-01,13.83
2019-01-01,14.50
2019-02-01,14.55
2019-03-01,14.29
2019-04-01,13.59
2019-05-01,14.72
2019-06-01,13.53
2019-07-01,13.77
2019-08-01,14.15
2019-09-01,13.36
2019-10-01,14.84
2019-11-01,14.42
2019-12-01,15.39
2020-01-01,14.74
2020-02-01,13.83
2020-03-01,18.54
2020-04-01,20.93
2020-05-01,18.65
2020-06-01,15.04
2020-07-01,16.00
2020-08-01,18.02
2020-09-01,16.59
2020-10-01,15.48
2020-11-01,14.56
2020-12-01,14.99
2021-01-01,13.61
2021-02-01,14.24
2021-03-01,12.83
2021-04-01,15.02
2021-05-01,12.61
2021-06-01,10.94
2021-07-01,12.24
2021-08-01,12.45
2021-09-01,11.09
2021-10-01,10.99
2021-11-01,12.95
2021-12-01,11.63
2022-01-01,11.64
2022-02-01,10.75
2022-03-01,11.06
2022-04-01,10.76
2022-05-01,11.10
2022-06-01,11.92
2022-07-01,11.82
2022-08-01,11.11
2022-09-01,11.64
2022-10-01,12.03
2022-11-01,11.70
2022-12-01,12.60
2023-01-01,11.97
2023-02-01,11.83
2023-03-01,11.35
2023-04-01,12.20
2023-05-01,10.86
