date,DUR_COND,CAR_CON,HOM_CON,DUR_BIAP,CAR_BIAP,HOM_BIAP
1960-02-01,146,128,122,19,13,20
1960-03-01,,,,,,
1960-04-01,,,,,,
1960-05-01,127,122,107,11,7,13
1960-06-01,,,,,,
1960-07-01,,,,,,
1960-08-01,137,136,118,,,9
1960-09-01,,,,,,
1960-10-01,,,,,,
1960-11-01,123,120,101,9,,9
1960-12-01,,,,,,
1961-01-01,,,,,,
1961-02-01,137,132,112,9,5,13
1961-03-01,,,,,,
1961-04-01,,,,,,
1961-05-01,128,130,112,10,8,11
1961-06-01,,,,,,
1961-07-01,,,,,,
1961-08-01,149,132,129,,,12
1961-09-01,,,,,,
1961-10-01,,,,,,
1961-11-01,132,126,109,11,8,12
1961-12-01,,,,,,
1962-01-01,,,,,,
1962-02-01,150,138,129,13,9,15
1962-03-01,,,,,,
1962-04-01,,,,,,
1962-05-01,137,132,122,11,,12
1962-06-01,,,,,,
1962-07-01,,,,,,
1962-08-01,137,132,121,9,5,9
1962-09-01,,,,,,
1962-10-01,,,,,,
1962-11-01,129,134,117,9,6,11
1962-12-01,,,,,,
1963-01-01,,,,,,
1963-02-01,149,139,131,10,10,14
1963-03-01,,,,,,
1963-04-01,,,,,,
1963-05-01,129,135,137,13,16,14
1963-06-01,,,,,,
1963-07-01,,,,,,
1963-08-01,150,136,138,10,7,9
1963-09-01,,,,,,
1963-10-01,,,,,,
1963-11-01,144,134,137,,,14
1963-12-01,,,,,,
1964-01-01,,,,,,
1964-02-01,149,140,133,12,,13
1964-03-01,,,,,,
1964-04-01,,,,,,
1964-05-01,144,137,131,12,,12
1964-06-01,,,,,,
1964-07-01,,,,,,
1964-08-01,,,,,,
1964-09-01,,,,,,
1964-10-01,,,,,,
1964-11-01,,,,,,
1964-12-01,,,,,,
1965-01-01,,,,,,
1965-02-01,148,138,134,10,9,16
1965-03-01,,,,,,
1965-04-01,,,,,,
1965-05-01,,,,,,
1965-06-01,,,,,,
1965-07-01,,,,,,
1965-08-01,152,151,,,,
1965-09-01,,,,,,
1965-10-01,,,,,,
1965-11-01,144,141,132,14,12,15
1965-12-01,,,,,,
1966-01-01,,,,,,
1966-02-01,144,141,,15,,
1966-03-01,,,,,,
1966-04-01,,,,,,
1966-05-01,138,132,,,,
1966-06-01,,,,,,
1966-07-01,,,,,,
1966-08-01,135,121,98,19,16,14
1966-09-01,,,,,,
1966-10-01,,,,,,
1966-11-01,115,97,73,12,,7
1966-12-01,,,,,,
1967-01-01,,,,,,
1967-02-01,121,120,,14,,
1967-03-01,,,,,,
1967-04-01,,,,,,
1967-05-01,147,127,121,19,15,21
1967-06-01,,,,,,
1967-07-01,,,,,,
1967-08-01,144,119,127,,,
1967-09-01,,,,,,
1967-10-01,,,,,,
1967-11-01,142,109,121,,,
1967-12-01,,,,,,
1968-01-01,,,,,,
1968-02-01,149,127,119,21,22,
1968-03-01,,,,,,
1968-04-01,,,,,,
1968-05-01,141,136,116,,31,
1968-06-01,,,,,,
1968-07-01,,,,,,
1968-08-01,141,123,93,25,26,20
1968-09-01,,,,,,
1968-10-01,,,,,,
1968-11-01,129,116,95,20,20,18
1968-12-01,,,,,,
1969-01-01,,,,,,
1969-02-01,139,126,99,23,21,21
1969-03-01,,,,,,
1969-04-01,,,,,,
1969-05-01,133,116,89,26,22,20
1969-06-01,,,,,,
1969-07-01,,,,,,
1969-08-01,120,105,68,20,19,15
1969-09-01,,,,,,
1969-10-01,,,,,,
1969-11-01,107,89,61,20,19,13
1969-12-01,,,,,,
1970-01-01,,,,,,
1970-02-01,111,99,55,15,10,10
1970-03-01,,,,,,
1970-04-01,,,,,,
1970-05-01,109,101,54,15,9,9
1970-06-01,,,,,,
1970-07-01,,,,,,
1970-08-01,106,86,64,,12,
1970-09-01,,,,,,
1970-10-01,,,,,,
1970-11-01,92,78,61,18,15,9
1970-12-01,,,,,,
1971-01-01,,,,,,
1971-02-01,117,95,81,17,16,12
1971-03-01,,,,,,
1971-04-01,,,,,,
1971-05-01,126,101,104,,20,
1971-06-01,,,,,,
1971-07-01,,,,,,
1971-08-01,134,126,97,,14,
1971-09-01,,,,,,
1971-10-01,,,,,,
1971-11-01,133,120,101,26,18,18
1971-12-01,,,,,,
1972-01-01,,,,,,
1972-02-01,140,126,121,25,25,21
1972-03-01,,,,,,
1972-04-01,,,,,,
1972-05-01,132,117,108,25,23,22
