date,labor,nonlabor
2011-11-18,29,40
2012-02-17,26,42
2012-05-18,32,38
2012-08-17,29,42
2012-11-16,34,43
2013-02-08,33,42
2013-05-10,37,42
2013-08-09,36,40
2013-11-08,35,34
2014-02-07,36,34
2014-05-09,37,40
2014-11-07,39,33
2015-02-13,35,21
2015-05-08,37,31
2015-08-07,39,30
2015-11-13,41,26
2016-02-12,38,23
2016-05-13,41,29
2016-08-12,38,29
2016-11-11,44,32
2017-02-06,36,36
2017-05-05,40,39
2017-08-11,39,37
2017-11-10,37,32
2018-02-09,42,38
2018-05-11,41,40
2018-08-10,45,40
2018-11-09,48,41
2019-02-08,43,39
2019-05-10,42,32
2019-08-09,45,33
2019-11-08,38,32
2020-02-07,37,31
2020-05-08,36,34
2020-08-07,22,27
2020-11-06,33,36
2021-02-05,39,41
2021-05-07,50,56
2021-08-06,53,55
2021-11-05,56,56
2022-02-11,59,63
2022-05-06,68,71
2022-08-03,62,60
