Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.97,9.52,9.69,,10.02,10.16,10.3,10.15,12.12,,9.66,,
Africa Eastern and Southern,AFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01,,7.79,7.8,5,,,,5.47,5.47,,,,,5.63,,,,,
Africa Western and Central,AFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.44,,6.16,7.08,7.08,,9.17,9.15,9.23,8.36,7.61,7.52,10.3,9.38,9.38,,7.68,6.52,9.23,11.33,,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.41,,,11.65,11.28,8.35,8.17,7.34,7.11,6.61,5.72,2.08,4.9,4.87,1.24,1.1,1.17,1.14,1.11,1.06,0.85,1.02,1.02,1.1,1.13,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,3.69,3.62,3.62,,3.87,3.53,3.61,3.21,2.99,2.82,4.75,4.4,3.94,3.28,2.63,,
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.66,12.53,,8.34,13.33,13.93,15.67,11.29,10.52,9.25,12.01,12.87,5.96,5.22,5.49,5.83,5.39,5.93,5.99,5.68,6.02,6.27,6.63,7.35,7.53,7.93,7.42,7.26,6.88,6.51,,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,,2.27,2.41,2.28,1.94,2.42,2.27,2.69,2.8,3.08,2.41,2.23,2.39,2.93,2.13,2.22,,4.09,3.11,3.61,,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.64,,,20.3,15.39,12.8,12.8,12.36,12.11,12.18,11.73,13.57,12.83,14.8,11.56,11.56,12,14.51,9.95,12.03,11.88,12.72,14.89,13.07,13.07,13.07,,
Australia,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.56,,9.75,,,6.81,6.82,6.49,6.1,5.83,4.8,3.69,3.74,3.69,3.07,3.38,3.45,3.15,3.67,2.8,1.77,1.81,1.84,1.91,1.9,1.18,0.89,0.86,0.77,0.71,0.81,,
Austria,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59,3.77,4.8,4.5,4.18,3.79,4.16,6.28,4.4,3.66,3.47,3.48,2.41,3.37,2.45,2.52,2.24,2.46,2.3,2.24,1.72,1.85,2.13,1.59,1.46,1.49,2.03,2.02,2.09,1.96,1.83,1.84,1.48,1.39,,
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75,,,6.09,,4.04,3.86,4.4,,4.06,4.76,4.74,5.23,5.19,,,,11.98,5.93,6.01,,
Burundi,BDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.34,13.8,,21.1,17.49,12.28,10.72,13.84,8,6.83,6.99,5.39,5.99,6.13,5.91,,7.89,8.52,11.31,8.53,,
Belgium,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59,3.77,4.8,4.5,4.18,3.79,4.16,6.28,4.4,3.66,3.47,3.48,2.41,3.37,2.45,2.52,2.24,2.46,2.3,2.24,1.72,1.85,2.13,1.59,1.46,1.49,2.03,2.02,2.09,1.96,1.83,1.84,1.48,1.39,,
Benin,BEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.62,12.7,12.69,12.7,12.68,11.57,11.03,11.03,11.03,11.03,11.15,11.15,11.15,10.64,11.81,11.2,17.84,15.25,9.86,9.86,10.89,,
Burkina Faso,BFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,11.16,11.45,11.3,11.38,11.03,8.73,8.77,8.77,8.77,8.7,8.48,8.42,8.42,7.92,6.86,6.93,9.08,7.79,5.84,7.15,7.3,,
Bangladesh,BGD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.43,,,,,77.19,,,,22.14,18.51,18.1,17.88,18.31,19.06,15.8,22.7,21.62,9.23,7.71,10.71,9.94,9.63,12.84,12.09,,11.82,10.72,,,8.64,10.99,10.95,,
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59,3.77,4.8,4.5,4.18,3.79,4.16,6.28,4.4,3.66,3.47,3.48,2.41,3.37,2.45,2.52,2.24,2.46,2.3,2.24,1.72,1.85,2.13,1.59,1.46,1.49,2.03,2.02,2.09,1.96,1.83,1.84,1.48,1.39,,
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.72,10.36,8.51,5.79,5.76,5.77,5.14,4.96,4.48,4.23,4.61,5.15,3.15,3.15,3.76,2.93,3.3,3.13,7.83,4.28,3.5,2.02,2.09,,
"Bahamas, The",BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.58,,,25.02,,,,23.88,,,,20.22,19.46,,19.78,19.71,18.66,18.56,,17.05,,,,,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.07,,,,,8.88,6.36,5.96,3.65,3.04,2.56,2.42,2.39,2.58,1.22,1.23,2.53,2.76,17.89,2.86,2.8,,
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.85,9.5,,,7.63,7.91,8.8,,,,,,2.75,2.79,2.63,2.34,2.47,2.96,2.39,1.97,1.82,1.51,1.65,2.82,1.76,2.27,,
Belize,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.63,,,11.19,,10.72,11.65,11.35,,,9.57,9.27,8.96,11.68,11.73,8.47,8.16,10.05,10.05,10.04,10.52,10.39,11.08,11.17,18.69,17.79,,
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.75,18.98,18.68,18.61,17.06,17.44,17.23,15.27,18.67,18.73,20.85,27.59,103.17,24.07,23.84,,
Bolivia,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.44,9.95,9.49,9.31,9.31,9.04,9.06,8.46,8.71,9.25,8.56,5.48,5.57,4.17,4.33,4.04,3.79,5.57,4.05,3.86,4.23,4.49,4.75,4.75,6.1,4.73,4.73,5.18,5.12,,
Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.92,18.95,16.54,15.71,13.02,13.26,10.97,14.83,14,15.94,12.31,12.69,10.47,10.01,9.53,7.67,7.17,6.7,6.77,6.74,7.59,7.76,7.84,7.76,10.08,7.79,8.27,8.01,8.59,7.95,7.97,8.41,7.76,,
Barbados,BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.93,,,22.77,21.01,20.34,20.78,21.45,15.48,,12.66,14.79,,,15.77,13.15,8.42,14.21,,,,,,,11.82,12.24,,
Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.43,,,,11.41,11.25,11.26,6.35,7.85,10.88,10.74,11.9,6.12,5.85,5.46,5.24,1.52,1.42,2.51,0.95,,,0.46,,0.5,0.03,0.03,0.02,0.02,0.02,,
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.55,,,,,,15.54,,21.49,21.51,,9.97,,,,,,,,2.82,,,,4.13,6.6,3.33,,
Botswana,BWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,0.99,,0.92,0.85,0.88,0.83,0.84,0.82,0.83,1.1,3.91,0.5,0.61,0.56,0.59,1.12,0.33,0.96,0.8,0.95,,
