"","date","Tariffs","imports","weighted_tariffs"
"1",1960-01-01,1066,14758,0.0722320097574197
"2",1961-01-01,1030,14537,0.0708536837036527
"3",1962-01-01,1202,16260,0.0739237392373924
"4",1963-01-01,1227,17048,0.0719732519943688
"5",1964-01-01,1318,18700,0.0704812834224599
"6",1965-01-01,1613,21510,0.0749883774988377
"7",1966-01-01,1869,25493,0.0733142431255639
"8",1967-01-01,1909,26866,0.0710563537556763
"9",1968-01-01,2258,32991,0.0684429086720621
"10",1969-01-01,2370,35807,0.0661881754964113
"11",1970-01-01,2484,39866,0.0623087342597702
"12",1971-01-01,3112,45579,0.0682770574167928
"13",1972-01-01,2997,55797,0.053712565191677
"14",1973-01-01,3271,70499,0.0463978212456914
"15",1974-01-01,3658,103811,0.0352371136006782
"16",1975-01-01,5864,98185,0.0597239904262362
"17",1976-01-01,4560,124228,0.0367067005827994
"18",1977-01-01,5403,151907,0.0355678145180933
"19",1978-01-01,7100,176002,0.0403404506766969
"20",1979-01-01,7454,212007,0.0351592164409666
"21",1980-01-01,7160,249750,0.0286686686686687
"22",1981-01-01,8589,265067,0.0324031282656838
"23",1982-01-01,8609,247642,0.0347638930391452
"24",1983-01-01,9091,268901,0.0338079813760455
"25",1984-01-01,11903,332418,0.0358073269197216
"26",1985-01-01,12158,338088,0.0359610515605404
"27",1986-01-01,13697,368425,0.0371771731017168
"28",1987-01-01,15533,409765,0.0379070930899418
"29",1988-01-01,16412,447189,0.0367003660644604
"30",1989-01-01,17481,477665,0.0365967780766855
"31",1990-01-01,17490,498438,0.035089619972795
"32",1991-01-01,16836,491020,0.0342878090505478
"33",1992-01-01,18327,536528,0.0341585154922017
"34",1993-01-01,19810,589394,0.0336107934590444
"35",1994-01-01,21442,668690,0.0320656806591993
"36",1995-01-01,19819,749374,0.0264474081032969
"37",1996-01-01,19221,803113,0.0239331202458434
"38",1997-01-01,19617,876794,0.0223735563883877
"39",1998-01-01,19586,918637,0.0213207175413139
"40",1999-01-01,19182,1035592,0.018522738684733
"41",2000-01-01,21123,1231722,0.0171491619050403
"42",2001-01-01,20636,1153701,0.0178867834906965
"43",2002-01-01,19938,1173281,0.0169933715793574
"44",2003-01-01,21458,1272089,0.0168683166036339
"45",2004-01-01,23283,1488349,0.0156435083438091
"46",2005-01-01,25335,1695820,0.0149396752013775
"47",2006-01-01,26687,1878194,0.0142088623432936
"48",2007-01-01,28793,1986347,0.0144954532113473
"49",2008-01-01,29243,2141287,0.0136567400820161
"50",2009-01-01,23081,1580025,0.0146079967089128
"51",2010-01-01,28603,1938950,0.0147517986539106
"52",2011-01-01,31891,2239886,0.0142377781726391
"53",2012-01-01,33503,2303749,0.014542816947506
"54",2013-01-01,35468,2294247,0.0154595385762736
"55",2014-01-01,37363,2385480,0.015662675855593
"56",2015-01-01,38123,2273249,0.016770270216769
"57",2016-01-01,37534,2207195,0.0170052940496875
"58",2017-01-01,38513,2356345,0.0163443808101106
"59",2018-01-01,53284,2555662,0.020849392447045
"60",2019-01-01,77752,2512358,0.0309478187423926
"61",2020-01-01,68627,2346727,0.0292437083648844
"62",2021-01-01,89101,2849043,0.0312740102553735
"63",2022-01-01,102333,3270281,0.0312918064227508
"64",2023-01-01,81633,3108509,0.0262611432040248
