DATE,T5YIFR
2003-01-02,1.98
2003-01-03,1.96
2003-01-06,1.95
2003-01-07,1.96
2003-01-08,2.09
2003-01-09,2.15
2003-01-10,2.10
2003-01-13,2.14
2003-01-14,2.14
2003-01-15,2.19
2003-01-16,2.18
2003-01-17,2.15
2003-01-20,.
2003-01-21,2.18
2003-01-22,2.10
2003-01-23,2.14
2003-01-24,2.14
2003-01-27,2.17
2003-01-28,2.15
2003-01-29,2.18
2003-01-30,2.14
2003-01-31,2.13
2003-02-03,2.10
2003-02-04,2.14
2003-02-05,2.19
2003-02-06,2.14
2003-02-07,2.18
2003-02-10,2.20
2003-02-11,2.24
2003-02-12,2.18
2003-02-13,2.20
2003-02-14,2.22
2003-02-17,.
2003-02-18,2.15
2003-02-19,2.16
2003-02-20,2.19
2003-02-21,2.21
2003-02-24,2.20
2003-02-25,2.17
2003-02-26,2.14
2003-02-27,2.11
2003-02-28,2.13
2003-03-03,2.09
2003-03-04,2.04
2003-03-05,2.08
2003-03-06,2.13
2003-03-07,2.08
2003-03-10,2.08
2003-03-11,2.08
2003-03-12,2.05
2003-03-13,2.15
2003-03-14,2.09
2003-03-17,2.03
2003-03-18,2.03
2003-03-19,2.07
2003-03-20,1.95
2003-03-21,1.94
2003-03-24,1.94
2003-03-25,1.96
2003-03-26,1.97
2003-03-27,1.99
2003-03-28,1.94
2003-03-31,1.95
2003-04-01,2.00
2003-04-02,2.00
2003-04-03,1.98
2003-04-04,1.97
2003-04-07,2.03
2003-04-08,1.97
2003-04-09,2.05
2003-04-10,1.94
2003-04-11,1.92
2003-04-14,1.98
2003-04-15,1.98
2003-04-16,1.94
2003-04-17,1.94
2003-04-18,.
2003-04-21,1.93
2003-04-22,1.97
2003-04-23,1.98
2003-04-24,1.96
2003-04-25,2.00
2003-04-28,2.04
2003-04-29,2.01
2003-04-30,2.01
2003-05-01,2.20
2003-05-02,2.16
2003-05-05,1.96
2003-05-06,1.92
2003-05-07,2.02
2003-05-08,2.06
2003-05-09,1.98
2003-05-12,1.99
2003-05-13,1.99
2003-05-14,2.00
2003-05-15,1.95
2003-05-16,1.93
2003-05-19,1.88
2003-05-20,1.95
2003-05-21,1.98
2003-05-22,1.96
2003-05-23,1.93
2003-05-26,.
2003-05-27,1.97
2003-05-28,1.99
2003-05-29,1.93
2003-05-30,1.94
2003-06-02,1.91
2003-06-03,1.91
2003-06-04,1.89
2003-06-05,1.87
2003-06-06,1.89
2003-06-09,1.90
2003-06-10,1.87
2003-06-11,1.82
2003-06-12,1.90
2003-06-13,1.87
2003-06-16,1.83
2003-06-17,1.79
2003-06-18,1.80
2003-06-19,1.83
2003-06-20,1.87
2003-06-23,1.86
2003-06-24,1.85
2003-06-25,1.89
2003-06-26,1.93
2003-06-27,1.88
2003-06-30,1.83
2003-07-01,1.83
2003-07-02,1.77
2003-07-03,1.72
2003-07-04,.
2003-07-07,1.76
2003-07-08,1.85
2003-07-09,2.00
2003-07-10,2.07
2003-07-11,2.14
2003-07-14,2.17
2003-07-15,2.23
2003-07-16,2.22
2003-07-17,2.29
2003-07-18,2.27
2003-07-21,2.33
2003-07-22,2.37
2003-07-23,2.35
2003-07-24,2.37
2003-07-25,2.40
2003-07-28,2.36
2003-07-29,2.38
2003-07-30,2.31
2003-07-31,2.41
2003-08-01,2.33
2003-08-04,2.30
2003-08-05,2.33
2003-08-06,2.24
2003-08-07,2.24
2003-08-08,2.26
2003-08-11,2.32
2003-08-12,2.35
2003-08-13,2.46
2003-08-14,2.45
2003-08-15,2.46
2003-08-18,2.44
2003-08-19,2.41
2003-08-20,2.44
2003-08-21,2.42
2003-08-22,2.39
2003-08-25,2.41
2003-08-26,2.41
2003-08-27,2.35
2003-08-28,2.28
2003-08-29,2.33
2003-09-01,.
2003-09-02,2.36
2003-09-03,2.37
2003-09-04,2.39
2003-09-05,2.39
2003-09-08,2.40
2003-09-09,2.38
2003-09-10,2.30
2003-09-11,2.34
2003-09-12,2.30
2003-09-15,2.33
2003-09-16,2.26
2003-09-17,2.23
2003-09-18,2.23
2003-09-19,2.19
2003-09-22,2.26
2003-09-23,2.26
2003-09-24,2.20
2003-09-25,2.19
2003-09-26,2.19
2003-09-29,2.21
2003-09-30,2.16
2003-10-01,2.16
2003-10-02,2.21
2003-10-03,2.21
2003-10-06,2.25
2003-10-07,2.29
2003-10-08,2.29
2003-10-09,2.32
2003-10-10,2.33
2003-10-13,.
2003-10-14,2.38
2003-10-15,2.44
2003-10-16,2.44
2003-10-17,2.47
2003-10-20,2.50
2003-10-21,2.48
2003-10-22,2.47
2003-10-23,2.61
2003-10-24,2.65
2003-10-27,2.66
2003-10-28,2.64
2003-10-29,2.63
2003-10-30,2.73
2003-10-31,2.74
2003-11-03,2.79
2003-11-04,2.74
2003-11-05,2.71
2003-11-06,2.72
2003-11-07,2.71
2003-11-10,2.71
2003-11-11,.
2003-11-12,2.71
2003-11-13,2.67
2003-11-14,2.68
2003-11-17,2.70
2003-11-18,2.68
2003-11-19,2.66
2003-11-20,2.57
2003-11-21,2.52
2003-11-24,2.50
2003-11-25,2.55
2003-11-26,2.57
2003-11-27,.
2003-11-28,2.60
2003-12-01,2.60
2003-12-02,2.61
2003-12-03,2.60
2003-12-04,2.61
2003-12-05,2.59
2003-12-08,2.60
2003-12-09,2.55
2003-12-10,2.57
2003-12-11,2.63
2003-12-12,2.60
2003-12-15,2.52
2003-12-16,2.48
2003-12-17,2.46
2003-12-18,2.47
2003-12-19,2.42
2003-12-22,2.42
2003-12-23,2.46
2003-12-24,2.47
2003-12-25,.
2003-12-26,2.45
2003-12-29,2.48
2003-12-30,2.53
2003-12-31,2.51
2004-01-01,.
2004-01-02,2.56
2004-01-05,2.61
2004-01-06,2.59
2004-01-07,2.61
2004-01-08,2.57
2004-01-09,2.51
2004-01-12,2.51
2004-01-13,2.49
2004-01-14,2.41
2004-01-15,2.38
2004-01-16,2.41
2004-01-19,.
2004-01-20,2.44
2004-01-21,2.46
2004-01-22,2.44
2004-01-23,2.49
2004-01-26,2.48
2004-01-27,2.45
2004-01-28,2.47
2004-01-29,2.47
2004-01-30,2.46
2004-02-02,2.46
2004-02-03,2.45
2004-02-04,2.46
2004-02-05,2.48
2004-02-06,2.49
2004-02-09,2.50
2004-02-10,2.51
2004-02-11,2.45
2004-02-12,2.49
2004-02-13,2.46
2004-02-16,.
2004-02-17,2.42
2004-02-18,2.41
2004-02-19,2.38
2004-02-20,2.38
2004-02-23,2.35
2004-02-24,2.37
2004-02-25,2.38
2004-02-26,2.43
2004-02-27,2.38
2004-03-01,2.50
2004-03-02,2.52
2004-03-03,2.54
2004-03-04,2.53
2004-03-05,2.50
2004-03-08,2.45
2004-03-09,2.46
2004-03-10,2.40
2004-03-11,2.33
2004-03-12,2.38
2004-03-15,2.42
2004-03-16,2.40
2004-03-17,2.43
2004-03-18,2.46
2004-03-19,2.45
2004-03-22,2.40
2004-03-23,2.40
2004-03-24,2.43
2004-03-25,2.44
2004-03-26,2.46
2004-03-29,2.51
2004-03-30,2.49
2004-03-31,2.47
2004-04-01,2.52
2004-04-02,2.54
2004-04-05,2.58
2004-04-06,2.55
2004-04-07,2.46
2004-04-08,2.48
2004-04-09,.
2004-04-12,2.53
2004-04-13,2.55
2004-04-14,2.55
2004-04-15,2.56
2004-04-16,2.56
2004-04-19,2.58
2004-04-20,2.54
2004-04-21,2.53
2004-04-22,2.48
2004-04-23,2.43
2004-04-26,2.49
2004-04-27,2.48
2004-04-28,2.46
2004-04-29,2.46
2004-04-30,2.50
2004-05-03,2.53
2004-05-04,2.52
2004-05-05,2.60
2004-05-06,2.58
2004-05-07,2.64
2004-05-10,2.70
2004-05-11,2.71
2004-05-12,2.78
2004-05-13,2.76
2004-05-14,2.75
2004-05-17,2.76
2004-05-18,2.84
2004-05-19,2.91
2004-05-20,2.91
2004-05-21,2.87
2004-05-24,2.85
2004-05-25,2.80
2004-05-26,2.78
2004-05-27,2.71
2004-05-28,2.77
2004-05-31,.
2004-06-01,2.84
2004-06-02,2.78
2004-06-03,2.74
2004-06-04,2.74
2004-06-07,2.76
2004-06-08,2.73
2004-06-09,2.70
2004-06-10,2.71
2004-06-11,.
2004-06-14,2.71
2004-06-15,2.54
2004-06-16,2.59
2004-06-17,2.59
2004-06-18,2.60
2004-06-21,2.57
2004-06-22,2.59
2004-06-23,2.58
2004-06-24,2.57
2004-06-25,2.58
2004-06-28,2.61
2004-06-29,2.58
2004-06-30,2.61
2004-07-01,2.62
2004-07-02,2.63
2004-07-05,.
2004-07-06,2.62
2004-07-07,2.56
2004-07-08,2.51
2004-07-09,2.53
2004-07-12,2.50
2004-07-13,2.54
2004-07-14,2.55
2004-07-15,2.56
2004-07-16,2.51
2004-07-19,2.48
2004-07-20,2.48
2004-07-21,2.53
2004-07-22,2.53
2004-07-23,2.52
2004-07-26,2.52
2004-07-27,2.56
