_date_,infexp3,infexp4,infexp5,infexp6,infexp7,infexp8,infexp9,infexp10,infexp11,infexp12,infexp13,infexp14,infexp15,infexp16,infexp17,infexp18,infexp19,infexp20,infexp21,infexp22,infexp23,infexp24,infexp25,infexp26,infexp27,infexp28,infexp29,infexp30,infexp31,infexp32,infexp33,infexp34,infexp35,infexp36,infexp37,infexp38,infexp39,infexp40,infexp41,infexp42,infexp43,infexp44,infexp45,infexp46,infexp47,infexp48,infexp49,infexp50,infexp51,infexp52,infexp53,infexp54,infexp55,infexp56,infexp57,infexp58,infexp59,infexp60,infexp61,infexp62,infexp63,infexp64,infexp65,infexp66,infexp67,infexp68,infexp69,infexp70,infexp71,infexp72,infexp73,infexp74,infexp75,infexp76,infexp77,infexp78,infexp79,infexp80,infexp81,infexp82,infexp83,infexp84,infexp85,infexp86,infexp87,infexp88,infexp89,infexp90,infexp91,infexp92,infexp93,infexp94,infexp95,infexp96,infexp97,infexp98,infexp99,infexp100,infexp101,infexp102,infexp103,infexp104,infexp105,infexp106,infexp107,infexp108,infexp109,infexp110,infexp111,infexp112,infexp113,infexp114,infexp115,infexp116,infexp117,infexp118,infexp119,infexp120
1998-01-01,2.17197209,2.199113231,2.223832692,2.24636852,2.266934239,2.285721443,2.302902114,2.318630684,2.333045886,2.346272396,2.358422304,2.369596433,2.379885508,2.389371208,2.398127102,2.406219487,2.413708139,2.420646981,2.427084684,2.433065204,2.43862826,2.443809765,2.44864221,2.453155009,2.45737481,2.461325767,2.465029792,2.468506776,2.471774788,2.474850255,2.477748122,2.480481996,2.483064276,2.48550627,2.487818299,2.490009789,2.492089362,2.494064903,2.495943638,2.497732188,2.499436629,2.501062541,2.502615054,2.504098887,2.505518388,2.506877563,2.50818011,2.509429445,2.510628725,2.511780872,2.512888593,2.513954399,2.514980621,2.515969421,2.516922815,2.517842676,2.51873075,2.519588667,2.520417946,2.521220011,2.521996189,2.522747725,2.523475785,2.524181464,2.524865789,2.525529724,2.526174176,2.526800001,2.527408004,2.527998942,2.528573531,2.529132449,2.529676334,2.530205791,2.530721391,2.531223678,2.531713164,2.532190337,2.532655661,2.533109575,2.533552496,2.533984823,2.534406933,2.534819187,2.535221929,2.535615487,2.536000172,2.536376283,2.536744106,2.537103912,2.537455962,2.537800505,2.538137781,2.538468017,2.538791432,2.539108237,2.539418633,2.539722812,2.540020961,2.540313257,2.540599872,2.540880969,2.541156708,2.54142724,2.541692711,2.541953263,2.542209032,2.542460147,2.542706735,2.542948918,2.543186813,2.543420532,2.543650186,2.543875878,2.544097711,2.544315783,2.54453019,2.544741022
1998-02-01,2.094300298,2.12325275,2.149895783,2.174437289,2.197065212,2.217949532,2.237244057,2.255088027,2.27160755,2.286916904,2.301119693,2.314309895,2.326572802,2.337985863,2.348619445,2.358537516,2.367798262,2.37645464,2.384554875,2.392142911,2.399258817,2.405939152,2.41221729,2.418123724,2.423686327,2.4289306,2.433879884,2.438555562,2.442977239,2.447162896,2.451129044,2.454890848,2.458462254,2.461856094,2.46508418,2.4681574,2.471085795,2.47387863,2.476544465,2.479091212,2.481526189,2.483856173,2.486087444,2.488225825,2.49027672,2.492245148,2.494135775,2.495952943,2.497700693,2.499382792,2.501002751,2.502563849,2.504069148,2.505521509,2.50692361,2.508277959,2.509586903,2.510852646,2.512077254,2.513262669,2.514410715,2.515523107,2.516601461,2.517647298,2.518662051,2.519647073,2.52060364,2.521532958,2.522436167,2.523314345,2.524168512,2.524999634,2.525808628,2.52659636,2.527363656,2.528111298,2.528840029,2.529550555,2.530243549,2.530919649,2.531579466,2.532223579,2.532852542,2.533466882,2.534067102,2.534653684,2.535227085,2.535787747,2.536336087,2.536872508,2.537397393,2.537911111,2.538414015,2.538906441,2.539388714,2.539861145,2.540324032,2.540777661,2.541222307,2.541658234,2.542085697,2.542504939,2.542916195,2.543319691,2.543715645,2.544104266,2.544485757,2.544860311,2.545228116,2.545589353,2.545944196,2.546292814,2.546635369,2.546972018,2.547302911,2.547628197,2.547948015,2.548262503
1998-03-01,2.067442395,2.101465287,2.133056393,2.162412597,2.189713729,2.215124109,2.238793942,2.260860587,2.281449703,2.300676299,2.318645678,2.335454297,2.351190551,2.365935484,2.379763431,2.392742608,2.404935643,2.416400064,2.427188739,2.437350276,2.44692939,2.455967238,2.464501719,2.47256775,2.48019752,2.487420718,2.494264744,2.500754894,2.506914544,2.512765298,2.518327141,2.523618568,2.528656705,2.533457423,2.538035433,2.542404383,2.546576944,2.550564882,2.554379135,2.558029872,2.561526557,2.564878004,2.568092422,2.571177466,2.574140277,2.576987522,2.579725425,2.582359809,2.584896115,2.587339438,2.589694548,2.591965916,2.594157733,2.596273931,2.598318204,2.600294019,2.602204638,2.604053128,2.605842375,2.6075751,2.609253862,2.61088108,2.612459032,2.613989871,2.615475631,2.616918232,2.618319493,2.619681134,2.621004784,2.622291986,2.623544203,2.624762824,2.625949164,2.627104475,2.628229945,2.629326704,2.630395826,2.631438333,2.632455198,2.633447349,2.63441567,2.635361004,2.636284153,2.637185887,2.638066936,2.638928003,2.639769755,2.640592833,2.641397849,2.642185388,2.642956013,2.64371026,2.644448645,2.645171661,2.645879783,2.646573464,2.647253142,2.647919235,2.648572145,2.649212261,2.649839952,2.650455578,2.651059483,2.651651997,2.65223344,2.652804118,2.653364328,2.653914355,2.654454474,2.654984949,2.655506037,2.656017985,2.656521031,2.657015405,2.657501329,2.657979018,2.658448679,2.658910513
1998-04-01,2.114432048,2.151742745,2.186023875,2.217552333,2.246578089,2.273326911,2.298002794,2.32079015,2.341855765,2.361350559,2.379411162,2.396161331,2.411713222,2.426168531,2.439619524,2.452149954,2.463835892,2.474746473,2.484944565,2.494487376,2.503426989,2.511810858,2.519682244,2.527080616,2.534042,2.54059931,2.546782635,2.552619497,2.558135095,2.563352514,2.568292918,2.572975726,2.577418768,2.58163843,2.585649778,2.589466682,2.593101914,2.596567251,2.599873554,2.603030855,2.606048423,2.60893483,2.611698009,2.614345312,2.616883553,2.619319055,2.62165769,2.623904917,2.626065813,2.628145105,2.630147196,2.632076194,2.633935933,2.635729992,2.63746172,2.639134247,2.640750505,2.642313243,2.643825038,2.645288307,2.646705322,2.64807822,2.649409007,2.650699577,2.65195171,2.653167086,2.65434729,2.655493819,2.656608086,2.657691428,2.658745109,2.659770328,2.660768218,2.661739856,2.66268626,2.6636084,2.664507196,2.665383521,2.666238206,2.667072043,2.667885785,2.668680149,2.669455818,2.670213444,2.67095365,2.67167703,2.67238415,2.673075553,2.673751757,2.674413258,2.675060529,2.675694026,2.676314184,2.676921419,2.677516132,2.678098705,2.678669507,2.679228891,2.679777197,2.68031475,2.680841864,2.681358839,2.681865966,2.682363524,2.68285178,2.683330994,2.683801414,2.68426328,2.684716824,2.685162267,2.685599827,2.686029709,2.686452115,2.686867237,2.687275263,2.687676373,2.688070741,2.688458537
1998-05-01,2.184698973,2.213591819,2.240147807,2.264579816,2.287080081,2.307822278,2.326963383,2.344645347,2.36099659,2.376133356,2.390160911,2.403174636,2.415260997,2.426498422,2.436958086,2.446704621,2.455796748,2.46428785,2.472226488,2.479656862,2.48661923,2.493150279,2.499283468,2.50504933,2.510475745,2.515588193,2.520409971,2.524962399,2.529265003,2.533335672,2.537190816,2.540845495,2.54431354,2.547607664,2.550739565,2.553720007,2.556558912,2.559265427,2.561847993,2.564314405,2.566671869,2.568927052,2.571086124,2.573154804,2.575138395,2.577041819,2.578869647,2.580626129,2.582315219,2.5839406,2.585505704,2.58701373,2.588467667,2.589870306,2.591224257,2.592531961,2.593795707,2.595017636,2.59619976,2.597343966,2.598452026,2.599525607,2.600566277,2.601575513,2.602554705,2.603505165,2.604428132,2.605324772,2.606196192,2.607043434,2.607867487,2.608669287,2.609449719,2.610209625,2.6109498,2.611671003,2.612373951,2.613059329,2.613727785,2.614379937,2.615016376,2.61563766,2.616244325,2.61683688,2.617415811,2.617981584,2.61853464,2.619075405,2.619604283,2.620121662,2.620627913,2.62112339,2.621608436,2.622083374,2.622548519,2.623004169,2.623450614,2.623888128,2.624316978,2.624737417,2.625149692,2.625554038,2.625950681,2.62633984,2.626721724,2.627096535,2.627464469,2.627825712,2.628180446,2.628528845,2.628871078,2.629207306,2.629537686,2.629862369,2.630181503,2.630495227,2.630803678,2.631106988
1998-06-01,2.20013486,2.229111415,2.25531909,2.279042865,2.300537382,2.320030231,2.337724885,2.353803299,2.368428241,2.381745357,2.393885013,2.40496394,2.415086694,2.424346959,2.432828714,2.440607261,2.447750157,2.454318028,2.460365312,2.465940908,2.471088763,2.47584839,2.48025534,2.484341608,2.488136013,2.491664523,2.494950552,2.498015225,2.500877614,2.503554948,2.506062804,2.508415271,2.510625108,2.512703871,2.51466204,2.516509125,2.51825376,2.519903797,2.521466376,2.522947999,2.524354593,2.525691561,2.526963841,2.528175943,2.529331994,2.530435773,2.531490744,2.532500087,2.533466721,2.534393331,2.535282391,2.536136177,2.536956792,2.537746176,2.538506124,2.539238297,2.539944234,2.540625362,2.541283008,2.541918403,2.542532696,2.543126954,2.543702174,2.544259288,2.544799164,2.545322618,2.545830411,2.546323258,2.54680183,2.547266758,2.547718633,2.548158014,2.548585426,2.549001366,2.549406301,2.549800672,2.550184899,2.550559376,2.550924479,2.551280562,2.551627962,2.551966999,2.552297977,2.552621185,2.552936899,2.553245378,2.553546874,2.553841624,2.554129855,2.554411783,2.554687616,2.554957551,2.555221777,2.555480475,2.555733818,2.555981973,2.556225098,2.556463346,2.556696863,2.55692579,2.557150262,2.557370407,2.557586351,2.557798214,2.55800611,2.55821015,2.558410441,2.558607086,2.558800184,2.55898983,2.559176116,2.559359132,2.559538961,2.559715688,2.559889392,2.56006015,2.560228037,2.560393124
1998-07-01,2.242924333,2.273959182,2.301858068,2.326954862,2.349547073,2.369899863,2.388249604,2.404807043,2.419760124,2.433276485,2.445505687,2.456581198,2.466622148,2.4757349,2.484014443,2.491545632,2.498404292,2.504658198,2.510367953,2.51558776,2.520366119,2.524746442,2.528767602,2.532464419,2.535868103,2.53900663,2.541905099,2.544586032,2.547069653,2.549374127,2.551515786,2.553509315,2.555367929,2.557103531,2.558726842,2.560247531,2.561674321,2.563015089,2.564276953,2.56546635,2.566589104,2.567650493,2.568655301,2.569607868,2.570512136,2.57137169,2.572189792,2.572969411,2.573713257,2.574423801,2.575103304,2.575753831,2.576377275,2.57697537,2.577549709,2.578101755,2.578632854,2.579144246,2.579637074,2.580112394,2.580571181,2.581014339,2.581442704,2.581857053,2.582258107,2.582646537,2.583022967,2.583387981,2.583742121,2.584085895,2.584419779,2.584744218,2.585059629,2.585366404,2.585664911,2.585955497,2.586238487,2.586514191,2.586782897,2.58704488,2.5873004,2.587549702,2.587793018,2.588030569,2.588262564,2.588489201,2.58871067,2.588927151,2.589138813,2.589345822,2.589548331,2.589746489,2.589940437,2.590130312,2.590316242,2.59049835,2.590676757,2.590851574,2.591022911,2.591190871,2.591355556,2.59151706,2.591675476,2.591830893,2.591983396,2.592133066,2.592279982,2.592424221,2.592565856,2.592704956,2.592841589,2.592975821,2.593107716,2.593237332,2.593364731,2.593489967,2.593613097,2.593734172
1998-08-01,2.289284277,2.311350186,2.331385417,2.349593897,2.366158217,2.381241911,2.394991495,2.407538284,2.419000007,2.429482252,2.439079757,2.447877555,2.455952,2.463371683,2.470198248,2.47648712,2.482288156,2.487646228,2.492601739,2.49719109,2.501447093,2.50539934,2.509074537,2.512496799,2.515687914,2.518667579,2.521453618,2.524062164,2.526507832,2.528803875,2.530962315,2.532994067,2.53490905,2.536716283,2.538423976,2.540039605,2.541569988,2.543021345,2.544399355,2.545709213,2.546955667,2.548143069,2.549275406,2.550356339,2.551389227,2.552377161,2.553322983,2.554229312,2.555098564,2.555932968,2.556734585,2.557505319,2.558246934,2.558961066,2.559649232,2.560312841,2.560953203,2.561571538,2.562168981,2.562746592,2.56330536,2.56384621,2.564370004,2.564877554,2.565369617,2.565846905,2.566310087,2.56675979,2.567196606,2.56762109,2.568033766,2.56843513,2.568825648,2.569205761,2.569575885,2.569936416,2.570287728,2.570630174,2.57096409,2.571289796,2.571607595,2.571917773,2.572220606,2.572516354,2.572805266,2.573087577,2.573363514,2.573633292,2.573897117,2.574155185,2.574407683,2.574654793,2.574896684,2.575133523,2.575365466,2.575592665,2.575815264,2.576033403,2.576247214,2.576456826,2.576662362,2.57686394,2.577061673,2.577255671,2.577446039,2.577632879,2.577816287,2.577996357,2.578173181,2.578346845,2.578517433,2.578685027,2.578849705,2.579011542,2.579170611,2.579326983,2.579480726,2.579631906
1998-09-01,2.208222841,2.227528528,2.245430983,2.262045851,2.277478569,2.291825314,2.305173844,2.317604277,2.329189781,2.339997214,2.350087688,2.359517095,2.368336573,2.376592934,2.38432905,2.391584205,2.398394413,2.404792705,2.410809395,2.416472317,2.42180704,2.426837067,2.431584011,2.436067763,2.440306634,2.444317494,2.448115892,2.451716169,2.45513156,2.458374286,2.461455637,2.464386054,2.467175193,2.469831994,2.472364735,2.474781091,2.477088179,2.479292603,2.481400496,2.483417557,2.485349084,2.487200009,2.48897492,2.490678094,2.492313518,2.49388491,2.495395743,2.496849259,2.498248489,2.499596268,2.500895251,2.502147922,2.503356611,2.504523502,2.505650646,2.506739966,2.507793273,2.508812266,2.509798546,2.510753619,2.511678906,2.512575742,2.513445391,2.514289044,2.515107825,2.515902798,2.516674967,2.517425284,2.518154649,2.518863914,2.519553888,2.520225338,2.520878991,2.521515538,2.522135634,2.522739903,2.523328939,2.523903305,2.524463538,2.52501015,2.525543629,2.52606444,2.526573025,2.527069809,2.527555195,2.528029569,2.5284933,2.528946742,2.529390232,2.529824092,2.530248632,2.530664149,2.531070926,2.531469235,2.531859339,2.532241486,2.532615918,2.532982866,2.533342551,2.533695186,2.534040978,2.534380122,2.534712808,2.535039219,2.535359531,2.535673912,2.535982527,2.536285531,2.536583077,2.536875311,2.537162373,2.5374444,2.537721522,2.537993867,2.538261557,2.53852471,2.538783441,2.53903786
1998-10-01,2.140510838,2.157575458,2.173782167,2.189168897,2.203773229,2.217632138,2.230781794,2.243257403,2.25509309,2.266321809,2.276975284,2.287083966,2.296677013,2.305782287,2.314426357,2.322634515,2.330430804,2.337838046,2.344877878,2.351570792,2.357936175,2.363992356,2.369756647,2.375245391,2.380474005,2.385457027,2.390208157,2.394740302,2.399065618,2.40319555,2.40714087,2.410911715,2.414517624,2.417967571,2.42127,2.424432852,2.427463599,2.430369269,2.433156474,2.435831434,2.438400005,2.440867693,2.443239685,2.44552086,2.447715813,2.449828873,2.451864116,2.453825382,2.45571629,2.457540254,2.459300491,2.461000035,2.462641751,2.46422834,2.465762355,2.467246207,2.468682172,2.470072403,2.471418936,2.472723696,2.473988504,2.475215085,2.476405073,2.477560015,2.478681377,2.47977055,2.480828854,2.481857539,2.482857794,2.483830749,2.484777476,2.485698994,2.486596273,2.487470235,2.48832176,2.489151681,2.489960798,2.490749868,2.491519615,2.492270729,2.49300387,2.493719667,2.49441872,2.495101603,2.495768864,2.496421028,2.497058598,2.497682053,2.498291853,2.498888438,2.49947223,2.500043634,2.500603038,2.501150813,2.501687317,2.502212891,2.502727866,2.503232557,2.503727269,2.504212292,2.504687909,2.505154388,2.505611991,2.506060968,2.506501559,2.506933998,2.507358506,2.507775302,2.508184591,2.508586576,2.508981449,2.509369397,2.509750601,2.510125235,2.510493466,2.510855459,2.511211369,2.511561348
