DATE,T5YIE
2003-01-02,1.30
2003-01-03,1.28
2003-01-06,1.31
2003-01-07,1.28
2003-01-08,1.33
2003-01-09,1.41
2003-01-10,1.40
2003-01-13,1.40
2003-01-14,1.38
2003-01-15,1.41
2003-01-16,1.40
2003-01-17,1.45
2003-01-20,.
2003-01-21,1.38
2003-01-22,1.34
2003-01-23,1.42
2003-01-24,1.46
2003-01-27,1.47
2003-01-28,1.47
2003-01-29,1.52
2003-01-30,1.46
2003-01-31,1.49
2003-02-03,1.52
2003-02-04,1.54
2003-02-05,1.61
2003-02-06,1.62
2003-02-07,1.60
2003-02-10,1.66
2003-02-11,1.62
2003-02-12,1.60
2003-02-13,1.56
2003-02-14,1.62
2003-02-17,.
2003-02-18,1.63
2003-02-19,1.62
2003-02-20,1.69
2003-02-21,1.73
2003-02-24,1.78
2003-02-25,1.77
2003-02-26,1.74
2003-02-27,1.77
2003-02-28,1.75
2003-03-03,1.73
2003-03-04,1.72
2003-03-05,1.68
2003-03-06,1.73
2003-03-07,1.74
2003-03-10,1.72
2003-03-11,1.76
2003-03-12,1.79
2003-03-13,1.87
2003-03-14,1.57
2003-03-17,1.67
2003-03-18,1.63
2003-03-19,1.59
2003-03-20,1.67
2003-03-21,1.70
2003-03-24,1.66
2003-03-25,1.64
2003-03-26,1.65
2003-03-27,1.71
2003-03-28,1.72
2003-03-31,1.65
2003-04-01,1.64
2003-04-02,1.66
2003-04-03,1.64
2003-04-04,1.63
2003-04-07,1.61
2003-04-08,1.57
2003-04-09,1.55
2003-04-10,1.64
2003-04-11,1.62
2003-04-14,1.66
2003-04-15,1.62
2003-04-16,1.58
2003-04-17,1.58
2003-04-18,.
2003-04-21,1.57
2003-04-22,1.51
2003-04-23,1.54
2003-04-24,1.46
2003-04-25,1.46
2003-04-28,1.48
2003-04-29,1.47
2003-04-30,1.45
2003-05-01,1.30
2003-05-02,1.34
2003-05-05,1.50
2003-05-06,1.42
2003-05-07,1.38
2003-05-08,1.34
2003-05-09,1.40
2003-05-12,1.37
2003-05-13,1.39
2003-05-14,1.32
2003-05-15,1.39
2003-05-16,1.31
2003-05-19,1.34
2003-05-20,1.35
2003-05-21,1.34
2003-05-22,1.30
2003-05-23,1.31
2003-05-26,.
2003-05-27,1.25
2003-05-28,1.23
2003-05-29,1.23
2003-05-30,1.26
2003-06-02,1.29
2003-06-03,1.25
2003-06-04,1.25
2003-06-05,1.31
2003-06-06,1.33
2003-06-09,1.32
2003-06-10,1.31
2003-06-11,1.36
2003-06-12,1.32
2003-06-13,1.37
2003-06-16,1.35
2003-06-17,1.35
2003-06-18,1.36
2003-06-19,1.39
2003-06-20,1.39
2003-06-23,1.36
2003-06-24,1.37
2003-06-25,1.45
2003-06-26,1.47
2003-06-27,1.48
2003-06-30,1.45
2003-07-01,1.45
2003-07-02,1.43
2003-07-03,1.44
2003-07-04,.
2003-07-07,1.44
2003-07-08,1.41
2003-07-09,1.46
2003-07-10,1.45
2003-07-11,1.42
2003-07-14,1.47
2003-07-15,1.53
2003-07-16,1.56
2003-07-17,1.57
2003-07-18,1.65
2003-07-21,1.63
2003-07-22,1.59
2003-07-23,1.67
2003-07-24,1.67
2003-07-25,1.76
2003-07-28,1.72
2003-07-29,1.70
2003-07-30,1.73
2003-07-31,1.75
2003-08-01,1.75
2003-08-04,1.72
2003-08-05,1.75
2003-08-06,1.72
2003-08-07,1.78
2003-08-08,1.74
2003-08-11,1.82
2003-08-12,1.81
2003-08-13,1.88
2003-08-14,1.89
2003-08-15,1.92
2003-08-18,1.88
2003-08-19,1.87
2003-08-20,1.94
2003-08-21,2.06
2003-08-22,2.05
2003-08-25,2.03
2003-08-26,2.03
2003-08-27,2.01
2003-08-28,1.98
2003-08-29,1.99
2003-09-01,.
2003-09-02,2.00
2003-09-03,2.03
2003-09-04,2.01
2003-09-05,1.97
2003-09-08,1.94
2003-09-09,1.94
2003-09-10,1.90
2003-09-11,1.92
2003-09-12,1.88
2003-09-15,1.87
2003-09-16,1.80
2003-09-17,1.77
2003-09-18,1.79
2003-09-19,1.81
2003-09-22,1.84
2003-09-23,1.84
2003-09-24,1.86
2003-09-25,1.91
2003-09-26,1.91
2003-09-29,1.91
2003-09-30,1.86
2003-10-01,1.84
2003-10-02,1.83
2003-10-03,1.89
2003-10-06,1.87
2003-10-07,1.91
2003-10-08,1.89
2003-10-09,1.92
2003-10-10,1.97
2003-10-13,.
2003-10-14,2.00
2003-10-15,2.02
2003-10-16,2.08
2003-10-17,2.07
2003-10-20,2.06
2003-10-21,2.04
2003-10-22,1.97
2003-10-23,2.01
2003-10-24,1.99
2003-10-27,2.02
2003-10-28,2.00
2003-10-29,2.03
2003-10-30,2.05
2003-10-31,2.06
2003-11-03,2.07
2003-11-04,2.06
2003-11-05,2.01
2003-11-06,2.02
2003-11-07,2.05
2003-11-10,2.09
2003-11-11,.
2003-11-12,2.09
2003-11-13,2.05
2003-11-14,2.02
2003-11-17,2.02
2003-11-18,2.00
2003-11-19,2.00
2003-11-20,1.91
2003-11-21,1.92
2003-11-24,1.98
2003-11-25,1.99
2003-11-26,2.01
2003-11-27,.
2003-11-28,2.02
2003-12-01,2.04
2003-12-02,2.05
2003-12-03,2.06
2003-12-04,2.07
2003-12-05,2.03
2003-12-08,2.06
2003-12-09,2.09
2003-12-10,2.09
2003-12-11,2.11
2003-12-12,2.10
2003-12-15,2.08
2003-12-16,2.02
2003-12-17,2.00
2003-12-18,1.97
2003-12-19,1.98
2003-12-22,1.98
2003-12-23,2.04
2003-12-24,2.01
2003-12-25,.
2003-12-26,2.01
2003-12-29,2.02
2003-12-30,2.03
2003-12-31,2.03
2004-01-01,.
2004-01-02,2.08
2004-01-05,2.09
2004-01-06,2.05
2004-01-07,2.05
2004-01-08,1.99
2004-01-09,1.93
2004-01-12,1.93
2004-01-13,1.95
2004-01-14,1.91
2004-01-15,1.96
2004-01-16,2.01
2004-01-19,.
2004-01-20,2.04
2004-01-21,2.06
2004-01-22,2.02
2004-01-23,2.05
2004-01-26,2.06
2004-01-27,2.09
2004-01-28,2.13
2004-01-29,2.15
2004-01-30,2.16
2004-02-02,2.22
2004-02-03,2.19
2004-02-04,2.20
2004-02-05,2.22
2004-02-06,2.17
2004-02-09,2.16
2004-02-10,2.17
2004-02-11,2.15
2004-02-12,2.17
2004-02-13,2.16
2004-02-16,.
2004-02-17,2.18
2004-02-18,2.19
2004-02-19,2.20
2004-02-20,2.24
2004-02-23,2.23
2004-02-24,2.23
2004-02-25,2.24
2004-02-26,2.29
2004-02-27,2.38
2004-03-01,2.40
2004-03-02,2.42
2004-03-03,2.42
2004-03-04,2.35
2004-03-05,2.28
2004-03-08,2.25
2004-03-09,2.20
2004-03-10,2.18
2004-03-11,2.15
2004-03-12,2.14
2004-03-15,2.20
2004-03-16,2.20
2004-03-17,2.27
2004-03-18,2.32
2004-03-19,2.27
2004-03-22,2.24
2004-03-23,2.24
2004-03-24,2.27
2004-03-25,2.26
2004-03-26,2.30
2004-03-29,2.31
2004-03-30,2.29
2004-03-31,2.29
2004-04-01,2.34
2004-04-02,2.38
2004-04-05,2.40
2004-04-06,2.37
2004-04-07,2.28
2004-04-08,2.34
2004-04-09,.
2004-04-12,2.35
2004-04-13,2.39
2004-04-14,2.43
2004-04-15,2.42
2004-04-16,2.44
2004-04-19,2.46
2004-04-20,2.38
2004-04-21,2.45
2004-04-22,2.36
2004-04-23,2.29
2004-04-26,2.37
2004-04-27,2.38
2004-04-28,2.34
2004-04-29,2.34
2004-04-30,2.34
2004-05-03,2.35
2004-05-04,2.40
2004-05-05,2.42
2004-05-06,2.38
2004-05-07,2.46
2004-05-10,2.42
2004-05-11,2.45
2004-05-12,2.54
2004-05-13,2.58
2004-05-14,2.51
2004-05-17,2.50
2004-05-18,2.54
2004-05-19,2.61
2004-05-20,2.61
2004-05-21,2.57
2004-05-24,2.63
2004-05-25,2.60
2004-05-26,2.58
2004-05-27,2.55
2004-05-28,2.55
2004-05-31,.
2004-06-01,2.64
2004-06-02,2.62
2004-06-03,2.58
2004-06-04,2.60
2004-06-07,2.58
2004-06-08,2.53
2004-06-09,2.54
2004-06-10,2.55
2004-06-11,.
2004-06-14,2.55
2004-06-15,2.52
2004-06-16,2.53
2004-06-17,2.51
2004-06-18,2.54
2004-06-21,2.51
2004-06-22,2.51
2004-06-23,2.48
2004-06-24,2.45
2004-06-25,2.42
2004-06-28,2.45
2004-06-29,2.42
2004-06-30,2.43
2004-07-01,2.44
2004-07-02,2.41
2004-07-05,.
2004-07-06,2.42
2004-07-07,2.44
2004-07-08,2.43
2004-07-09,2.41
2004-07-12,2.38
2004-07-13,2.40
2004-07-14,2.41
2004-07-15,2.42
2004-07-16,2.37
2004-07-19,2.36
2004-07-20,2.36
2004-07-21,2.37
2004-07-22,2.37
2004-07-23,2.38
2004-07-26,2.36
2004-07-27,2.38
2004-07-28,2.40
2004-07-29,2.43
2004-07-30,2.41
2004-08-02,2.42
2004-08-03,2.43
2004-08-04,2.39
