Date,CPI_BP,CPI_ZM,CPI_6M,CPI_12M,CPI_BY,CPI_ZY,CPI_1Y,CPI_2Y,CPI_10Y
6/1/1946,130.9,#N/A,140,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/1/1946,148.4,#N/A,149,139,#N/A,#N/A,#N/A,#N/A,#N/A
6/1/1947,156.1,#N/A,150,145,#N/A,#N/A,#N/A,#N/A,#N/A
12/1/1947,163.8,#N/A,168,165,#N/A,#N/A,#N/A,#N/A,#N/A
6/1/1948,169.3,#N/A,170,169,#N/A,#N/A,#N/A,#N/A,#N/A
12/1/1948,173.6,#N/A,171,167,#N/A,#N/A,#N/A,#N/A,#N/A
6/1/1949,169.7,#N/A,164,160,#N/A,#N/A,#N/A,#N/A,#N/A
12/1/1949,168.5,#N/A,167,165,#N/A,#N/A,#N/A,#N/A,#N/A
6/1/1950,167.3,#N/A,169,168,#N/A,#N/A,#N/A,#N/A,#N/A
12/1/1950,174.8,#N/A,179.5,183.5,#N/A,#N/A,#N/A,#N/A,#N/A
6/1/1951,184.6,#N/A,187,190.5,#N/A,#N/A,#N/A,#N/A,#N/A
12/1/1951,187.4,#N/A,189,192,#N/A,#N/A,#N/A,#N/A,#N/A
6/1/1952,188.7,#N/A,189.5,188,#N/A,#N/A,#N/A,#N/A,#N/A
12/1/1952,190.9,#N/A,190,189,#N/A,#N/A,#N/A,#N/A,#N/A
6/1/1953,190.1,#N/A,189,187,#N/A,#N/A,#N/A,#N/A,#N/A
12/1/1953,115.4,#N/A,114,114,#N/A,#N/A,#N/A,#N/A,#N/A
6/1/1954,114.6,#N/A,114,114.5,#N/A,#N/A,#N/A,#N/A,#N/A
12/1/1954,114.5,#N/A,115,114.7,#N/A,#N/A,#N/A,#N/A,#N/A
6/1/1955,114.2,#N/A,114.5,114.8,#N/A,#N/A,#N/A,#N/A,#N/A
12/1/1955,114.9,#N/A,115.5,115.6,#N/A,#N/A,#N/A,#N/A,#N/A
6/1/1956,114.9,#N/A,115,115.6,#N/A,#N/A,#N/A,#N/A,#N/A
12/1/1956,117.7,#N/A,119,119,#N/A,#N/A,#N/A,#N/A,#N/A
6/1/1957,119.3,#N/A,120,121,#N/A,#N/A,#N/A,#N/A,#N/A
12/1/1957,121.1,#N/A,121.05,122,#N/A,#N/A,#N/A,#N/A,#N/A
6/1/1958,123.5,#N/A,123.75,124,#N/A,#N/A,#N/A,#N/A,#N/A
12/1/1958,123.7,#N/A,124,125,#N/A,#N/A,#N/A,#N/A,#N/A
6/1/1959,123.9,#N/A,124.3,125,#N/A,#N/A,#N/A,#N/A,#N/A
