Date,INFPGDP1YR,INFCPI1YR,INFCPI10YR
2/1/1970,#N/A,#N/A,#N/A
5/1/1970,2.99,#N/A,#N/A
8/1/1970,3.7,#N/A,#N/A
11/1/1970,3.54,#N/A,#N/A
2/1/1971,3.53,#N/A,#N/A
5/1/1971,3.42,#N/A,#N/A
8/1/1971,3.14,#N/A,#N/A
11/1/1971,3.42,#N/A,#N/A
2/1/1972,3.54,#N/A,#N/A
5/1/1972,3.39,#N/A,#N/A
8/1/1972,3.61,#N/A,#N/A
11/1/1972,3.7,#N/A,#N/A
2/1/1973,3.76,#N/A,#N/A
5/1/1973,3.77,#N/A,#N/A
8/1/1973,4.1,#N/A,#N/A
11/1/1973,5.37,#N/A,#N/A
2/1/1974,5.65,#N/A,#N/A
5/1/1974,5.61,#N/A,#N/A
8/1/1974,#N/A,#N/A,#N/A
11/1/1974,7.68,#N/A,#N/A
2/1/1975,7.24,#N/A,#N/A
5/1/1975,5.59,#N/A,#N/A
8/1/1975,5.95,#N/A,#N/A
11/1/1975,6.21,#N/A,#N/A
2/1/1976,6.18,#N/A,#N/A
5/1/1976,5.9,#N/A,#N/A
8/1/1976,6.06,#N/A,#N/A
11/1/1976,5.73,#N/A,#N/A
2/1/1977,5.64,#N/A,#N/A
5/1/1977,6.27,#N/A,#N/A
8/1/1977,5.9,#N/A,#N/A
11/1/1977,5.96,#N/A,#N/A
2/1/1978,5.9,#N/A,#N/A
5/1/1978,6.53,#N/A,#N/A
8/1/1978,6.91,#N/A,#N/A
11/1/1978,7.09,#N/A,#N/A
2/1/1979,7.33,#N/A,#N/A
5/1/1979,7.93,#N/A,#N/A
8/1/1979,8.03,#N/A,#N/A
11/1/1979,8.19,#N/A,#N/A
2/1/1980,8.7,#N/A,#N/A
5/1/1980,8.84,#N/A,#N/A
8/1/1980,8.93,#N/A,#N/A
11/1/1980,9.37,#N/A,#N/A
2/1/1981,9.06,#N/A,#N/A
5/1/1981,8.68,#N/A,#N/A
8/1/1981,7.8,7.82,#N/A
11/1/1981,7.52,7.7,#N/A
2/1/1982,7.02,6.62,#N/A
