Date,Down,Same,Up by 1-2%,Up by 3-4%,Up by 5%,Up by 6-9%,Up by 10-14%,Up by 15%+,Up; DK how much,DK; NA,Mean,Variance,Standard deviation,25th Percentile,Median,75th Percentile,Interquartile Range (75th-25th)
1/1/1997,1,0,28,32,17,3,6,2,9,2,4,13,3.6,2,3.2,4.8,2.9
2/1/1997,3,3,25,31,18,4,4,2,8,2,3.7,13,3.6,2,3.1,4.8,2.9
3/1/1997,3,2,26,32,16,5,4,1,10,1,3.6,12,3.5,1.9,3,4.7,2.8
4/1/1997,3,1,31,30,16,3,5,2,8,1,3.6,16,4,1.7,2.9,4.7,3
5/1/1997,2,2,30,30,16,6,4,3,5,2,3.8,18,4.2,1.8,3,4.8,3.1
6/1/1997,2,2,28,29,17,5,5,2,8,2,3.9,16,4,1.8,3.1,4.9,3.1
7/1/1997,2,4,29,26,20,1,3,2,9,4,3.4,11,3.4,1.7,2.9,4.7,3.1
8/1/1997,2,3,29,26,15,3,6,3,11,2,3.8,14,3.8,1.7,3,4.8,3.2
9/1/1997,3,2,24,30,17,6,4,2,11,1,3.6,9,3.1,1.9,3.1,4.9,3
10/1/1997,4,1,27,31,16,4,4,2,8,3,3.6,14,3.8,1.9,3,4.8,2.9
11/1/1997,2,3,29,26,17,5,4,3,8,3,3.8,13,3.7,1.8,3.1,4.9,3.1
12/1/1997,3,3,26,24,17,5,8,1,9,4,3.9,14,3.8,1.8,3.1,5.1,3.3
1/1/1998,2,6,27,25,17,4,5,1,8,5,3.4,10,3.1,1.5,2.9,4.8,3.3
2/1/1998,3,4,28,28,11,5,4,0,14,3,3.2,8,2.8,1.5,2.9,4.4,2.9
3/1/1998,3,4,30,28,9,5,4,1,13,3,3.3,9,3,1.5,2.8,4.3,2.8
4/1/1998,2,4,33,22,13,3,5,0,14,4,3.2,7,2.6,1.5,2.7,4.6,3.1
5/1/1998,2,2,31,26,14,3,4,1,14,3,3.3,8,2.8,1.5,2.8,4.6,3.1
6/1/1998,3,4,29,26,16,3,5,0,12,2,3.3,7,2.7,1.5,2.9,4.8,3.3
7/1/1998,1,3,34,27,11,5,3,0,13,3,3.1,5,2.3,1.5,2.7,4.2,2.7
8/1/1998,3,3,32,25,12,3,3,1,14,4,3,7,2.6,1.4,2.7,4.3,2.9
9/1/1998,2,3,28,29,13,4,4,1,13,3,3.4,8,2.8,1.8,2.9,4.6,2.8
10/1/1998,2,2,30,31,12,3,4,1,12,3,3.2,7,2.6,1.6,2.8,4.2,2.5
11/1/1998,3,2,32,31,8,5,4,1,11,3,3.1,8,2.8,1.4,2.8,4,2.6
12/1/1998,4,1,31,29,16,3,4,0,8,4,3.2,7,2.6,1.4,2.9,4.6,3.2
1/1/1999,3,2,28,27,15,4,5,1,11,4,3.5,8,2.9,1.8,3,4.7,2.9
2/1/1999,2,2,33,24,16,4,6,0,10,3,3.3,8,2.8,1.5,2.8,4.8,3.3
3/1/1999,5,3,32,25,14,1,5,1,11,3,3,10,3.1,1.3,2.7,4.5,3.2
4/1/1999,1,2,31,35,12,2,3,0,10,4,3,5,2.2,1.7,2.8,4,2.3
5/1/1999,3,3,29,30,13,3,7,1,9,2,3.5,9,3,1.7,2.9,4.6,2.9
6/1/1999,2,2,34,27,12,4,8,0,8,3,3.3,10,3.1,1.4,2.8,4.7,3.3
7/1/1999,4,1,29,31,14,3,5,0,10,3,3.3,9,2.9,1.7,2.9,4.5,2.8
8/1/1999,2,4,31,31,10,3,6,1,10,2,3.3,9,3,1.5,2.8,4.2,2.7
9/1/1999,2,1,31,29,15,2,7,1,9,3,3.5,9,2.9,1.6,2.9,4.7,3.1
10/1/1999,2,3,32,27,14,2,5,0,12,3,3.2,7,2.6,1.5,2.8,4.4,3
11/1/1999,2,2,29,27,16,4,6,0,11,3,3.5,7,2.7,1.8,2.9,4.8,3
12/1/1999,4,1,30,31,13,4,4,0,10,3,3.2,7,2.7,1.6,2.9,4.5,2.8
1/1/2000,3,2,26,31,16,1,6,1,12,2,3.5,7,2.7,1.9,3,4.7,2.8
2/1/2000,2,2,31,29,15,2,5,0,11,3,3.3,7,2.6,1.6,2.9,4.6,2.9
3/1/2000,2,3,25,27,15,4,8,2,10,4,3.8,11,3.3,1.8,3.1,5,3.2
4/1/2000,2,3,30,27,13,4,2,2,15,2,3.2,8,2.8,1.4,2.8,4.5,3
5/1/2000,2,2,29,33,12,4,5,1,9,3,3.4,7,2.7,1.8,2.9,4.5,2.7
6/1/2000,4,2,30,29,13,2,6,1,11,2,3.3,11,3.3,1.5,2.8,4.6,3
7/1/2000,4,3,32,29,12,4,5,1,9,1,3.2,9,3,1.6,2.8,4.5,2.9
8/1/2000,3,4,31,27,14,4,6,1,8,2,3.5,11,3.3,1.6,2.9,4.7,3.1
9/1/2000,2,4,26,29,15,4,5,1,11,3,3.6,9,3,1.9,3,4.8,2.9
10/1/2000,2,2,29,27,15,4,7,1,9,4,3.7,11,3.2,1.8,3,4.9,3.1
11/1/2000,2,2,31,29,11,4,6,2,11,2,3.6,12,3.5,1.6,2.9,4.6,3
12/1/2000,2,3,28,29,14,4,6,2,9,3,3.7,12,3.4,1.8,3,4.8,3
1/1/2001,2,3,28,26,16,2,5,1,13,4,3.5,9,3,1.8,2.9,4.7,2.9
2/1/2001,2,3,26,26,15,4,6,1,12,5,3.6,9,3,1.9,3,4.8,3
3/1/2001,2,4,26,28,16,5,5,2,9,3,3.6,11,3.2,1.8,3,4.8,3.1
4/1/2001,3,2,26,30,17,3,6,1,9,3,3.6,9,3,1.9,3.1,4.8,2.9
5/1/2001,3,2,23,32,14,3,6,1,12,4,3.6,9,3,1.9,3,4.7,2.9
6/1/2001,1,5,26,31,14,4,6,1,9,3,3.6,9,3.1,1.9,3,4.7,2.8
7/1/2001,3,3,26,30,12,4,3,2,15,2,3.4,11,3.3,1.6,2.9,4.5,3
8/1/2001,4,2,26,28,15,4,4,2,11,4,3.6,12,3.4,1.7,3,4.8,3.1
9/1/2001,3,6,27,26,13,3,5,1,11,5,3.4,11,3.3,1.5,2.9,4.7,3.2
10/1/2001,4,8,27,27,12,1,4,0,13,4,2.8,7,2.7,1.4,2.7,3.9,2.6
11/1/2001,3,7,26,27,12,3,4,1,14,3,3.2,9,2.9,1.6,2.8,4.5,2.8
12/1/2001,3,4,24,25,16,3,6,1,11,7,3.4,10,3.2,1.7,3,4.8,3.2
1/1/2002,2,5,30,27,9,2,3,0,15,7,3,6,2.4,1.6,2.7,3.6,2
2/1/2002,3,4,29,28,10,4,4,0,13,5,3.1,7,2.7,1.4,2.8,4.3,2.9
3/1/2002,3,3,30,23,13,4,5,1,13,5,3.3,9,3,1.6,2.8,4.7,3.1
4/1/2002,2,4,27,30,14,2,2,1,14,4,3.2,8,2.9,1.6,2.8,4.3,2.7
5/1/2002,2,2,25,32,13,4,5,1,12,4,3.6,8,2.8,2,3,4.7,2.7
6/1/2002,2,2,28,27,13,3,6,1,14,4,3.3,9,2.9,1.6,2.8,4.6,3
7/1/2002,4,2,29,27,12,3,5,1,14,3,3.2,8,2.8,1.7,2.8,4.5,2.9
8/1/2002,3,2,27,28,11,5,5,1,15,3,3.5,10,3.1,1.7,2.9,4.7,3
9/1/2002,3,5,34,25,11,2,5,1,11,3,3,8,2.9,1.4,2.5,3.9,2.6
10/1/2002,4,4,28,25,12,3,6,0,15,3,3.3,8,2.8,1.6,2.8,4.6,3
11/1/2002,2,5,28,27,12,3,5,1,14,3,3.3,8,2.8,1.7,2.8,4.5,2.9
12/1/2002,4,4,28,26,12,4,5,0,14,3,3.2,9,2.9,1.4,2.8,4.6,3.2
1/1/2003,4,4,29,30,9,3,5,0,13,3,3.1,7,2.7,1.6,2.7,3.8,2.2
2/1/2003,4,3,31,26,12,3,4,1,13,3,3.1,9,2.9,1.5,2.7,4.4,2.9
3/1/2003,7,4,26,27,13,4,3,1,13,2,2.9,9,3,1.5,2.8,4.5,3
4/1/2003,6,4,29,27,12,2,6,1,10,3,3.1,11,3.3,1.4,2.7,4.4,3
5/1/2003,4,5,30,24,16,3,4,1,11,2,3.1,8,2.9,1.4,2.8,4.6,3.2
6/1/2003,4,4,32,24,12,4,5,0,12,3,3,9,2.9,1.3,2.7,4.6,3.3
7/1/2003,3,4,33,24,14,2,5,1,11,3,3.2,9,3,1.4,2.7,4.5,3.1
8/1/2003,6,4,31,24,11,4,4,1,12,3,3,9,3.1,1.4,2.7,4.5,3.1
9/1/2003,4,4,32,25,13,3,4,1,11,3,3,9,2.9,1.4,2.7,4.5,3.1
10/1/2003,4,4,30,27,10,3,5,1,13,3,3.1,8,2.9,1.4,2.8,4.3,2.9
11/1/2003,2,3,34,28,14,3,3,0,11,2,3.1,6,2.4,1.5,2.7,4.2,2.7
12/1/2003,3,4,32,29,13,2,5,1,9,2,3.1,9,3,1.4,2.8,4.3,2.9
1/1/2004,2,4,31,28,12,2,6,1,12,2,3.4,8,2.8,1.6,2.8,4.5,2.9
2/1/2004,4,2,29,29,12,3,6,1,12,2,3.3,9,3,1.6,2.9,4.6,3
3/1/2004,4,3,27,25,16,4,4,1,14,2,3.4,8,2.8,1.7,2.9,4.8,3.1
4/1/2004,3,3,32,26,13,2,5,1,12,3,3.2,8,2.9,1.6,2.7,4.5,2.9
5/1/2004,2,3,30,30,11,3,5,1,13,2,3.3,8,2.8,1.6,2.8,4.4,2.8
6/1/2004,2,3,28,31,12,4,6,1,11,2,3.4,7,2.7,1.8,2.9,4.6,2.8
7/1/2004,4,2,29,32,11,3,5,0,12,2,3.1,7,2.7,1.5,2.8,3.9,2.3
8/1/2004,3,2,34,29,10,3,5,1,11,2,3.1,9,3.1,1.5,2.7,4.2,2.6
9/1/2004,4,3,30,30,11,3,4,1,12,2,3.1,8,2.9,1.5,2.8,4.1,2.6
10/1/2004,2,4,29,29,13,4,3,1,12,3,3.2,7,2.6,1.6,2.8,4.5,2.9
11/1/2004,3,4,32,32,9,2,6,1,10,1,3.1,9,3,1.4,2.7,3.8,2.4
12/1/2004,2,3,31,31,13,3,4,1,10,2,3.1,7,2.6,1.6,2.8,4.2,2.7
1/1/2005,4,1,35,24,14,5,4,1,10,2,3.2,8,2.8,1.4,2.7,4.6,3.2
2/1/2005,3,3,31,29,13,3,5,0,12,1,3.1,8,2.8,1.6,2.8,4.4,2.8
3/1/2005,3,3,30,27,16,4,4,1,12,0,3.3,7,2.7,1.6,2.9,4.7,3.1
4/1/2005,3,2,26,33,15,4,5,0,10,2,3.4,7,2.6,1.8,3,4.7,2.9
5/1/2005,2,2,33,26,16,4,6,0,10,1,3.5,7,2.7,1.7,2.9,4.8,3
6/1/2005,4,2,34,28,17,4,3,1,6,1,3.1,7,2.7,1.6,2.8,4.6,3.1
7/1/2005,2,2,30,30,15,3,5,0,12,1,3.3,7,2.6,1.5,2.9,4.6,3.1
8/1/2005,4,3,32,27,12,3,5,2,10,2,3.3,10,3.2,1.5,2.8,4.6,3.1
9/1/2005,3,3,25,31,12,4,8,2,10,2,3.8,11,3.3,1.8,3.1,4.9,3
10/1/2005,4,3,23,27,15,5,8,2,11,2,3.8,11,3.4,1.9,3.2,5.1,3.2
11/1/2005,5,2,27,33,16,3,4,1,8,1,3.3,9,3.1,1.6,3,4.6,2.9
12/1/2005,4,3,27,30,19,3,5,2,6,1,3.5,10,3.1,1.7,3.1,4.8,3.1
1/1/2006,5,3,27,30,14,2,8,1,9,1,3.4,13,3.5,1.6,2.9,4.7,3.1
2/1/2006,3,1,31,32,14,3,4,1,8,3,3.3,8,2.8,1.5,2.9,4.5,2.9
3/1/2006,2,2,30,29,15,4,4,1,11,2,3.3,9,2.9,1.7,2.9,4.7,3
4/1/2006,5,2,23,29,17,3,6,1,12,2,3.6,11,3.3,1.8,3.1,4.9,3.1
5/1/2006,3,3,26,25,19,6,6,2,9,1,3.8,11,3.4,1.9,3.2,5.1,3.2
6/1/2006,3,4,30,29,14,5,7,1,6,1,3.4,10,3.2,1.6,2.9,4.8,3.1
7/1/2006,2,5,29,30,16,3,3,1,9,2,3.2,6,2.5,1.5,2.9,4.6,3.1
8/1/2006,3,3,25,30,18,2,6,1,11,1,3.5,9,3.1,1.8,3.2,4.8,3
9/1/2006,4,2,26,34,16,4,4,0,9,1,3.2,6,2.5,1.8,3,4.6,2.9
10/1/2006,3,2,27,32,17,3,6,1,7,2,3.5,9,2.9,1.9,3.1,4.8,2.9
11/1/2006,2,4,26,31,17,4,5,1,8,2,3.5,7,2.7,1.7,3,4.8,3.1
12/1/2006,4,3,27,31,15,2,7,1,8,2,3.4,10,3.1,1.7,3,4.7,3
1/1/2007,2,2,26,36,12,4,8,0,9,1,3.5,8,2.9,1.8,3,4.6,2.8
2/1/2007,2,2,30,33,12,4,5,0,10,2,3.3,6,2.5,1.8,2.9,4.3,2.5
3/1/2007,3,2,31,33,13,3,5,1,8,1,3.3,7,2.7,1.7,2.9,4.4,2.7
4/1/2007,3,2,28,32,15,3,6,1,9,1,3.6,9,2.9,1.9,3.1,4.7,2.8
5/1/2007,3,2,24,31,16,5,6,1,10,2,3.7,10,3.1,2,3.1,4.9,2.9
6/1/2007,4,2,29,29,13,4,5,1,12,1,3.3,9,2.9,1.7,2.9,4.6,2.9
7/1/2007,3,1,25,32,15,4,5,2,11,2,3.6,10,3.1,1.8,3.1,4.8,3
8/1/2007,2,2,27,33,12,5,3,1,13,2,3.4,7,2.6,1.9,2.9,4.5,2.6
9/1/2007,3,4,28,30,14,3,5,1,11,1,3.4,8,2.9,1.6,2.9,4.6,3
10/1/2007,3,3,30,32,13,1,5,1,10,2,3.1,6,2.5,1.7,2.8,4.1,2.4
11/1/2007,4,3,27,30,12,3,8,1,11,1,3.4,11,3.3,1.7,2.9,4.6,3
12/1/2007,3,4,26,28,16,5,6,1,10,1,3.5,8,2.9,1.6,3.1,4.8,3.2
1/1/2008,3,2,28,28,17,3,5,1,11,2,3.4,8,2.8,1.8,3,4.7,2.9
2/1/2008,5,3,26,27,15,4,6,1,11,2,3.4,10,3.1,1.6,3,4.8,3.2
3/1/2008,6,4,27,29,13,4,6,1,9,1,3.2,10,3.2,1.6,2.9,4.6,3
4/1/2008,9,4,18,26,16,5,7,1,12,2,3.5,12,3.5,1.7,3.2,5,3.3
5/1/2008,6,5,15,27,18,6,9,1,11,2,4,14,3.7,2.2,3.4,5.2,3
6/1/2008,8,3,17,26,15,6,10,2,11,2,4,16,4,1.8,3.4,5.3,3.4
7/1/2008,9,5,16,26,17,4,9,1,11,2,3.5,14,3.8,1.4,3.2,5.1,3.7
8/1/2008,5,5,19,27,14,5,9,2,12,2,3.9,12,3.5,1.9,3.2,5.1,3.2
9/1/2008,7,5,22,28,15,4,7,1,9,2,3.3,11,3.4,1.6,3,4.8,3.2
10/1/2008,8,6,20,27,15,4,7,0,10,3,3.1,11,3.3,1.4,2.9,4.8,3.4
11/1/2008,9,7,24,21,17,5,6,2,8,1,3.1,14,3.7,1.3,2.9,4.9,3.6
12/1/2008,9,9,25,28,12,2,5,1,7,2,2.6,12,3.5,1.1,2.6,4,2.9
1/1/2009,6,7,25,26,12,3,6,2,10,3,3.4,14,3.8,1.4,2.9,4.7,3.4
2/1/2009,8,5,19,26,18,5,6,2,8,3,3.5,17,4.1,1.7,3.1,5,3.3
3/1/2009,9,7,26,24,11,3,6,1,10,3,2.9,12,3.5,1.1,2.6,4.5,3.4
4/1/2009,7,6,27,25,15,4,6,1,7,2,3.1,13,3.5,1.3,2.8,4.7,3.4
5/1/2009,7,6,24,27,15,4,4,1,9,3,3.1,11,3.3,1.4,2.9,4.7,3.3
6/1/2009,6,5,25,28,15,5,6,1,8,1,3.2,10,3.2,1.6,3,4.8,3.2
7/1/2009,8,3,25,23,15,3,7,2,13,1,3.4,14,3.7,1.6,3,4.9,3.3
8/1/2009,6,6,27,27,13,5,6,1,7,2,3.1,11,3.3,1.5,2.8,4.6,3.2
9/1/2009,6,5,28,27,13,3,6,2,8,2,3.2,13,3.6,1.6,2.8,4.7,3.1
10/1/2009,4,6,28,29,14,5,6,1,5,2,3.2,10,3.2,1.4,2.9,4.7,3.3
11/1/2009,4,3,28,28,18,5,5,0,7,2,3.2,8,2.9,1.6,3,4.8,3.2
12/1/2009,6,4,31,26,15,2,5,1,8,2,3,11,3.3,1.4,2.7,4.6,3.1
1/1/2010,4,5,25,30,12,4,6,1,10,3,3.3,11,3.3,1.5,2.9,4.6,3.1
