Date,RIG_COUNT
1987-07-17,559
1987-07-24,565
1987-07-31,605
1987-08-07,613
1987-08-14,620
1987-08-21,627
1987-08-28,665
1987-09-04,704
1987-09-11,718
1987-09-18,711
1987-09-25,718
1987-10-02,721
1987-10-09,723
1987-10-16,725
1987-10-23,740
1987-10-30,738
1987-11-06,734
1987-11-13,760
1987-11-20,746
1987-11-27,750
1987-12-04,757
1987-12-11,764
1987-12-18,745
1987-12-25,716
1988-01-01,710
1988-01-08,689
1988-01-15,641
1988-01-22,611
1988-01-29,573
1988-02-05,580
1988-02-12,557
1988-02-19,575
1988-02-26,592
1988-03-04,591
1988-03-11,572
1988-03-18,583
1988-03-25,580
1988-04-01,577
1988-04-08,566
1988-04-15,560
1988-04-22,566
1988-04-29,541
1988-05-06,563
1988-05-13,557
1988-05-20,571
1988-05-27,576
1988-06-03,562
1988-06-10,544
1988-06-17,550
1988-06-24,558
1988-07-01,572
1988-07-08,573
1988-07-15,565
1988-07-22,560
1988-07-29,549
1988-08-05,575
1988-08-12,572
1988-08-19,566
1988-08-26,561
1988-09-02,526
1988-09-09,513
1988-09-16,499
1988-09-23,510
1988-09-30,523
1988-10-07,514
1988-10-14,524
1988-10-21,526
1988-10-28,504
1988-11-04,505
1988-11-11,471
1988-11-18,491
1988-11-25,494
1988-12-02,487
1988-12-09,512
1988-12-16,510
1988-12-23,519
1988-12-30,505
1989-01-06,475
1989-01-13,470
1989-01-20,412
1989-01-27,414
1989-02-03,396
1989-02-10,389
1989-02-17,392
1989-02-24,391
1989-03-03,400
1989-03-10,398
1989-03-17,405
1989-03-24,424
1989-03-31,417
1989-04-07,429
1989-04-14,433
1989-04-21,430
1989-04-28,426
1989-05-05,436
1989-05-12,451
1989-05-19,425
1989-05-26,419
1989-06-02,429
1989-06-09,427
1989-06-16,409
1989-06-23,428
1989-06-30,439
1989-07-07,436
1989-07-14,424
1989-07-21,417
1989-07-28,445
1989-08-04,445
1989-08-11,433
1989-08-18,426
1989-08-25,442
1989-09-01,451
1989-09-08,449
1989-09-15,468
1989-09-22,472
1989-09-29,480
1989-10-06,468
1989-10-13,498
1989-10-20,502
1989-10-27,516
1989-11-03,539
1989-11-10,545
1989-11-17,529
1989-11-24,516
1989-12-01,534
1989-12-08,528
1989-12-15,552
1989-12-22,548
1989-12-29,533
1990-01-05,532
1990-01-12,527
1990-01-19,494
1990-01-26,482
1990-02-02,489
1990-02-09,495
1990-02-16,498
1990-02-23,485
1990-03-02,478
1990-03-09,482
1990-03-16,479
1990-03-23,474
1990-03-30,516
1990-04-06,487
1990-04-13,483
1990-04-20,462
1990-04-27,472
1990-05-04,475
1990-05-11,479
1990-05-18,504
1990-05-25,514
1990-06-01,507
1990-06-08,496
1990-06-15,491
1990-06-22,496
1990-06-29,491
1990-07-06,487
1990-07-13,491
1990-07-20,509
1990-07-27,508
1990-08-03,494
1990-08-10,507
1990-08-17,511
1990-08-24,510
1990-08-31,544
1990-09-07,570
1990-09-14,579
1990-09-21,572
1990-09-28,560
1990-10-05,590
1990-10-12,588
1990-10-19,597
1990-10-26,607
1990-11-02,620
1990-11-09,614
1990-11-16,606
1990-11-23,620
1990-11-30,639
1990-12-07,646
1990-12-14,657
1990-12-21,634
1990-12-28,639
1991-01-04,651
1991-01-11,612
1991-01-18,631
1991-01-25,639
1991-02-01,574
1991-02-08,575
1991-02-15,553
1991-02-22,555
1991-03-01,529
1991-03-08,534
1991-03-15,513
1991-03-22,503
1991-03-29,500
1991-04-05,480
1991-04-12,472
1991-04-19,450
1991-04-26,444
1991-05-03,425
1991-05-10,418
1991-05-17,422
1991-05-24,451
1991-05-31,435
1991-06-07,463
1991-06-14,479
1991-06-21,485
1991-06-28,505
1991-07-05,488
1991-07-12,467
1991-07-19,462
1991-07-26,470
1991-08-02,485
1991-08-09,452
1991-08-16,447
1991-08-23,434
1991-08-30,438
1991-09-06,436
1991-09-13,419
1991-09-20,440
1991-09-27,436
1991-10-04,434
1991-10-11,438
1991-10-18,427
1991-10-25,432
1991-11-01,432
1991-11-08,436
1991-11-15,455
1991-11-22,476
1991-11-29,484
1991-12-06,498
1991-12-13,479
1991-12-20,465
1991-12-27,433
1992-01-03,427
1992-01-10,405
1992-01-17,412
1992-01-24,383
1992-01-31,375
1992-02-07,383
