Date,PETROL_PROFITS
2001-04-01,31.4
2001-07-01,30.3
2001-10-01,30.2
2002-01-01,17.9
2002-04-01,7.4
2002-07-01,4.2
2002-10-01,3.7
2003-01-01,4
2003-04-01,21.9
2003-07-01,18.9
2003-10-01,29.4
2004-01-01,36.8
2004-04-01,43
2004-07-01,48.4
2004-10-01,42.2
2005-01-01,69.5
2005-04-01,71.8
2005-07-01,75
2005-10-01,81.2
2006-01-01,92.2
2006-04-01,77
2006-07-01,93.7
2006-10-01,88.2
2007-01-01,69.2
2007-04-01,68.3
2007-07-01,109.9
2007-10-01,62.1
2008-01-01,64.2
2008-04-01,81.7
2008-07-01,61.8
2008-10-01,97.4
2009-01-01,99
2009-04-01,34.3
2009-07-01,-2.4
2009-10-01,3.2
2010-01-01,6.4
2010-04-01,19.4
2010-07-01,33.2
2010-10-01,24.6
2011-01-01,27.5
2011-04-01,29
2011-07-01,64.7
2011-10-01,66.8
2012-01-01,29.3
2012-04-01,47.8
2012-07-01,62.2
2012-10-01,55.3
2013-01-01,65.4
2013-04-01,61.3
2013-07-01,41
2013-10-01,38.6
2014-01-01,74.6
2014-04-01,60.1
2014-07-01,60.6
2014-10-01,69.1
2015-01-01,72.2
2015-04-01,61.4
2015-07-01,41.6
2015-10-01,49
2016-01-01,-73.5
2016-04-01,-14.1
2016-07-01,-32.9
2016-10-01,-36.3
2017-01-01,-38.1
2017-04-01,-17.3
2017-07-01,-8.3
2017-10-01,3.5
2018-01-01,1.5
2018-04-01,18.1
2018-07-01,19.1
2018-10-01,27.5
2019-01-01,61.3
2019-04-01,11.1
2019-07-01,14
2019-10-01,24.9
2020-01-01,16.9
2020-04-01,1.2
2020-07-01,-45.6
2020-10-01,-55.6
2021-01-01,-51.7
2021-04-01,-21
2021-07-01,2.7
2021-10-01,11.2
2022-01-01,18.2
