Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"CLY00 (Cash)",85.32,0.73999999999999,85.32,85.32,85.32,84.58,N/A,N/A,2022-10-25
"CLZ22 (Dec '22)",84.56,-0.75999999999999,85.07,85.1,84.38,85.32,5372,311792,"20:15 CT"
"CLF23 (Jan '23)",83.59,-0.72,84.03,84.05,83.4,84.31,787,137261,"20:15 CT"
"CLG23 (Feb '23)",82.26,-0.89,82.78,82.83,82.26,83.15,282,72205,"20:08 CT"
"CLH23 (Mar '23)",81.32,-0.73,81.71,81.71,81.18,82.05,270,92726,"20:15 CT"
"CLJ23 (Apr '23)",80.2,-0.86,80.31,80.31,80.2,81.06,140,53346,"20:08 CT"
"CLK23 (May '23)",79.53,-0.67,79.63,79.63,79.53,80.2,48,0,"20:04 CT"
"CLM23 (Jun '23)",78.64,-0.79000000000001,79.04,79.04,78.63,79.43,218,120540,"20:08 CT"
"CLN23 (Jul '23)",78.19,-0.55,78.19,78.19,78.19,78.74,54,0,"20:04 CT"
"CLQ23 (Aug '23)",77.62,-0.5,77.54,77.62,77.54,78.12,52,0,"20:04 CT"
"CLU23 (Sep '23)",77.05,-0.49,77.05,77.05,77.05,77.54,81,0,"20:04 CT"
"CLV23 (Oct '23)",77.01,0.92,75.75,77.13,75.64,76.09,1331,25883,2022-10-25
"CLX23 (Nov '23)",76.51,0.91,75.27,76.56,75.24,75.6,1531,23792,2022-10-25
"CLZ23 (Dec '23)",75.3,-0.73,75.59,75.59,75.28,76.03,150,160753,"20:09 CT"
"CLF24 (Jan '24)",75.5,0.9,0,75.5,74.2,74.6,299,21060,2022-10-25
"CLG24 (Feb '24)",74.99,0.9,0,74.99,73.76,74.09,248,14628,2022-10-25
"CLH24 (Mar '24)",74.51,0.9,0,74.51,72.99,73.61,436,19022,2022-10-25
"CLJ24 (Apr '24)",74.05,0.9,0,74.05,72.84,73.15,14,10038,2022-10-25
"CLK24 (May '24)",73.64,0.91,73.64,73.64,72.48,72.73,10,7253,2022-10-25
"CLM24 (Jun '24)",73.26,0.91,72.07,73.29,71.57,72.35,2561,45323,2022-10-25
"CLN24 (Jul '24)",72.83,0.91,72.83,72.83,71.7,71.92,190,7198,2022-10-25
"CLQ24 (Aug '24)",72.43,0.92,72.43,72.43,71.36,71.51,47,5444,2022-10-25
"CLU24 (Sep '24)",72.07,0.93,0,72.07,70.69,71.14,38,18451,2022-10-25
"CLV24 (Oct '24)",71.72,0.92999999999999,71.72,71.72,70.71,70.79,N/A,4841,2022-10-25
"CLX24 (Nov '24)",71.43,0.96000000000001,71.43,71.43,70.41,70.47,N/A,4183,2022-10-25
"CLZ24 (Dec '24)",70.62,-0.51,70.72,70.75,70.62,71.13,7,0,"20:04 CT"
"CLF25 (Jan '25)",70.75,0.97,70.75,70.75,69.73,69.78,N/A,3137,2022-10-25
"CLG25 (Feb '25)",70.38,0.94999999999999,70.38,70.38,70.38,69.43,N/A,946,2022-10-25
"CLH25 (Mar '25)",70.06,0.95,70.06,70.06,70.06,69.11,N/A,3490,2022-10-25
"CLJ25 (Apr '25)",69.76,0.96000000000001,69.76,69.76,69.76,68.8,N/A,395,2022-10-25
"CLK25 (May '25)",69.5,0.97,69.5,69.5,69.5,68.53,N/A,187,2022-10-25
"CLM25 (Jun '25)",69.25,0.97,68.5,69.25,68,68.28,18,11038,2022-10-25
"CLN25 (Jul '25)",68.95,0.97,68.95,68.95,68.95,67.98,N/A,182,2022-10-25
"CLQ25 (Aug '25)",68.65,0.97,68.65,68.65,68.65,67.68,N/A,311,2022-10-25
"CLU25 (Sep '25)",68.39,0.97,68.39,68.39,68.39,67.42,N/A,2191,2022-10-25
"CLV25 (Oct '25)",68.15,0.97,68.15,68.15,68.15,67.18,N/A,351,2022-10-25
"CLX25 (Nov '25)",67.95,0.97,67.95,67.95,67.95,66.98,N/A,442,2022-10-25
"CLZ25 (Dec '25)",67.76,0.99,67,67.76,66.45,66.77,332,25712,2022-10-25
"CLF26 (Jan '26)",67.48,0.99,0,67.48,67.48,66.49,0,446,2022-10-25
"CLG26 (Feb '26)",67.23,0.98,67.23,67.23,67.23,66.25,N/A,126,2022-10-25
"CLH26 (Mar '26)",66.99,0.97999999999999,66.99,66.99,66.99,66.01,N/A,226,2022-10-25
"CLJ26 (Apr '26)",66.76,0.98,66.76,66.76,66.76,65.78,N/A,26,2022-10-25
"CLK26 (May '26)",66.49,0.97999999999999,66.49,66.49,66.49,65.51,N/A,26,2022-10-25
"CLM26 (Jun '26)",66.28,0.98,66.28,66.28,66.28,65.3,N/A,3771,2022-10-25
"CLN26 (Jul '26)",66.04,0.97000000000001,66.04,66.04,66.04,65.07,N/A,26,2022-10-25
"CLQ26 (Aug '26)",65.82,0.97,65.82,65.82,65.82,64.85,N/A,26,2022-10-25
"CLU26 (Sep '26)",65.65,0.96000000000001,65.65,65.65,65.65,64.69,N/A,26,2022-10-25
"CLV26 (Oct '26)",65.51,0.95,65.51,65.51,65.51,64.56,N/A,26,2022-10-25
"CLX26 (Nov '26)",65.31,0.95,0,65.31,65.31,64.36,0,776,2022-10-25
"CLZ26 (Dec '26)",65.15,0.94,65,65.15,64.19,64.21,53,12060,2022-10-25
"CLF27 (Jan '27)",64.91,0.93,64.91,64.91,64.91,63.98,N/A,753,2022-10-25
"CLG27 (Feb '27)",64.66,0.91999999999999,64.66,64.66,64.66,63.74,N/A,N/A,2022-10-25
"CLH27 (Mar '27)",64.42,0.91,64.42,64.42,64.42,63.51,N/A,N/A,2022-10-25
"CLJ27 (Apr '27)",64.21,0.89999999999999,64.21,64.21,64.21,63.31,N/A,N/A,2022-10-25
"CLK27 (May '27)",64.02,0.88999999999999,64.02,64.02,64.02,63.13,N/A,N/A,2022-10-25
"CLM27 (Jun '27)",63.83,0.88,0,63.83,63.83,62.95,0,1,2022-10-25
"CLN27 (Jul '27)",63.62,0.87,63.62,63.62,63.62,62.75,N/A,N/A,2022-10-25
"CLQ27 (Aug '27)",63.41,0.86,63.41,63.41,63.41,62.55,N/A,N/A,2022-10-25
"CLU27 (Sep '27)",63.24,0.85,63.24,63.24,63.24,62.39,N/A,N/A,2022-10-25
"CLV27 (Oct '27)",63.1,0.84,63.1,63.1,63.1,62.26,N/A,N/A,2022-10-25
"CLX27 (Nov '27)",62.98,0.83,62.98,62.98,62.98,62.15,N/A,400,2022-10-25
"CLZ27 (Dec '27)",62.88,0.82,0,62.88,62.88,62.06,12,2744,2022-10-25
"CLF28 (Jan '28)",62.67,0.81,62.67,62.67,62.67,61.86,N/A,401,2022-10-25
"CLG28 (Feb '28)",62.36,0.8,62.36,62.36,62.36,61.56,N/A,N/A,2022-10-25
"CLH28 (Mar '28)",62.11,0.79,62.11,62.11,62.11,61.32,N/A,N/A,2022-10-25
"CLJ28 (Apr '28)",61.99,0.78,61.99,61.99,61.99,61.21,N/A,N/A,2022-10-25
"CLK28 (May '28)",61.8,0.77,61.8,61.8,61.8,61.03,N/A,N/A,2022-10-25
"CLM28 (Jun '28)",61.69,0.76,61.69,61.69,61.69,60.93,N/A,N/A,2022-10-25
"CLN28 (Jul '28)",61.58,0.73999999999999,61.58,61.58,61.58,60.84,N/A,N/A,2022-10-25
"CLQ28 (Aug '28)",61.41,0.73,61.41,61.41,61.41,60.68,N/A,N/A,2022-10-25
"CLU28 (Sep '28)",61.28,0.72,61.28,61.28,61.28,60.56,N/A,N/A,2022-10-25
"CLV28 (Oct '28)",61.1,0.71,61.1,61.1,61.1,60.39,N/A,N/A,2022-10-25
"CLX28 (Nov '28)",60.94,0.7,60.94,60.94,60.94,60.24,N/A,N/A,2022-10-25
"CLZ28 (Dec '28)",60.8,0.69,0,60.8,60.8,60.11,0,2461,2022-10-25
"CLF29 (Jan '29)",60.6,0.68,60.6,60.6,60.6,59.92,N/A,N/A,2022-10-25
"CLG29 (Feb '29)",60.45,0.67,60.45,60.45,60.45,59.78,N/A,N/A,2022-10-25
"CLH29 (Mar '29)",60.27,0.67,60.27,60.27,60.27,59.6,N/A,N/A,2022-10-25
"CLJ29 (Apr '29)",60.05,0.66,60.05,60.05,60.05,59.39,N/A,N/A,2022-10-25
"CLK29 (May '29)",59.88,0.65000000000001,59.88,59.88,59.88,59.23,N/A,N/A,2022-10-25
"CLM29 (Jun '29)",59.69,0.64,59.69,59.69,59.69,59.05,N/A,N/A,2022-10-25
"CLN29 (Jul '29)",59.52,0.63,59.52,59.52,59.52,58.89,N/A,N/A,2022-10-25
"CLQ29 (Aug '29)",59.41,0.62,59.41,59.41,59.41,58.79,N/A,N/A,2022-10-25
"CLU29 (Sep '29)",59.25,0.62,59.25,59.25,59.25,58.63,N/A,N/A,2022-10-25
"CLV29 (Oct '29)",59.08,0.61,59.08,59.08,59.08,58.47,N/A,N/A,2022-10-25
"CLX29 (Nov '29)",58.97,0.6,58.97,58.97,58.97,58.37,N/A,N/A,2022-10-25
"CLZ29 (Dec '29)",58.83,0.59,0,58.83,58.83,58.24,0,519,2022-10-25
"CLF30 (Jan '30)",58.67,0.59,58.67,58.67,58.67,58.08,N/A,N/A,2022-10-25
"CLG30 (Feb '30)",58.52,0.59,58.52,58.52,58.52,57.93,N/A,N/A,2022-10-25
"CLH30 (Mar '30)",58.39,0.59,58.39,58.39,58.39,57.8,N/A,N/A,2022-10-25
"CLJ30 (Apr '30)",58.23,0.59,58.23,58.23,58.23,57.64,N/A,N/A,2022-10-25
"CLK30 (May '30)",58.1,0.59,58.1,58.1,58.1,57.51,N/A,N/A,2022-10-25
"CLM30 (Jun '30)",57.99,0.59,0,57.99,57.99,57.4,0,1,2022-10-25
"CLN30 (Jul '30)",57.86,0.59,57.86,57.86,57.86,57.27,N/A,N/A,2022-10-25
"CLQ30 (Aug '30)",57.74,0.59,57.74,57.74,57.74,57.15,N/A,N/A,2022-10-25
"CLU30 (Sep '30)",57.62,0.59,57.62,57.62,57.62,57.03,N/A,N/A,2022-10-25
"CLV30 (Oct '30)",57.5,0.59,57.5,57.5,57.5,56.91,N/A,N/A,2022-10-25
"CLX30 (Nov '30)",57.37,0.59,57.37,57.37,57.37,56.78,N/A,N/A,2022-10-25
"CLZ30 (Dec '30)",57.2,0.59,57.2,57.2,57.2,56.61,N/A,30,2022-10-25
"CLF31 (Jan '31)",57.16,0.59,57.16,57.16,57.16,56.57,N/A,N/A,2022-10-25
"CLG31 (Feb '31)",57.04,0.59,57.04,57.04,57.04,56.45,N/A,N/A,2022-10-25
"CLH31 (Mar '31)",56.93,0.59,56.93,56.93,56.93,56.34,N/A,N/A,2022-10-25
"CLJ31 (Apr '31)",56.81,0.59,56.81,56.81,56.81,56.22,N/A,N/A,2022-10-25
"CLK31 (May '31)",56.71,0.59,56.71,56.71,56.71,56.12,N/A,N/A,2022-10-25
"CLM31 (Jun '31)",56.59,0.59,56.59,56.59,56.59,56,N/A,N/A,2022-10-25
"CLN31 (Jul '31)",56.48,0.59,56.48,56.48,56.48,55.89,N/A,N/A,2022-10-25
"CLQ31 (Aug '31)",56.37,0.59,56.37,56.37,56.37,55.78,N/A,N/A,2022-10-25
"CLU31 (Sep '31)",56.25,0.59,56.25,56.25,56.25,55.66,N/A,N/A,2022-10-25
"CLV31 (Oct '31)",56.14,0.59,56.14,56.14,56.14,55.55,N/A,N/A,2022-10-25
"CLX31 (Nov '31)",56.03,0.59,56.03,56.03,56.03,55.44,N/A,N/A,2022-10-25
"CLZ31 (Dec '31)",55.91,0.59,0,55.91,55.91,55.32,0,9,2022-10-25
"CLF32 (Jan '32)",55.84,0.59,0,55.84,55.84,55.25,0,0,2022-10-25
"CLG32 (Feb '32)",55.78,0.59,0,55.78,55.78,55.19,0,0,2022-10-25
"CLH32 (Mar '32)",55.72,0.59,0,55.72,55.72,55.13,0,0,2022-10-25
"CLJ32 (Apr '32)",55.67,0.59,0,55.67,55.67,55.08,0,0,2022-10-25
"CLK32 (May '32)",55.6,0.59,0,55.6,55.6,55.01,0,0,2022-10-25
"CLM32 (Jun '32)",55.52,0.59,0,55.52,55.52,54.93,0,0,2022-10-25
"CLN32 (Jul '32)",55.42,0.59,0,55.42,55.42,54.83,0,0,2022-10-25
"CLQ32 (Aug '32)",55.33,0.59,0,55.33,55.33,54.74,0,0,2022-10-25
"CLU32 (Sep '32)",55.22,0.59,0,55.22,55.22,54.63,0,0,2022-10-25
"CLV32 (Oct '32)",55.13,0.59,55.13,55.13,55.13,54.54,N/A,N/A,2022-10-25
"CLX32 (Nov '32)",55.03,0.59,55.03,55.03,55.03,54.44,N/A,N/A,2022-10-25
"CLZ32 (Dec '32)",84.52,29.58,85.07,85.1,84.45,54.94,4322,0,"20:04 CT"
"CLF33 (Jan '33)",54.87,0.59,54.87,54.87,54.87,54.28,N/A,N/A,2022-10-25
"CLG33 (Feb '33)",54.81,0.59,54.81,54.81,54.81,54.22,N/A,N/A,2022-10-25
"Downloaded from Barchart.com as of 10-25-2022 08:25pm CDT"
