Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"ZQZ22 (Dec '22)",95.895,0.0025,95.8925,95.895,95.8925,95.8925,9433,262860,2022-12-16
"ZQF23 (Jan '23)",95.67,0.005,95.67,95.67,95.665,95.665,30831,407482,2022-12-16
"ZQG23 (Feb '23)",95.365,0.005,95.36,95.365,95.355,95.36,40943,279054,2022-12-16
"ZQH23 (Mar '23)",95.31,0.015,95.295,95.315,95.29,95.295,16161,65686,2022-12-16
"ZQJ23 (Apr '23)",95.21,0.03,95.18,95.225,95.175,95.18,44157,111119,2022-12-16
"ZQK23 (May '23)",95.16,0.045,95.12,95.185,95.11,95.115,26360,79951,2022-12-16
"ZQM23 (Jun '23)",95.165,0.055,95.115,95.185,95.105,95.11,6784,34145,2022-12-16
"ZQN23 (Jul '23)",95.18,0.065,95.125,95.2,95.11,95.115,26043,61785,2022-12-16
"ZQQ23 (Aug '23)",95.235,0.08,95.155,95.26,95.145,95.155,16456,55390,2022-12-16
"ZQU23 (Sep '23)",95.265,0.08,95.19,95.29,95.17,95.185,2359,9468,2022-12-16
"ZQV23 (Oct '23)",95.325,0.08,95.25,95.355,95.215,95.245,5625,29486,2022-12-16
"ZQX23 (Nov '23)",95.475,0.08,95.405,95.505,95.35,95.395,3009,24057,2022-12-16
"ZQZ23 (Dec '23)",95.58,0.075,95.485,95.605,95.445,95.505,1013,9562,2022-12-16
"ZQF24 (Jan '24)",95.655,0.07,95.59,95.685,95.52,95.585,1332,10699,2022-12-16
"ZQG24 (Feb '24)",95.855,0.07,95.765,95.885,95.71,95.785,487,3922,2022-12-16
"ZQH24 (Mar '24)",95.945,0.07,95.865,95.96,95.805,95.875,25,1117,2022-12-16
"ZQJ24 (Apr '24)",96.09,0.06,96.015,96.11,95.945,96.03,235,1251,2022-12-16
"ZQK24 (May '24)",96.305,0.060000000000002,96.305,96.305,96.305,96.245,93,1268,2022-12-16
"ZQM24 (Jun '24)",96.41,0.060000000000002,96.41,96.41,96.41,96.35,N/A,30,2022-12-16
"ZQN24 (Jul '24)",96.495,0.060000000000002,96.495,96.495,96.495,96.435,N/A,43,2022-12-16
"ZQQ24 (Aug '24)",96.6,0.034999999999997,96.6,96.6,96.6,96.565,N/A,11,2022-12-16
"ZQU24 (Sep '24)",96.685,0.034999999999997,96.685,96.685,96.685,96.65,N/A,1,2022-12-16
"ZQV24 (Oct '24)",96.75,0.015000000000001,96.75,96.75,96.69,96.735,N/A,4,2022-12-16
"ZQX24 (Nov '24)",96.8,-0.040000000000006,96.8,96.8,96.8,96.84,N/A,1,2022-12-16
"ZQZ24 (Dec '24)",96.825,-0.039999999999992,96.825,96.825,96.825,96.865,N/A,29,2022-12-16
"ZQF25 (Jan '25)",96.83,-0.0049999999999955,96.83,96.83,96.83,96.835,N/A,1,2022-12-16
"ZQG25 (Feb '25)",96.83,-0.0049999999999955,96.83,96.83,96.83,96.835,N/A,N/A,2022-12-16
"ZQH25 (Mar '25)",96.83,-0.0049999999999955,96.83,96.83,96.83,96.835,N/A,N/A,2022-12-16
"ZQJ25 (Apr '25)",96.83,-0.0049999999999955,96.83,96.83,96.83,96.835,N/A,N/A,2022-12-16
"ZQK25 (May '25)",96.83,-0.0049999999999955,96.83,96.83,96.83,96.835,N/A,N/A,2022-12-16
"ZQM25 (Jun '25)",96.83,-0.0049999999999955,96.83,96.83,96.83,96.835,N/A,N/A,2022-12-16
"ZQN25 (Jul '25)",96.83,-0.0049999999999955,96.83,96.83,96.83,96.835,N/A,N/A,2022-12-16
"ZQQ25 (Aug '25)",96.83,-0.0049999999999955,96.83,96.83,96.83,96.835,N/A,N/A,2022-12-16
"ZQU25 (Sep '25)",96.83,-0.0049999999999955,96.83,96.83,96.83,96.835,N/A,N/A,2022-12-16
"ZQV25 (Oct '25)",96.83,-0.0049999999999955,96.83,96.83,96.83,96.835,N/A,N/A,2022-12-16
"ZQX25 (Nov '25)",96.83,-0.0049999999999955,96.83,96.83,96.83,96.835,N/A,N/A,2022-12-16
"ZQZ25 (Dec '25)",96.71,-0.0050000000000097,96.71,96.71,96.71,96.715,N/A,N/A,2022-12-16
"ZQF26 (Jan '26)",96.61,-0.0049999999999955,96.61,96.61,96.61,96.615,N/A,N/A,2022-12-16
"ZQG26 (Feb '26)",96.61,-0.0049999999999955,96.61,96.61,96.61,96.615,N/A,N/A,2022-12-16
"ZQH26 (Mar '26)",96.61,-0.0049999999999955,96.61,96.61,96.61,96.615,N/A,N/A,2022-12-16
"ZQJ26 (Apr '26)",96.61,-0.0049999999999955,96.61,96.61,96.61,96.615,N/A,N/A,2022-12-16
"ZQK26 (May '26)",96.61,-0.0049999999999955,96.61,96.61,96.61,96.615,N/A,N/A,2022-12-16
"ZQM26 (Jun '26)",96.61,-0.0049999999999955,96.61,96.61,96.61,96.615,N/A,N/A,2022-12-16
"ZQN26 (Jul '26)",96.61,-0.0049999999999955,96.61,96.61,96.61,96.615,N/A,N/A,2022-12-16
"ZQQ26 (Aug '26)",96.53,-0.0049999999999955,96.53,96.53,96.53,96.535,N/A,N/A,2022-12-16
"ZQU26 (Sep '26)",96.53,-0.0049999999999955,96.53,96.53,96.53,96.535,N/A,N/A,2022-12-16
"ZQV26 (Oct '26)",96.525,-0.0049999999999955,96.525,96.525,96.525,96.53,N/A,N/A,2022-12-16
"ZQX26 (Nov '26)",96.505,-0.0050000000000097,96.505,96.505,96.505,96.51,N/A,N/A,2022-12-16
"ZQZ26 (Dec '26)",96.485,-0.0049999999999955,96.485,96.485,96.485,96.49,N/A,N/A,2022-12-16
"ZQF27 (Jan '27)",96.47,-0.0049999999999955,96.47,96.47,96.47,96.475,N/A,N/A,2022-12-16
"ZQG27 (Feb '27)",96.455,-0.0049999999999955,96.455,96.455,96.455,96.46,N/A,N/A,2022-12-16
"ZQH27 (Mar '27)",96.44,-0.0049999999999955,96.44,96.44,96.44,96.445,N/A,N/A,2022-12-16
"ZQJ27 (Apr '27)",96.4,-0.0049999999999955,96.4,96.4,96.4,96.405,N/A,N/A,2022-12-16
"ZQK27 (May '27)",96.375,-0.0049999999999955,96.375,96.375,96.375,96.38,N/A,N/A,2022-12-16
"ZQM27 (Jun '27)",96.355,-0.0049999999999955,96.355,96.355,96.355,96.36,N/A,N/A,2022-12-16
"ZQN27 (Jul '27)",96.335,-0.0050000000000097,96.335,96.335,96.335,96.34,N/A,N/A,2022-12-16
"ZQQ27 (Aug '27)",96.255,-0.0050000000000097,96.255,96.255,96.255,96.26,N/A,N/A,2022-12-16
"ZQU27 (Sep '27)",96.255,-0.0050000000000097,96.255,96.255,96.255,96.26,N/A,N/A,2022-12-16
"ZQV27 (Oct '27)",96.25,-0.0049999999999955,96.25,96.25,96.25,96.255,N/A,N/A,2022-12-16
"ZQX27 (Nov '27)",96.23,-0.0049999999999955,96.23,96.23,96.23,96.235,N/A,N/A,2022-12-16
"Downloaded from Barchart.com as of 12-17-2022 03:39am CST"
